"","GOID","GOTERM","ONTOLOGY","HOGs_with_GO_COUNT","HOGs_with_GO","TOTAL_COUNT.all_GO_ID","TOTAL_COUNT.Freq","Ta_COUNT.Var1","Ta_COUNT.Freq","Os_COUNT.Var1","Os_COUNT.Freq","Ms_COUNT.Var1","Ms_COUNT.Freq","Sb_COUNT.Var1","Sb_COUNT.Freq","Zm_COUNT.Var1","Zm_COUNT.Freq","DEFINITION"
"1","GO:0006355","regulation of DNA-templated transcription","BP",5,"N0.HOG0004915 N0.HOG0004683 N0.HOG0001649 N0.HOG0005664 N0.HOG0006344","GO:0006355",63,"GO:0006355",17,"GO:0006355",6,"GO:0006355",24,"GO:0006355",7,"GO:0006355",9,"Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"2","GO:0006099","tricarboxylic acid cycle","BP",1,"N0.HOG0005386","GO:0006099",11,"GO:0006099",3,"GO:0006099",1,"GO:0006099",4,"GO:0006099",1,"GO:0006099",2,"A nearly universal metabolic pathway in which the acetyl group of acetyl coenzyme A is effectively oxidized to two CO2 and four pairs of electrons are transferred to coenzymes. The acetyl group combines with oxaloacetate to form citrate, which undergoes successive transformations to isocitrate, 2-oxoglutarate, succinyl-CoA, succinate, fumarate, malate, and oxaloacetate again, thus completing the cycle. In eukaryotes the tricarboxylic acid is confined to the mitochondria. See also glyoxylate cycle."
"3","GO:0006107","oxaloacetate metabolic process","BP",1,"N0.HOG0005386","GO:0006107",11,"GO:0006107",3,"GO:0006107",1,"GO:0006107",4,"GO:0006107",1,"GO:0006107",2,"The chemical reactions and pathways involving oxaloacetate, the anion of oxobutanedioic acid, an important intermediate in metabolism, especially as a component of the TCA cycle."
"4","GO:0006108","malate metabolic process","BP",1,"N0.HOG0005386","GO:0006108",11,"GO:0006108",3,"GO:0006108",1,"GO:0006108",4,"GO:0006108",1,"GO:0006108",2,"The chemical reactions and pathways involving malate, the anion of hydroxybutanedioic acid, a chiral hydroxydicarboxylic acid. The (+) enantiomer is an important intermediate in metabolism as a component of both the TCA cycle and the glyoxylate cycle."
"5","GO:0006734","NADH metabolic process","BP",1,"N0.HOG0005386","GO:0006734",11,"GO:0006734",3,"GO:0006734",1,"GO:0006734",4,"GO:0006734",1,"GO:0006734",2,"The chemical reactions and pathways involving reduced nicotinamide adenine dinucleotide (NADH), a coenzyme present in most living cells and derived from the B vitamin nicotinic acid."
"6","GO:0019752","carboxylic acid metabolic process","BP",1,"N0.HOG0005386","GO:0019752",11,"GO:0019752",3,"GO:0019752",1,"GO:0019752",4,"GO:0019752",1,"GO:0019752",2,"The chemical reactions and pathways involving carboxylic acids, any organic acid containing one or more carboxyl (COOH) groups or anions (COO-)."
"7","GO:0009741","response to brassinosteroid","BP",1,"N0.HOG0006344","GO:0009741",4,"GO:0009741",3,"GO:0009741",0,"GO:0009741",0,"GO:0009741",0,"GO:0009741",1,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a brassinosteroid stimulus."
"8","GO:1900458","negative regulation of brassinosteroid mediated signaling pathway","BP",1,"N0.HOG0006344","GO:1900458",4,"GO:1900458",3,"GO:1900458",0,"GO:1900458",0,"GO:1900458",0,"GO:1900458",1,NA
"9","GO:2000306","positive regulation of photomorphogenesis","BP",1,"N0.HOG0006344","GO:2000306",4,"GO:2000306",3,"GO:2000306",0,"GO:2000306",0,"GO:2000306",0,"GO:2000306",1,NA
"10","GO:0009653","anatomical structure morphogenesis","BP",1,"N0.HOG0002025","GO:0009653",17,"GO:0009653",1,"GO:0009653",1,"GO:0009653",7,"GO:0009653",4,"GO:0009653",4,"The process in which anatomical structures are generated and organized. Morphogenesis pertains to the creation of form."
"11","GO:0019953","sexual reproduction","BP",1,"N0.HOG0002025","GO:0019953",17,"GO:0019953",1,"GO:0019953",1,"GO:0019953",7,"GO:0019953",4,"GO:0019953",4,"A type of reproduction that combines the genetic material of two gametes (such as a sperm or egg cell or fungal spores). The gametes have an haploid genome (with a single set of chromosomes, the product of a meiotic division) and combines with one another to produce a zygote (diploid)."
