"","x"
"1","N0.HOG0008105"
"2","N0.HOG0011633"
"3","N0.HOG0001365"
"4","N0.HOG0011596"
"5","N0.HOG0015468"
"6","N0.HOG0001796"
"7","N0.HOG0003358"
"8","N0.HOG0016924"
"9","N0.HOG0012484"
"10","N0.HOG0001649"
"11","N0.HOG0016564"
"12","N0.HOG0016563"
"13","N0.HOG0012789"
"14","N0.HOG0008418"
"15","N0.HOG0012648"
"16","N0.HOG0008741"
"17","N0.HOG0006546"
"18","N0.HOG0012405"
"19","N0.HOG0008578"
"20","N0.HOG0001782"
"21","N0.HOG0004665"
"22","N0.HOG0008482"
"23","N0.HOG0016840"
"24","N0.HOG0008722"
"25","N0.HOG0002858"
"26","N0.HOG0003961"
"27","N0.HOG0002899"
"28","N0.HOG0000897"
"29","N0.HOG0012852"
"30","N0.HOG0008738"
"31","N0.HOG0002064"
"32","N0.HOG0003467"
"33","N0.HOG0008527"
"34","N0.HOG0003951"
"35","N0.HOG0012808"
"36","N0.HOG0012891"
"37","N0.HOG0016677"
"38","N0.HOG0008749"
"39","N0.HOG0004654"
"40","N0.HOG0016833"
"41","N0.HOG0016540"
"42","N0.HOG0008695"
"43","N0.HOG0002308"
"44","N0.HOG0016784"
"45","N0.HOG0000904"
"46","N0.HOG0004668"
"47","N0.HOG0004691"
"48","N0.HOG0006619"
"49","N0.HOG0016714"
"50","N0.HOG0008684"
"51","N0.HOG0004683"
"52","N0.HOG0016619"
"53","N0.HOG0016600"
"54","N0.HOG0008707"
"55","N0.HOG0012603"
"56","N0.HOG0008634"
"57","N0.HOG0005486"
"58","N0.HOG0005416"
"59","N0.HOG0004019"
"60","N0.HOG0012538"
"61","N0.HOG0003993"
"62","N0.HOG0002445"
"63","N0.HOG0003377"
"64","N0.HOG0008425"
"65","N0.HOG0005394"
"66","N0.HOG0001564"
"67","N0.HOG0012841"
"68","N0.HOG0005397"
"69","N0.HOG0012491"
"70","N0.HOG0016700"
"71","N0.HOG0012409"
"72","N0.HOG0008444"
"73","N0.HOG0008557"
"74","N0.HOG0008823"
"75","N0.HOG0016731"
"76","N0.HOG0008565"
"77","N0.HOG0019713"
"78","N0.HOG0002024"
"79","N0.HOG0003414"
"80","N0.HOG0008877"
"81","N0.HOG0016193"
"82","N0.HOG0005386"
"83","N0.HOG0012821"
"84","N0.HOG0002040"
"85","N0.HOG0019573"
"86","N0.HOG0003997"
"87","N0.HOG0003956"
"88","N0.HOG0004698"
"89","N0.HOG0008522"
"90","N0.HOG0006115"
"91","N0.HOG0006344"
"92","N0.HOG0008579"
"93","N0.HOG0008467"
"94","N0.HOG0002025"
"95","N0.HOG0005423"
"96","N0.HOG0001568"
"97","N0.HOG0002856"
"98","N0.HOG0002408"
"99","N0.HOG0019510"
"100","N0.HOG0001797"
"101","N0.HOG0012468"
"102","N0.HOG0008783"
"103","N0.HOG0008836"
"104","N0.HOG0010732"
"105","N0.HOG0016539"
"106","N0.HOG0003406"
"107","N0.HOG0000290"
"108","N0.HOG0008541"
"109","N0.HOG0006478"
"110","N0.HOG0008777"
"111","N0.HOG0012965"
"112","N0.HOG0008645"
"113","N0.HOG0002859"
"114","N0.HOG0012493"
"115","N0.HOG0002884"
"116","N0.HOG0016873"
"117","N0.HOG0019578"
"118","N0.HOG0002435"
"119","N0.HOG0012540"
"120","N0.HOG0012752"
"121","N0.HOG0016774"
"122","N0.HOG0012729"
"123","N0.HOG0012823"
"124","N0.HOG0002031"
"125","N0.HOG0012423"
"126","N0.HOG0008711"
"127","N0.HOG0002926"
"128","N0.HOG0012204"
"129","N0.HOG0008509"
"130","N0.HOG0012943"
"131","N0.HOG0008561"
"132","N0.HOG0016550"
"133","N0.HOG0008476"
"134","N0.HOG0008860"
"135","N0.HOG0003470"
"136","N0.HOG0008858"
"137","N0.HOG0008797"
"138","N0.HOG0012348"
"139","N0.HOG0008559"
"140","N0.HOG0012455"
"141","N0.HOG0003378"
"142","N0.HOG0012840"
"143","N0.HOG0012460"
"144","N0.HOG0008734"
"145","N0.HOG0008751"
"146","N0.HOG0006299"
"147","N0.HOG0008580"
"148","N0.HOG0007316"
"149","N0.HOG0016640"
"150","N0.HOG0008818"
"151","N0.HOG0008607"
"152","N0.HOG0006588"
"153","N0.HOG0008562"
"154","N0.HOG0000900"
"155","N0.HOG0008647"
"156","N0.HOG0006591"
"157","N0.HOG0016566"
"158","N0.HOG0008434"
"159","N0.HOG0005390"
"160","N0.HOG0008589"
"161","N0.HOG0002892"
"162","N0.HOG0012728"
"163","N0.HOG0008450"
"164","N0.HOG0008571"
"165","N0.HOG0004371"
"166","N0.HOG0012844"
"167","N0.HOG0008436"
"168","N0.HOG0016713"
"169","N0.HOG0012220"
"170","N0.HOG0006567"
"171","N0.HOG0019687"
"172","N0.HOG0002896"
"173","N0.HOG0016821"
"174","N0.HOG0012640"
"175","N0.HOG0012827"
"176","N0.HOG0016573"
"177","N0.HOG0006621"
"178","N0.HOG0002028"
"179","N0.HOG0006620"
"180","N0.HOG0004705"
"181","N0.HOG0004695"
"182","N0.HOG0000237"
"183","N0.HOG0003441"
"184","N0.HOG0017123"
"185","N0.HOG0006733"
"186","N0.HOG0016742"
"187","N0.HOG0004049"
"188","N0.HOG0000075"
"189","N0.HOG0005515"
"190","N0.HOG0013181"
"191","N0.HOG0006730"
"192","N0.HOG0002882"
"193","N0.HOG0017118"
"194","N0.HOG0000129"
"195","N0.HOG0019830"
"196","N0.HOG0019647"
"197","N0.HOG0006205"
"198","N0.HOG0012382"
"199","N0.HOG0003296"
"200","N0.HOG0001790"
"201","N0.HOG0002085"
"202","N0.HOG0016880"
"203","N0.HOG0001807"
"204","N0.HOG0006738"
"205","N0.HOG0019887"
"206","N0.HOG0009000"
"207","N0.HOG0002327"
"208","N0.HOG0013185"
"209","N0.HOG0017093"
"210","N0.HOG0019902"
"211","N0.HOG0012190"
"212","N0.HOG0013165"
"213","N0.HOG0017105"
"214","N0.HOG0017163"
"215","N0.HOG0006717"
"216","N0.HOG0013200"
"217","N0.HOG0006710"
