"","x"
"1","N0.HOG0004696"
"2","N0.HOG0006605"
"3","N0.HOG0002924"
"4","N0.HOG0004808"
"5","N0.HOG0004931"
"6","N0.HOG0001401"
"7","N0.HOG0001961"
"8","N0.HOG0004908"
"9","N0.HOG0003607"
"10","N0.HOG0002654"
"11","N0.HOG0005170"
"12","N0.HOG0000460"
"13","N0.HOG0003137"
"14","N0.HOG0004331"
"15","N0.HOG0003748"
"16","N0.HOG0005130"
"17","N0.HOG0006010"
"18","N0.HOG0005161"
"19","N0.HOG0003710"
"20","N0.HOG0005220"
"21","N0.HOG0004347"
"22","N0.HOG0001967"
"23","N0.HOG0003362"
"24","N0.HOG0006379"
"25","N0.HOG0003831"
"26","N0.HOG0001757"
"27","N0.HOG0002820"
"28","N0.HOG0004459"
"29","N0.HOG0001933"
"30","N0.HOG0005593"
"31","N0.HOG0009326"
"32","N0.HOG0005574"
"33","N0.HOG0005487"
"34","N0.HOG0012580"
"35","N0.HOG0006761"
"36","N0.HOG0005276"
"37","N0.HOG0005249"
"38","N0.HOG0005233"
"39","N0.HOG0005252"
"40","N0.HOG0005215"
