"","GOID","GOTERM","ONTOLOGY","HOGs_with_GO_COUNT","HOGs_with_GO","TOTAL_COUNT.all_GO_ID","TOTAL_COUNT.Freq","Ta_COUNT.Var1","Ta_COUNT.Freq","Os_COUNT.Var1","Os_COUNT.Freq","Ms_COUNT.Var1","Ms_COUNT.Freq","Sb_COUNT.Var1","Sb_COUNT.Freq","Zm_COUNT.Var1","Zm_COUNT.Freq","DEFINITION"
"1","GO:0009231","riboflavin biosynthetic process","BP",1,"N0.HOG0004696","GO:0009231",12,"GO:0009231",3,"GO:0009231",1,"GO:0009231",4,"GO:0009231",2,"GO:0009231",2,"The chemical reactions and pathways resulting in the formation of riboflavin (vitamin B2), the precursor for the coenzymes flavin mononucleotide (FMN) and flavin adenine dinucleotide (FAD)."
"2","GO:0006486","protein glycosylation","BP",2,"N0.HOG0004347 N0.HOG0006605","GO:0006486",22,"GO:0006486",6,"GO:0006486",2,"GO:0006486",8,"GO:0006486",2,"GO:0006486",4,"A protein modification process that results in the addition of a carbohydrate or carbohydrate derivative unit to a protein amino acid, e.g. the addition of glycan chains to proteins."
"3","GO:0019408","dolichol biosynthetic process","BP",1,"N0.HOG0006605","GO:0019408",10,"GO:0019408",3,"GO:0019408",1,"GO:0019408",4,"GO:0019408",1,"GO:0019408",1,"The chemical reactions and pathways resulting in the formation of dolichols, any 2,3-dihydropolyprenol derived from four or more linked isoprene units."
"4","GO:0006412","translation","BP",4,"N0.HOG0002924 N0.HOG0001401 N0.HOG0005215 N0.HOG0001757","GO:0006412",49,"GO:0006412",10,"GO:0006412",4,"GO:0006412",19,"GO:0006412",7,"GO:0006412",9,"The cellular metabolic process in which a protein is formed, using the sequence of a mature mRNA or circRNA molecule to specify the sequence of amino acids in a polypeptide chain. Translation is mediated by the ribosome, and begins with the formation of a ternary complex between aminoacylated initiator methionine tRNA, GTP, and initiation factor 2, which subsequently associates with the small subunit of the ribosome and an mRNA or circRNA. Translation ends with the release of a polypeptide chain from the ribosome."
"5","GO:0006508","proteolysis","BP",3,"N0.HOG0002820 N0.HOG0005593 N0.HOG0004931","GO:0006508",38,"GO:0006508",8,"GO:0006508",3,"GO:0006508",12,"GO:0006508",9,"GO:0006508",6,"The hydrolysis of proteins into smaller polypeptides and/or amino acids by cleavage of their peptide bonds."
"6","GO:0051603","proteolysis involved in protein catabolic process","BP",1,"N0.HOG0004931","GO:0051603",12,"GO:0051603",2,"GO:0051603",1,"GO:0051603",4,"GO:0051603",3,"GO:0051603",2,"The hydrolysis of a peptide bond or bonds within a protein as part of the chemical reactions and pathways resulting in the breakdown of a protein by individual cells."
"7","GO:0006913","nucleocytoplasmic transport","BP",1,"N0.HOG0001961","GO:0006913",17,"GO:0006913",3,"GO:0006913",2,"GO:0006913",8,"GO:0006913",2,"GO:0006913",2,"The directed movement of molecules between the nucleus and the cytoplasm."
"8","GO:0015031","protein transport","BP",3,"N0.HOG0001961 N0.HOG0003137 N0.HOG0005487","GO:0015031",42,"GO:0015031",9,"GO:0015031",4,"GO:0015031",18,"GO:0015031",6,"GO:0015031",5,"The directed movement of proteins into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."
"9","GO:0048573","photoperiodism, flowering","BP",1,"N0.HOG0001961","GO:0048573",15,"GO:0048573",3,"GO:0048573",1,"GO:0048573",7,"GO:0048573",2,"GO:0048573",2,"A change from the vegetative to the reproductive phase as a result of detection of, or exposure to, a period of light or dark of a given length. The length of the period of light or dark required to initiate the change is set relative to a particular duration known as the 'critical day length'. The critical day length varies between species."
"10","GO:0051028","mRNA transport","BP",2,"N0.HOG0001961 N0.HOG0003137","GO:0051028",31,"GO:0051028",6,"GO:0051028",3,"GO:0051028",14,"GO:0051028",4,"GO:0051028",4,"The directed movement of mRNA, messenger ribonucleic acid, into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."
"11","GO:0071456","cellular response to hypoxia","BP",1,"N0.HOG0001961","GO:0071456",11,"GO:0071456",3,"GO:0071456",1,"GO:0071456",6,"GO:0071456",1,"GO:0071456",0,"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating lowered oxygen tension. Hypoxia, defined as a decline in O2 levels below normoxic levels of 20.8 - 20.95%, results in metabolic adaptation at both the cellular and organismal level."
"12","GO:0006811","monoatomic ion transport","BP",1,"N0.HOG0004908","GO:0006811",12,"GO:0006811",3,"GO:0006811",1,"GO:0006811",4,"GO:0006811",2,"GO:0006811",2,"The directed movement of a monoatomic ion into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. Monatomic ions (also called simple ions) are ions consisting of exactly one atom."
"13","GO:1902600","proton transmembrane transport","BP",1,"N0.HOG0004908","GO:1902600",12,"GO:1902600",3,"GO:1902600",1,"GO:1902600",4,"GO:1902600",2,"GO:1902600",2,NA
"14","GO:0009058","biosynthetic process","BP",1,"N0.HOG0003607","GO:0009058",14,"GO:0009058",3,"GO:0009058",1,"GO:0009058",5,"GO:0009058",2,"GO:0009058",3,"The chemical reactions and pathways resulting in the formation of substances; typically the energy-requiring part of metabolism in which simpler substances are transformed into more complex ones."
"15","GO:0006629","lipid metabolic process","BP",2,"N0.HOG0002654 N0.HOG0009326","GO:0006629",24,"GO:0006629",4,"GO:0006629",2,"GO:0006629",10,"GO:0006629",5,"GO:0006629",3,"The chemical reactions and pathways involving lipids, compounds soluble in an organic solvent but not, or sparingly, in an aqueous solvent. Includes fatty acids; neutral fats, other fatty-acid esters, and soaps; long-chain (fatty) alcohols and waxes; sphingoids and other long-chain bases; glycolipids, phospholipids and sphingolipids; and carotenes, polyprenols, sterols, terpenes and other isoprenoids."
"16","GO:0006654","phosphatidic acid biosynthetic process","BP",1,"N0.HOG0002654","GO:0006654",15,"GO:0006654",3,"GO:0006654",1,"GO:0006654",6,"GO:0006654",3,"GO:0006654",2,"The chemical reactions and pathways resulting in the formation of phosphatidic acid, any derivative of glycerol phosphate in which both the remaining hydroxyl groups of the glycerol moiety are esterified with fatty acids."
"17","GO:0008610","lipid biosynthetic process","BP",1,"N0.HOG0002654","GO:0008610",15,"GO:0008610",3,"GO:0008610",1,"GO:0008610",6,"GO:0008610",3,"GO:0008610",2,"The chemical reactions and pathways resulting in the formation of lipids, compounds soluble in an organic solvent but not, or sparingly, in an aqueous solvent."
"18","GO:0016042","lipid catabolic process","BP",1,"N0.HOG0002654","GO:0016042",15,"GO:0016042",3,"GO:0016042",1,"GO:0016042",6,"GO:0016042",3,"GO:0016042",2,"The chemical reactions and pathways resulting in the breakdown of lipids, compounds soluble in an organic solvent but not, or sparingly, in an aqueous solvent."
"19","GO:0035556","intracellular signal transduction","BP",1,"N0.HOG0002654","GO:0035556",15,"GO:0035556",3,"GO:0035556",1,"GO:0035556",6,"GO:0035556",3,"GO:0035556",2,"The process in which a signal is passed on to downstream components within the cell, which become activated themselves to further propagate the signal and finally trigger a change in the function or state of the cell."
"20","GO:0048364","root development","BP",1,"N0.HOG0002654","GO:0048364",15,"GO:0048364",3,"GO:0048364",1,"GO:0048364",6,"GO:0048364",3,"GO:0048364",2,"The process whose specific outcome is the progression of the root over time, from its formation to the mature structure. The root is the water- and mineral-absorbing part of a plant which is usually underground, does not bear leaves, tends to grow downwards and is typically derived from the radicle of the embryo."
