"","x"
"1","N0.HOG0003291"
"2","N0.HOG0019298"
"3","N0.HOG0006526"
"4","N0.HOG0011635"
"5","N0.HOG0011614"
"6","N0.HOG0015655"
"7","N0.HOG0006530"
"8","N0.HOG0019296"
"9","N0.HOG0006318"
"10","N0.HOG0001264"
"11","N0.HOG0016132"
"12","N0.HOG0004540"
"13","N0.HOG0001687"
"14","N0.HOG0016667"
"15","N0.HOG0006585"
"16","N0.HOG0008842"
"17","N0.HOG0021651"
"18","N0.HOG0012233"
"19","N0.HOG0008599"
"20","N0.HOG0006503"
"21","N0.HOG0016699"
"22","N0.HOG0004489"
"23","N0.HOG0008833"
"24","N0.HOG0003471"
"25","N0.HOG0002805"
"26","N0.HOG0008869"
"27","N0.HOG0008471"
"28","N0.HOG0012300"
"29","N0.HOG0012806"
"30","N0.HOG0004655"
"31","N0.HOG0006471"
"32","N0.HOG0019631"
"33","N0.HOG0003468"
"34","N0.HOG0006627"
"35","N0.HOG0001778"
"36","N0.HOG0003398"
"37","N0.HOG0002722"
"38","N0.HOG0008514"
"39","N0.HOG0012517"
"40","N0.HOG0012357"
"41","N0.HOG0012437"
"42","N0.HOG0008885"
"43","N0.HOG0016916"
"44","N0.HOG0002881"
"45","N0.HOG0005478"
"46","N0.HOG0016798"
"47","N0.HOG0008822"
"48","N0.HOG0016749"
"49","N0.HOG0012447"
"50","N0.HOG0016549"
"51","N0.HOG0012971"
"52","N0.HOG0008795"
"53","N0.HOG0008554"
"54","N0.HOG0012335"
"55","N0.HOG0004696"
"56","N0.HOG0001292"
"57","N0.HOG0008810"
"58","N0.HOG0004702"
"59","N0.HOG0001770"
"60","N0.HOG0005377"
"61","N0.HOG0016657"
"62","N0.HOG0008612"
"63","N0.HOG0016662"
"64","N0.HOG0016701"
"65","N0.HOG0005410"
"66","N0.HOG0016813"
"67","N0.HOG0016515"
"68","N0.HOG0000052"
"69","N0.HOG0008573"
"70","N0.HOG0016707"
"71","N0.HOG0012176"
"72","N0.HOG0003421"
"73","N0.HOG0012248"
"74","N0.HOG0016483"
"75","N0.HOG0002890"
"76","N0.HOG0005485"
"77","N0.HOG0006601"
"78","N0.HOG0000971"
"79","N0.HOG0006605"
"80","N0.HOG0001943"
"81","N0.HOG0019617"
"82","N0.HOG0012197"
"83","N0.HOG0001407"
"84","N0.HOG0016733"
"85","N0.HOG0004660"
"86","N0.HOG0004685"
"87","N0.HOG0006633"
"88","N0.HOG0019731"
"89","N0.HOG0016612"
"90","N0.HOG0012548"
"91","N0.HOG0019564"
"92","N0.HOG0004016"
"93","N0.HOG0001753"
"94","N0.HOG0002233"
"95","N0.HOG0012401"
"96","N0.HOG0012812"
"97","N0.HOG0012419"
"98","N0.HOG0012826"
"99","N0.HOG0002897"
"100","N0.HOG0011195"
"101","N0.HOG0012698"
"102","N0.HOG0008828"
"103","N0.HOG0008758"
"104","N0.HOG0006499"
"105","N0.HOG0008520"
"106","N0.HOG0012398"
"107","N0.HOG0012641"
"108","N0.HOG0000265"
"109","N0.HOG0008508"
"110","N0.HOG0008824"
"111","N0.HOG0008814"
"112","N0.HOG0012912"
"113","N0.HOG0005470"
"114","N0.HOG0003931"
"115","N0.HOG0006469"
"116","N0.HOG0006517"
"117","N0.HOG0012256"
"118","N0.HOG0006625"
"119","N0.HOG0012820"
"120","N0.HOG0012420"
"121","N0.HOG0016822"
"122","N0.HOG0016838"
"123","N0.HOG0019658"
"124","N0.HOG0016719"
"125","N0.HOG0016633"
"126","N0.HOG0012313"
"127","N0.HOG0008457"
"128","N0.HOG0016654"
"129","N0.HOG0012201"
"130","N0.HOG0008798"
"131","N0.HOG0003946"
"132","N0.HOG0012885"
"133","N0.HOG0003448"
"134","N0.HOG0006632"
"135","N0.HOG0008667"
"136","N0.HOG0008556"
"137","N0.HOG0008592"
"138","N0.HOG0003440"
"139","N0.HOG0008874"
"140","N0.HOG0012387"
"141","N0.HOG0012485"
"142","N0.HOG0003986"
"143","N0.HOG0012749"
"144","N0.HOG0008473"
"145","N0.HOG0006580"
"146","N0.HOG0004659"
"147","N0.HOG0003970"
"148","N0.HOG0016674"
"149","N0.HOG0003994"
"150","N0.HOG0016655"
"151","N0.HOG0006522"
"152","N0.HOG0003963"
"153","N0.HOG0012898"
"154","N0.HOG0012503"
"155","N0.HOG0003973"
"156","N0.HOG0016683"
"157","N0.HOG0012939"
"158","N0.HOG0012339"
"159","N0.HOG0019598"
"160","N0.HOG0006486"
"161","N0.HOG0016534"
"162","N0.HOG0016831"
"163","N0.HOG0002924"
"164","N0.HOG0003389"
"165","N0.HOG0016551"
"166","N0.HOG0001140"
"167","N0.HOG0019513"
"168","N0.HOG0016608"
"169","N0.HOG0006598"
"170","N0.HOG0012483"
"171","N0.HOG0012616"
"172","N0.HOG0002443"
"173","N0.HOG0008495"
"174","N0.HOG0008765"
"175","N0.HOG0008803"
"176","N0.HOG0003948"
"177","N0.HOG0016710"
"178","N0.HOG0008453"
"179","N0.HOG0008760"
"180","N0.HOG0019610"
"181","N0.HOG0005476"
"182","N0.HOG0012569"
"183","N0.HOG0008808"
"184","N0.HOG0012297"
"185","N0.HOG0012614"
"186","N0.HOG0012566"
"187","N0.HOG0012908"
"188","N0.HOG0012203"
"189","N0.HOG0016545"
"190","N0.HOG0019508"
"191","N0.HOG0008515"
"192","N0.HOG0012564"
"193","N0.HOG0019590"
"194","N0.HOG0012796"
"195","N0.HOG0001787"
"196","N0.HOG0016197"
"197","N0.HOG0012222"
"198","N0.HOG0012465"
"199","N0.HOG0012708"
"200","N0.HOG0003984"
"201","N0.HOG0008866"
"202","N0.HOG0016555"
"203","N0.HOG0003203"
"204","N0.HOG0008451"
"205","N0.HOG0019697"
"206","N0.HOG0008030"
"207","N0.HOG0012921"
"208","N0.HOG0012478"
"209","N0.HOG0016745"
"210","N0.HOG0012940"
"211","N0.HOG0008479"
"212","N0.HOG0012344"
"213","N0.HOG0008598"
"214","N0.HOG0006653"
"215","N0.HOG0005417"
"216","N0.HOG0012349"
"217","N0.HOG0016698"
"218","N0.HOG0008720"
"219","N0.HOG0012866"
"220","N0.HOG0012815"
"221","N0.HOG0008632"
"222","N0.HOG0012181"
"223","N0.HOG0008694"
"224","N0.HOG0012340"
"225","N0.HOG0012270"
"226","N0.HOG0016681"
"227","N0.HOG0012928"
"228","N0.HOG0008466"
"229","N0.HOG0012565"
"230","N0.HOG0002038"
"231","N0.HOG0008817"
"232","N0.HOG0003968"
"233","N0.HOG0006477"
"234","N0.HOG0012622"
"235","N0.HOG0003411"
"236","N0.HOG0001074"
"237","N0.HOG0008664"
"238","N0.HOG0000881"
"239","N0.HOG0016736"
"240","N0.HOG0016585"
"241","N0.HOG0012346"
"242","N0.HOG0012870"
"243","N0.HOG0012774"
"244","N0.HOG0012962"
"245","N0.HOG0017119"
"246","N0.HOG0016828"
"247","N0.HOG0000955"
"248","N0.HOG0008688"
"249","N0.HOG0001810"
"250","N0.HOG0002086"
"251","N0.HOG0019875"
"252","N0.HOG0017144"
"253","N0.HOG0001502"
"254","N0.HOG0017114"
"255","N0.HOG0017160"
"256","N0.HOG0003465"
"257","N0.HOG0013137"
"258","N0.HOG0009013"
"259","N0.HOG0017073"
"260","N0.HOG0002666"
"261","N0.HOG0000561"
"262","N0.HOG0021861"
"263","N0.HOG0012588"
"264","N0.HOG0019853"
"265","N0.HOG0005513"
"266","N0.HOG0006679"
"267","N0.HOG0013171"
"268","N0.HOG0013173"
"269","N0.HOG0017107"
"270","N0.HOG0002905"
"271","N0.HOG0015921"
"272","N0.HOG0013139"
"273","N0.HOG0012983"
"274","N0.HOG0006707"
"275","N0.HOG0019897"
"276","N0.HOG0013201"
"277","N0.HOG0011376"
"278","N0.HOG0003487"
"279","N0.HOG0006727"
"280","N0.HOG0021874"
"281","N0.HOG0005343"
"282","N0.HOG0013125"
"283","N0.HOG0013156"
"284","N0.HOG0006716"
"285","N0.HOG0013166"
"286","N0.HOG0003293"
"287","N0.HOG0012209"
"288","N0.HOG0011676"
"289","N0.HOG0011677"
"290","N0.HOG0013136"
"291","N0.HOG0000081"
"292","N0.HOG0000099"
"293","N0.HOG0002948"
"294","N0.HOG0017134"
"295","N0.HOG0019837"
"296","N0.HOG0019826"
"297","N0.HOG0012887"
"298","N0.HOG0017143"
"299","N0.HOG0009009"
"300","N0.HOG0005512"
"301","N0.HOG0003732"
"302","N0.HOG0008992"
"303","N0.HOG0009821"
"304","N0.HOG0003399"
"305","N0.HOG0014282"
"306","N0.HOG0001801"
"307","N0.HOG0014740"
"308","N0.HOG0009653"
"309","N0.HOG0018019"
"310","N0.HOG0014392"
"311","N0.HOG0014694"
"312","N0.HOG0002533"
"313","N0.HOG0007041"
"314","N0.HOG0009730"
"315","N0.HOG0009765"
"316","N0.HOG0004808"
"317","N0.HOG0009826"
"318","N0.HOG0017854"
"319","N0.HOG0017949"
"320","N0.HOG0018071"
"321","N0.HOG0004906"
"322","N0.HOG0004931"
"323","N0.HOG0009752"
"324","N0.HOG0002310"
"325","N0.HOG0004923"
"326","N0.HOG0018046"
"327","N0.HOG0014617"
"328","N0.HOG0014271"
"329","N0.HOG0004909"
"330","N0.HOG0014496"
"331","N0.HOG0014677"
"332","N0.HOG0009832"
"333","N0.HOG0020409"
"334","N0.HOG0004103"
"335","N0.HOG0004186"
"336","N0.HOG0014610"
"337","N0.HOG0001206"
"338","N0.HOG0014557"
"339","N0.HOG0009710"
"340","N0.HOG0006402"
"341","N0.HOG0014287"
"342","N0.HOG0001401"
"343","N0.HOG0014265"
"344","N0.HOG0009758"
"345","N0.HOG0014609"
"346","N0.HOG0000908"
"347","N0.HOG0000682"
"348","N0.HOG0004168"
"349","N0.HOG0014534"
"350","N0.HOG0000998"
"351","N0.HOG0014466"
"352","N0.HOG0014688"
"353","N0.HOG0020322"
"354","N0.HOG0017874"
"355","N0.HOG0009724"
"356","N0.HOG0014483"
"357","N0.HOG0022164"
"358","N0.HOG0020293"
"359","N0.HOG0002505"
"360","N0.HOG0001961"
"361","N0.HOG0017891"
"362","N0.HOG0009780"
"363","N0.HOG0005747"
"364","N0.HOG0014421"
"365","N0.HOG0004883"
"366","N0.HOG0003012"
"367","N0.HOG0009914"
"368","N0.HOG0014378"
"369","N0.HOG0014461"
"370","N0.HOG0022177"
"371","N0.HOG0001856"
"372","N0.HOG0014579"
"373","N0.HOG0014425"
"374","N0.HOG0001616"
"375","N0.HOG0020374"
"376","N0.HOG0007027"
"377","N0.HOG0003556"
"378","N0.HOG0002116"
"379","N0.HOG0014362"
"380","N0.HOG0001198"
"381","N0.HOG0009808"
"382","N0.HOG0014467"
"383","N0.HOG0020330"
"384","N0.HOG0005709"
"385","N0.HOG0014565"
"386","N0.HOG0007044"
"387","N0.HOG0009891"
"388","N0.HOG0002131"
"389","N0.HOG0009748"
"390","N0.HOG0001772"
"391","N0.HOG0004172"
"392","N0.HOG0001575"
"393","N0.HOG0009790"
"394","N0.HOG0014263"
"395","N0.HOG0001307"
"396","N0.HOG0003029"
"397","N0.HOG0014375"
"398","N0.HOG0003898"
"399","N0.HOG0001326"
"400","N0.HOG0010857"
"401","N0.HOG0009915"
"402","N0.HOG0003589"
"403","N0.HOG0007013"
"404","N0.HOG0009873"
"405","N0.HOG0014649"
"406","N0.HOG0009816"
"407","N0.HOG0018050"
"408","N0.HOG0014581"
"409","N0.HOG0008100"
"410","N0.HOG0005736"
"411","N0.HOG0007039"
"412","N0.HOG0018034"
"413","N0.HOG0001266"
"414","N0.HOG0009794"
"415","N0.HOG0014574"
"416","N0.HOG0004908"
"417","N0.HOG0009711"
"418","N0.HOG0004901"
"419","N0.HOG0000662"
"420","N0.HOG0014505"
"421","N0.HOG0014630"
"422","N0.HOG0017894"
"423","N0.HOG0005721"
"424","N0.HOG0009842"
"425","N0.HOG0020318"
"426","N0.HOG0014606"
"427","N0.HOG0009728"
"428","N0.HOG0009903"
