"","x"
"1","N0.HOG0004532"
"2","N0.HOG0005079"
"3","N0.HOG0000340"
"4","N0.HOG0004009"
"5","N0.HOG0008539"
"6","N0.HOG0001649"
"7","N0.HOG0005378"
"8","N0.HOG0005148"
"9","N0.HOG0006291"
"10","N0.HOG0006492"
"11","N0.HOG0005473"
"12","N0.HOG0004709"
"13","N0.HOG0003381"
"14","N0.HOG0004030"
"15","N0.HOG0005145"
"16","N0.HOG0005217"
"17","N0.HOG0001302"
"18","N0.HOG0001067"
"19","N0.HOG0002752"
"20","N0.HOG0012179"
"21","N0.HOG0004654"
"22","N0.HOG0004662"
"23","N0.HOG0002869"
"24","N0.HOG0003282"
"25","N0.HOG0004696"
"26","N0.HOG0006539"
"27","N0.HOG0006276"
"28","N0.HOG0004683"
"29","N0.HOG0005479"
"30","N0.HOG0008593"
"31","N0.HOG0003718"
"32","N0.HOG0006605"
"33","N0.HOG0000325"
"34","N0.HOG0001419"
"35","N0.HOG0003410"
"36","N0.HOG0001559"
"37","N0.HOG0003394"
"38","N0.HOG0000886"
"39","N0.HOG0008144"
"40","N0.HOG0003250"
"41","N0.HOG0005386"
"42","N0.HOG0006519"
"43","N0.HOG0004646"
"44","N0.HOG0006512"
"45","N0.HOG0004031"
"46","N0.HOG0003297"
"47","N0.HOG0008781"
"48","N0.HOG0004004"
"49","N0.HOG0005946"
"50","N0.HOG0005426"
"51","N0.HOG0006344"
"52","N0.HOG0002033"
"53","N0.HOG0002025"
"54","N0.HOG0004017"
"55","N0.HOG0006490"
"56","N0.HOG0004647"
"57","N0.HOG0003449"
"58","N0.HOG0004638"
"59","N0.HOG0005481"
"60","N0.HOG0006583"
"61","N0.HOG0010990"
"62","N0.HOG0006019"
"63","N0.HOG0006548"
"64","N0.HOG0003423"
"65","N0.HOG0001572"
"66","N0.HOG0001738"
"67","N0.HOG0001369"
"68","N0.HOG0002924"
"69","N0.HOG0004354"
"70","N0.HOG0005418"
"71","N0.HOG0004699"
"72","N0.HOG0006474"
"73","N0.HOG0003376"
"74","N0.HOG0005328"
"75","N0.HOG0004650"
"76","N0.HOG0003365"
"77","N0.HOG0002449"
"78","N0.HOG0002057"
"79","N0.HOG0004687"
"80","N0.HOG0000900"
"81","N0.HOG0008540"
"82","N0.HOG0004458"
"83","N0.HOG0005380"
"84","N0.HOG0002039"
"85","N0.HOG0000965"
"86","N0.HOG0001799"
"87","N0.HOG0003988"
"88","N0.HOG0000884"
"89","N0.HOG0002626"
"90","N0.HOG0005266"
"91","N0.HOG0004396"
"92","N0.HOG0009006"
"93","N0.HOG0004415"
"94","N0.HOG0005178"
"95","N0.HOG0006495"
"96","N0.HOG0006205"
"97","N0.HOG0005504"
"98","N0.HOG0012336"
"99","N0.HOG0006342"
"100","N0.HOG0006712"
"101","N0.HOG0006332"
"102","N0.HOG0003775"
"103","N0.HOG0004383"
"104","N0.HOG0000883"
"105","N0.HOG0004674"
"106","N0.HOG0006691"
"107","N0.HOG0000404"
"108","N0.HOG0006212"
"109","N0.HOG0004051"
"110","N0.HOG0001845"
"111","N0.HOG0002490"
"112","N0.HOG0005224"
"113","N0.HOG0004181"
"114","N0.HOG0007011"
"115","N0.HOG0004808"
"116","N0.HOG0002523"
"117","N0.HOG0000956"
"118","N0.HOG0004931"
"119","N0.HOG0004512"
"120","N0.HOG0006196"
"121","N0.HOG0006834"
"122","N0.HOG0005577"
"123","N0.HOG0003725"
"124","N0.HOG0004533"
"125","N0.HOG0007577"
"126","N0.HOG0004917"
"127","N0.HOG0007005"
"128","N0.HOG0007007"
"129","N0.HOG0005734"
"130","N0.HOG0007359"
"131","N0.HOG0001401"
"132","N0.HOG0003115"
"133","N0.HOG0005451"
"134","N0.HOG0001290"
"135","N0.HOG0005670"
"136","N0.HOG0003856"
"137","N0.HOG0000804"
"138","N0.HOG0003020"
"139","N0.HOG0001961"
"140","N0.HOG0002667"
"141","N0.HOG0007014"
"142","N0.HOG0007483"
"143","N0.HOG0001932"
"144","N0.HOG0003804"
"145","N0.HOG0005566"
"146","N0.HOG0004448"
"147","N0.HOG0000225"
"148","N0.HOG0004910"
"149","N0.HOG0004452"
"150","N0.HOG0004488"
"151","N0.HOG0003601"
"152","N0.HOG0003239"
"153","N0.HOG0001609"
"154","N0.HOG0004908"
"155","N0.HOG0001331"
"156","N0.HOG0005551"
"157","N0.HOG0006690"
"158","N0.HOG0002695"
"159","N0.HOG0004915"
"160","N0.HOG0003607"
"161","N0.HOG0006400"
"162","N0.HOG0009639"
"163","N0.HOG0004437"
"164","N0.HOG0004121"
"165","N0.HOG0005281"
"166","N0.HOG0005050"
"167","N0.HOG0004160"
"168","N0.HOG0011927"
"169","N0.HOG0004323"
"170","N0.HOG0006951"
"171","N0.HOG0003762"
"172","N0.HOG0001593"
"173","N0.HOG0004855"
"174","N0.HOG0005727"
"175","N0.HOG0000711"
"176","N0.HOG0005666"
"177","N0.HOG0001151"
"178","N0.HOG0007107"
"179","N0.HOG0004856"
"180","N0.HOG0006998"
"181","N0.HOG0006326"
"182","N0.HOG0009879"
"183","N0.HOG0005960"
"184","N0.HOG0006090"
"185","N0.HOG0003746"
"186","N0.HOG0005093"
"187","N0.HOG0005120"
"188","N0.HOG0004374"
"189","N0.HOG0000362"
"190","N0.HOG0000135"
"191","N0.HOG0007364"
"192","N0.HOG0003186"
"193","N0.HOG0002213"
"194","N0.HOG0000862"
"195","N0.HOG0002643"
"196","N0.HOG0006096"
"197","N0.HOG0005104"
"198","N0.HOG0007722"
"199","N0.HOG0005075"
"200","N0.HOG0001682"
"201","N0.HOG0004377"
"202","N0.HOG0005139"
"203","N0.HOG0002654"
"204","N0.HOG0005170"
"205","N0.HOG0004368"
"206","N0.HOG0003751"
"207","N0.HOG0004353"
"208","N0.HOG0005116"
"209","N0.HOG0007583"
"210","N0.HOG0000460"
"211","N0.HOG0001254"
"212","N0.HOG0001507"
"213","N0.HOG0003195"
"214","N0.HOG0005168"
"215","N0.HOG0004356"
"216","N0.HOG0005162"
"217","N0.HOG0003137"
"218","N0.HOG0003753"
"219","N0.HOG0010573"
"220","N0.HOG0001373"
"221","N0.HOG0007494"
"222","N0.HOG0004394"
"223","N0.HOG0004331"
"224","N0.HOG0003687"
"225","N0.HOG0003748"
"226","N0.HOG0004397"
"227","N0.HOG0005172"
"228","N0.HOG0005130"
"229","N0.HOG0007374"
"230","N0.HOG0004343"
"231","N0.HOG0003745"
"232","N0.HOG0005098"
"233","N0.HOG0004325"
"234","N0.HOG0004327"
"235","N0.HOG0006010"
"236","N0.HOG0003694"
"237","N0.HOG0005113"
"238","N0.HOG0005142"
"239","N0.HOG0002664"
"240","N0.HOG0005063"
"241","N0.HOG0000224"
"242","N0.HOG0005998"
"243","N0.HOG0005161"
"244","N0.HOG0004382"
"245","N0.HOG0000585"
