"","set.GOID","set.GOTERM","p_adjust","total","interest","set_total","set_interest"
"17","GO:0071555","cell wall organization",0.0303017418770333,14771,326,51,7
"7","GO:0031349","positive regulation of defense response",0.058005551418328,14771,18,51,2
"28","GO:0019953","sexual reproduction",0.058005551418328,14771,13,51,2
"48","GO:0042691","positive regulation of crystal cell differentiation",0.058005551418328,14771,1,51,1
"75","GO:0035694","mitochondrial protein catabolic process",0.058005551418328,14771,1,51,1
"91","GO:0042178","xenobiotic catabolic process",0.058005551418328,14771,1,51,1
"94","GO:0043090","amino acid import",0.058005551418328,14771,1,51,1
"172","GO:0102903","gamma-terpinene synthase activity",0.058005551418328,14771,1,51,1
"204","GO:0140297","DNA-binding transcription factor binding",0.058005551418328,14771,1,51,1
"210","GO:0102406","omega-hydroxypalmitate O-sinapoyl transferase activity",0.058005551418328,14771,1,51,1
"211","GO:0004328","formamidase activity",0.058005551418328,14771,1,51,1
"228","GO:0033771","licodione synthase activity",0.058005551418328,14771,1,51,1
"229","GO:0102469","naringenin 2-hydroxylase activity",0.058005551418328,14771,1,51,1
"230","GO:0102472","eriodictyol 2-hydroxylase activity",0.058005551418328,14771,1,51,1
"233","GO:0047998","hyoscyamine (6S)-dioxygenase activity",0.058005551418328,14771,1,51,1
"27","GO:0009653","anatomical structure morphogenesis",0.0599041759155194,14771,28,51,2
"36","GO:0009813","flavonoid biosynthetic process",0.0599041759155194,14771,33,51,2
"73","GO:0006123","mitochondrial electron transport, cytochrome c to oxygen",0.0599041759155194,14771,2,51,1
"88","GO:0006805","xenobiotic metabolic process",0.0599041759155194,14771,2,51,1
"96","GO:0005854","nascent polypeptide-associated complex",0.0599041759155194,14771,2,51,1
"123","GO:0009317","acetyl-CoA carboxylase complex",0.0599041759155194,14771,2,51,1
"163","GO:0004478","methionine adenosyltransferase activity",0.0599041759155194,14771,2,51,1
"170","GO:0050551","myrcene synthase activity",0.0599041759155194,14771,2,51,1
"171","GO:0050552","(4S)-limonene synthase activity",0.0599041759155194,14771,2,51,1
"190","GO:0045552","dihydrokaempferol 4-reductase activity",0.0599041759155194,14771,2,51,1
"191","GO:0047890","flavanone 4-reductase activity",0.0599041759155194,14771,2,51,1
"203","GO:0051087","protein-folding chaperone binding",0.0599041759155194,14771,28,51,2
"227","GO:0016712","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen",0.0599041759155194,14771,2,51,1
"247","GO:0052793","pectin acetylesterase activity",0.0599041759155194,14771,2,51,1
"114","GO:0022625","cytosolic large ribosomal subunit",0.0704264058010865,14771,40,51,2
"40","GO:0040010","positive regulation of growth rate",0.0812944769716405,14771,3,51,1
"69","GO:0060966","regulation of gene silencing by regulatory ncRNA",0.0812944769716405,14771,3,51,1
"13","GO:0006556","S-adenosylmethionine biosynthetic process",0.0844560852782114,14771,4,51,1
"72","GO:0010888","negative regulation of lipid storage",0.0844560852782114,14771,4,51,1
"127","GO:0010369","chromocenter",0.0844560852782114,14771,4,51,1
"137","GO:0043661","peribacteroid membrane",0.0844560852782114,14771,4,51,1
"179","GO:0050505","hydroquinone glucosyltransferase activity",0.0844560852782114,14771,4,51,1
"192","GO:0008198","ferrous iron binding",0.0844560852782114,14771,4,51,1
"193","GO:0032453","histone H3K4 demethylase activity",0.0844560852782114,14771,4,51,1
"206","GO:0003989","acetyl-CoA carboxylase activity",0.0844560852782114,14771,4,51,1
"238","GO:0046481","digalactosyldiacylglycerol synthase activity",0.0844560852782114,14771,4,51,1
"60","GO:0052325","cell wall pectin biosynthetic process",0.084726657065396,14771,5,51,1
"63","GO:0002833","positive regulation of response to biotic stimulus",0.084726657065396,14771,5,51,1
"68","GO:0032103","positive regulation of response to external stimulus",0.084726657065396,14771,5,51,1
"157","GO:0004473","malate dehydrogenase (decarboxylating) (NADP+) activity",0.084726657065396,14771,5,51,1
"169","GO:0016838","carbon-oxygen lyase activity, acting on phosphates",0.084726657065396,14771,5,51,1
"189","GO:0070008","serine-type exopeptidase activity",0.084726657065396,14771,5,51,1
"194","GO:0034647","histone H3K4me/H3K4me2/H3K4me3 demethylase activity",0.084726657065396,14771,5,51,1
"221","GO:0102070","18-hydroxyoleate peroxygenase activity",0.084726657065396,14771,5,51,1
"222","GO:1990137","plant seed peroxidase activity",0.084726657065396,14771,5,51,1
"236","GO:0140581","P-type monovalent copper transporter activity",0.084726657065396,14771,5,51,1
"10","GO:0006865","amino acid transport",0.0882490451428028,14771,60,51,2
"11","GO:0006090","pyruvate metabolic process",0.0924377318242958,14771,6,51,1
"158","GO:0008948","oxaloacetate decarboxylase activity",0.0924377318242958,14771,6,51,1
"165","GO:0016757","glycosyltransferase activity",0.0924377318242958,14771,456,51,5
