"","GOID","GOTERM","ONTOLOGY","HOGs_with_GO_COUNT","HOGs_with_GO","TOTAL_COUNT.all_GO_ID","TOTAL_COUNT.Freq","Ta_COUNT.Var1","Ta_COUNT.Freq","Os_COUNT.Var1","Os_COUNT.Freq","Ms_COUNT.Var1","Ms_COUNT.Freq","Sb_COUNT.Var1","Sb_COUNT.Freq","Zm_COUNT.Var1","Zm_COUNT.Freq","DEFINITION"
"1","GO:0015031","protein transport","BP",1,"N0.HOG0001572","GO:0015031",13,"GO:0015031",3,"GO:0015031",1,"GO:0015031",4,"GO:0015031",2,"GO:0015031",3,"The directed movement of proteins into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."
"2","GO:0006355","regulation of DNA-templated transcription","BP",6,"N0.HOG0003297 N0.HOG0001932 N0.HOG0003381 N0.HOG0004356 N0.HOG0002693 N0.HOG0004383","GO:0006355",79,"GO:0006355",17,"GO:0006355",5,"GO:0006355",28,"GO:0006355",12,"GO:0006355",17,"Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"3","GO:0006357","regulation of transcription by RNA polymerase II","BP",1,"N0.HOG0003297","GO:0006357",14,"GO:0006357",3,"GO:0006357",1,"GO:0006357",4,"GO:0006357",2,"GO:0006357",4,"Any process that modulates the frequency, rate or extent of transcription mediated by RNA polymerase II."
"4","GO:0045893","positive regulation of DNA-templated transcription","BP",3,"N0.HOG0003297 N0.HOG0003381 N0.HOG0004356","GO:0045893",40,"GO:0045893",8,"GO:0045893",3,"GO:0045893",13,"GO:0045893",6,"GO:0045893",10,"Any process that activates or increases the frequency, rate or extent of cellular DNA-templated transcription."
"5","GO:0016310","phosphorylation","BP",4,"N0.HOG0004545 N0.HOG0003601 N0.HOG0001609 N0.HOG0000135","GO:0016310",55,"GO:0016310",12,"GO:0016310",4,"GO:0016310",17,"GO:0016310",12,"GO:0016310",10,"The process of introducing a phosphate group into a molecule, usually with the formation of a phosphoric ester, a phosphoric anhydride or a phosphoric amide."
"6","GO:0006952","defense response","BP",4,"N0.HOG0004545 N0.HOG0001609 N0.HOG0000135 N0.HOG0000208","GO:0006952",35,"GO:0006952",7,"GO:0006952",2,"GO:0006952",11,"GO:0006952",6,"GO:0006952",9,"Reactions, triggered in response to the presence of a foreign body or the occurrence of an injury, which result in restriction of damage to the organism attacked or prevention/recovery from the infection caused by the attack."
"7","GO:0031349","positive regulation of defense response","BP",2,"N0.HOG0004545 N0.HOG0000135","GO:0031349",19,"GO:0031349",4,"GO:0031349",1,"GO:0031349",7,"GO:0031349",3,"GO:0031349",4,"Any process that activates or increases the frequency, rate or extent of a defense response."
"8","GO:0046777","protein autophosphorylation","BP",1,"N0.HOG0000135","GO:0046777",7,"GO:0046777",1,"GO:0046777",0,"GO:0046777",3,"GO:0046777",1,"GO:0046777",2,"The phosphorylation by a protein of one or more of its own amino acid residues (cis-autophosphorylation), or residues on an identical protein (trans-autophosphorylation)."
"9","GO:1900426","positive regulation of defense response to bacterium","BP",1,"N0.HOG0000135","GO:1900426",7,"GO:1900426",1,"GO:1900426",0,"GO:1900426",3,"GO:1900426",1,"GO:1900426",2,NA
"10","GO:0006865","amino acid transport","BP",2,"N0.HOG0000208 N0.HOG0001967","GO:0006865",39,"GO:0006865",5,"GO:0006865",2,"GO:0006865",13,"GO:0006865",9,"GO:0006865",10,"The directed movement of amino acids, organic acids containing one or more amino substituents, into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."
"11","GO:0006090","pyruvate metabolic process","BP",1,"N0.HOG0000362","GO:0006090",13,"GO:0006090",3,"GO:0006090",1,"GO:0006090",4,"GO:0006090",3,"GO:0006090",2,"The chemical reactions and pathways involving pyruvate, 2-oxopropanoate."
"12","GO:0006108","malate metabolic process","BP",1,"N0.HOG0000362","GO:0006108",13,"GO:0006108",3,"GO:0006108",1,"GO:0006108",4,"GO:0006108",3,"GO:0006108",2,"The chemical reactions and pathways involving malate, the anion of hydroxybutanedioic acid, a chiral hydroxydicarboxylic acid. The (+) enantiomer is an important intermediate in metabolism as a component of both the TCA cycle and the glyoxylate cycle."
"13","GO:0006556","S-adenosylmethionine biosynthetic process","BP",1,"N0.HOG0000585","GO:0006556",12,"GO:0006556",3,"GO:0006556",1,"GO:0006556",4,"GO:0006556",2,"GO:0006556",2,"The chemical reactions and pathways resulting in the formation of S-adenosylmethionine, S-(5'-adenosyl)-L-methionine, an important intermediate in one-carbon metabolism."
"14","GO:0006730","one-carbon metabolic process","BP",1,"N0.HOG0000585","GO:0006730",12,"GO:0006730",3,"GO:0006730",1,"GO:0006730",4,"GO:0006730",2,"GO:0006730",2,"The chemical reactions and pathways involving the transfer of one-carbon units in various oxidation states."
"15","GO:0006486","protein glycosylation","BP",1,"N0.HOG0000995","GO:0006486",24,"GO:0006486",6,"GO:0006486",2,"GO:0006486",8,"GO:0006486",4,"GO:0006486",4,"A protein modification process that results in the addition of a carbohydrate or carbohydrate derivative unit to a protein amino acid, e.g. the addition of glycan chains to proteins."
"16","GO:0042546","cell wall biogenesis","BP",1,"N0.HOG0000995","GO:0042546",24,"GO:0042546",6,"GO:0042546",2,"GO:0042546",8,"GO:0042546",4,"GO:0042546",4,"A cellular process that results in the biosynthesis of constituent macromolecules, assembly, and arrangement of constituent parts of a cell wall. Includes biosynthesis of constituent macromolecules, such as proteins and polysaccharides, and those macromolecular modifications that are involved in synthesis or assembly of the cellular component. A cell wall is the rigid or semi-rigid envelope lying outside the cell membrane of plant, fungal and most prokaryotic cells, maintaining their shape and protecting them from osmotic lysis."
"17","GO:0071555","cell wall organization","BP",7,"N0.HOG0004343 N0.HOG0002025 N0.HOG0000995 N0.HOG0004017 N0.HOG0004368 N0.HOG0001331 N0.HOG0002643","GO:0071555",105,"GO:0071555",21,"GO:0071555",8,"GO:0071555",36,"GO:0071555",19,"GO:0071555",21,"A process that results in the assembly, arrangement of constituent parts, or disassembly of the cell wall, the rigid or semi-rigid envelope lying outside the cell membrane of plant, fungal and most prokaryotic cells, maintaining their shape and protecting them from osmotic lysis."
"18","GO:0009611","response to wounding","BP",1,"N0.HOG0001045","GO:0009611",23,"GO:0009611",1,"GO:0009611",1,"GO:0009611",14,"GO:0009611",4,"GO:0009611",3,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating damage to the organism."
"19","GO:0016102","diterpenoid biosynthetic process","BP",1,"N0.HOG0001045","GO:0016102",23,"GO:0016102",1,"GO:0016102",1,"GO:0016102",14,"GO:0016102",4,"GO:0016102",3,"The chemical reactions and pathways resulting in the formation of diterpenoid compounds, terpenoids with four isoprene units."
"20","GO:0016114","terpenoid biosynthetic process","BP",1,"N0.HOG0001045","GO:0016114",23,"GO:0016114",1,"GO:0016114",1,"GO:0016114",14,"GO:0016114",4,"GO:0016114",3,"The chemical reactions and pathways resulting in the formation of terpenoids, any member of a class of compounds characterized by an isoprenoid chemical structure."
"21","GO:0050896","response to stimulus","BP",1,"N0.HOG0001045","GO:0050896",23,"GO:0050896",1,"GO:0050896",1,"GO:0050896",14,"GO:0050896",4,"GO:0050896",3,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus. The process begins with detection of the stimulus and ends with a change in state or activity or the cell or organism."
"22","GO:0009833","plant-type primary cell wall biogenesis","BP",1,"N0.HOG0001331","GO:0009833",13,"GO:0009833",3,"GO:0009833",1,"GO:0009833",4,"GO:0009833",3,"GO:0009833",2,"A cellular process that results in the biosynthesis of constituent macromolecules, assembly, and arrangement of constituent parts of cellulose and pectin-containing cell walls that form adjacent to the middle lamella following cell division and during cell expansion. An example of this is found in Arabidopsis thaliana."
"23","GO:0030244","cellulose biosynthetic process","BP",1,"N0.HOG0001331","GO:0030244",13,"GO:0030244",3,"GO:0030244",1,"GO:0030244",4,"GO:0030244",3,"GO:0030244",2,"The chemical reactions and pathways resulting in the formation of cellulose, a linear beta1-4 glucan of molecular mass 50-400 kDa with the pyranose units in the -4C1 conformation."
"24","GO:0071669","plant-type cell wall organization or biogenesis","BP",1,"N0.HOG0001331","GO:0071669",13,"GO:0071669",3,"GO:0071669",1,"GO:0071669",4,"GO:0071669",3,"GO:0071669",2,"A process that results in the biosynthesis of constituent macromolecules, assembly, arrangement of constituent parts, or disassembly of a cellulose- and pectin-containing cell wall."
"25","GO:0006412","translation","BP",2,"N0.HOG0002924 N0.HOG0001401","GO:0006412",27,"GO:0006412",5,"GO:0006412",2,"GO:0006412",10,"GO:0006412",5,"GO:0006412",5,"The cellular metabolic process in which a protein is formed, using the sequence of a mature mRNA or circRNA molecule to specify the sequence of amino acids in a polypeptide chain. Translation is mediated by the ribosome, and begins with the formation of a ternary complex between aminoacylated initiator methionine tRNA, GTP, and initiation factor 2, which subsequently associates with the small subunit of the ribosome and an mRNA or circRNA. Translation ends with the release of a polypeptide chain from the ribosome."
"26","GO:0042742","defense response to bacterium","BP",1,"N0.HOG0001609","GO:0042742",15,"GO:0042742",3,"GO:0042742",1,"GO:0042742",4,"GO:0042742",3,"GO:0042742",4,"Reactions triggered in response to the presence of a bacterium that act to protect the cell or organism."
"27","GO:0009653","anatomical structure morphogenesis","BP",2,"N0.HOG0002025 N0.HOG0004017","GO:0009653",30,"GO:0009653",4,"GO:0009653",2,"GO:0009653",11,"GO:0009653",6,"GO:0009653",7,"The process in which anatomical structures are generated and organized. Morphogenesis pertains to the creation of form."
"28","GO:0019953","sexual reproduction","BP",2,"N0.HOG0002025 N0.HOG0004017","GO:0019953",30,"GO:0019953",4,"GO:0019953",2,"GO:0019953",11,"GO:0019953",6,"GO:0019953",7,"A type of reproduction that combines the genetic material of two gametes (such as a sperm or egg cell or fungal spores). The gametes have an haploid genome (with a single set of chromosomes, the product of a meiotic division) and combines with one another to produce a zygote (diploid)."
"29","GO:0032259","methylation","BP",1,"N0.HOG0002293","GO:0032259",16,"GO:0032259",3,"GO:0032259",1,"GO:0032259",7,"GO:0032259",3,"GO:0032259",2,"The process in which a methyl group is covalently attached to a molecule."
"30","GO:0009664","plant-type cell wall organization","BP",1,"N0.HOG0002643","GO:0009664",14,"GO:0009664",3,"GO:0009664",1,"GO:0009664",5,"GO:0009664",2,"GO:0009664",3,"A process that results in the assembly and arrangement of constituent parts of the cellulose and pectin-containing cell wall, or in the disassembly of the cellulose and pectin-containing cell wall. This process is carried out at the cellular level. An example of this process is found in Arabidopsis thaliana."
