"","GO.ID","Term","Annotated","Significant","Expected","weight01","Ontology"
"1","GO:0071555","cell wall organization",366,7,1.37,0.002,"BP"
"2","GO:0045814","negative regulation of gene expression, ...",72,2,0.27,0.0744,"BP"
"3","GO:0045893","positive regulation of DNA-templated tra...",274,3,1.02,0.0824,"BP"
"4","GO:0098869","cellular oxidant detoxification",140,2,0.52,0.0962,"BP"
"5","GO:0009636","response to toxic substance",236,3,0.88,0.1003,"BP"
"6","GO:0051603","proteolysis involved in protein cataboli...",283,2,1.06,0.1029,"BP"
"7","GO:0009813","flavonoid biosynthetic process",61,2,0.23,0.1142,"BP"
"8","GO:0042546","cell wall biogenesis",157,4,0.59,0.1164,"BP"
"9","GO:0006865","amino acid transport",70,2,0.26,0.1336,"BP"
"10","GO:0019953","sexual reproduction",186,2,0.7,0.1532,"BP"
"11","GO:0006979","response to oxidative stress",259,2,0.97,0.2524,"BP"
"12","GO:0009664","plant-type cell wall organization",114,2,0.43,0.2662,"BP"
"13","GO:0042742","defense response to bacterium",213,2,0.8,0.4612,"BP"
"14","GO:0009653","anatomical structure morphogenesis",612,3,2.29,0.4883,"BP"
"15","GO:0006412","translation",490,2,1.83,0.5522,"BP"
"16","GO:0016567","protein ubiquitination",509,2,1.9,0.5732,"BP"
"17","GO:0006357","regulation of transcription by RNA polym...",269,2,1.01,0.5924,"BP"
"18","GO:0006355","regulation of DNA-templated transcriptio...",1412,7,5.28,0.6241,"BP"
"19","GO:0016310","phosphorylation",1035,4,3.87,0.6527,"BP"
"20","GO:0006952","defense response",963,4,3.6,0.767,"BP"
"21","GO:0006508","proteolysis",690,3,2.58,0.7809,"BP"
"22","GO:0055085","transmembrane transport",930,3,3.48,0.8613,"BP"
"23","GO:0051254","positive regulation of RNA metabolic pro...",310,3,1.16,1,"BP"
"24","GO:0009889","regulation of biosynthetic process",1830,9,6.84,1,"BP"
"25","GO:0080134","regulation of response to stress",339,2,1.27,1,"BP"
"26","GO:0036211","protein modification process",1004,4,3.75,1,"BP"
"27","GO:0007049","cell cycle",497,2,1.86,1,"BP"
"28","GO:0048522","positive regulation of cellular process",603,4,2.25,1,"BP"
"29","GO:0034641","cellular nitrogen compound metabolic pro...",3830,10,14.32,1,"BP"
"30","GO:0048523","negative regulation of cellular process",627,3,2.34,1,"BP"
"31","GO:0006325","chromatin organization",311,2,1.16,1,"BP"
"32","GO:0042221","response to chemical",1782,6,6.66,1,"BP"
"33","GO:0006725","cellular aromatic compound metabolic pro...",3639,11,13.61,1,"BP"
"34","GO:0048518","positive regulation of biological proces...",795,7,2.97,1,"BP"
"35","GO:0097237","cellular response to toxic substance",149,2,0.56,1,"BP"
"36","GO:0048519","negative regulation of biological proces...",759,4,2.84,1,"BP"
"37","GO:0071702","organic substance transport",1087,3,4.06,1,"BP"
"38","GO:0071704","organic substance metabolic process",7508,31,28.07,1,"BP"
"39","GO:0009812","flavonoid metabolic process",72,2,0.27,1,"BP"
"40","GO:0032101","regulation of response to external stimu...",167,2,0.62,1,"BP"
"41","GO:0071705","nitrogen compound transport",863,3,3.23,1,"BP"
"42","GO:0032103","positive regulation of response to exter...",80,2,0.3,1,"BP"
"43","GO:0006807","nitrogen compound metabolic process",5762,18,21.54,1,"BP"
"44","GO:0019748","secondary metabolic process",206,3,0.77,1,"BP"
"45","GO:0048856","anatomical structure development",1841,4,6.88,1,"BP"
"46","GO:0032501","multicellular organismal process",1715,2,6.41,1,"BP"
"47","GO:0032502","developmental process",1926,5,7.2,1,"BP"
"48","GO:0031323","regulation of cellular metabolic process",1979,9,7.4,1,"BP"
"49","GO:2001141","regulation of RNA biosynthetic process",1413,7,5.28,1,"BP"
"50","GO:0031324","negative regulation of cellular metaboli...",424,3,1.59,1,"BP"
"51","GO:0031325","positive regulation of cellular metaboli...",407,3,1.52,1,"BP"
"52","GO:0010033","response to organic substance",1365,3,5.1,1,"BP"
"53","GO:0031326","regulation of cellular biosynthetic proc...",1819,9,6.8,1,"BP"
"54","GO:0031327","negative regulation of cellular biosynth...",382,3,1.43,1,"BP"
"55","GO:0043687","post-translational protein modification",613,2,2.29,1,"BP"
"56","GO:0031328","positive regulation of cellular biosynth...",351,3,1.31,1,"BP"
"57","GO:0032446","protein modification by small protein co...",532,2,1.99,1,"BP"
"58","GO:0051707","response to other organism",739,4,2.76,1,"BP"
"59","GO:0006259","DNA metabolic process",507,2,1.9,1,"BP"
"60","GO:0006338","chromatin remodeling",242,2,0.9,1,"BP"
"61","GO:0071554","cell wall organization or biogenesis",487,8,1.82,1,"BP"
"62","GO:0009832","plant-type cell wall biogenesis",122,3,0.46,1,"BP"
"63","GO:0044255","cellular lipid metabolic process",637,3,2.38,1,"BP"
"64","GO:0019222","regulation of metabolic process",2058,9,7.7,1,"BP"
"65","GO:0031347","regulation of defense response",200,2,0.75,1,"BP"
"66","GO:0044281","small molecule metabolic process",1292,3,4.83,1,"BP"
"67","GO:0009698","phenylpropanoid metabolic process",121,3,0.45,1,"BP"
"68","GO:0032787","monocarboxylic acid metabolic process",396,2,1.48,1,"BP"
"69","GO:0051234","establishment of localization",1961,5,7.33,1,"BP"
"70","GO:0009699","phenylpropanoid biosynthetic process",81,3,0.3,1,"BP"
"71","GO:0031349","positive regulation of defense response",82,2,0.31,1,"BP"
"72","GO:0070647","protein modification by small protein co...",561,2,2.1,1,"BP"
"73","GO:0045229","external encapsulating structure organiz...",393,7,1.47,1,"BP"
"74","GO:0032774","RNA biosynthetic process",1556,7,5.82,1,"BP"
"75","GO:0051171","regulation of nitrogen compound metaboli...",1707,8,6.38,1,"BP"
"76","GO:0044271","cellular nitrogen compound biosynthetic ...",2402,9,8.98,1,"BP"
"77","GO:0051173","positive regulation of nitrogen compound...",372,3,1.39,1,"BP"
"78","GO:0016051","carbohydrate biosynthetic process",245,2,0.92,1,"BP"
"79","GO:0019219","regulation of nucleobase-containing comp...",1544,8,5.77,1,"BP"
"80","GO:0051179","localization",2042,6,7.64,1,"BP"
"81","GO:0033036","macromolecule localization",823,2,3.08,1,"BP"
"82","GO:0090304","nucleic acid metabolic process",3011,8,11.26,1,"BP"
"83","GO:0051082","unfolded protein binding",83,2,0.29,0.0332,"MF"
"84","GO:0020037","heme binding",241,3,0.83,0.0501,"MF"
"85","GO:0051087","protein-folding chaperone binding",38,2,0.13,0.0842,"MF"
"86","GO:0003735","structural constituent of ribosome",204,2,0.7,0.1563,"MF"
"87","GO:0004601","peroxidase activity",114,2,0.39,0.1593,"MF"
"88","GO:0043565","sequence-specific DNA binding",638,4,2.2,0.171,"MF"
"89","GO:0016887","ATP hydrolysis activity",448,3,1.55,0.2006,"MF"
"90","GO:0005524","ATP binding",1923,9,6.64,0.2102,"MF"
"91","GO:0046872","metal ion binding",2896,14,10,0.2837,"MF"
"92","GO:0000976","transcription cis-regulatory region bind...",405,2,1.4,0.4101,"MF"
"93","GO:0004674","protein serine/threonine kinase activity",677,3,2.34,0.4165,"MF"
"94","GO:0003729","mRNA binding",452,2,1.56,0.466,"MF"
"95","GO:0003700","DNA-binding transcription factor activit...",853,4,2.95,0.4703,"MF"
"96","GO:0016740","transferase activity",2963,13,10.23,0.4767,"MF"
"97","GO:0005506","iron ion binding",207,2,0.71,0.4993,"MF"
"98","GO:0008270","zinc ion binding",578,2,2,0.5997,"MF"
"99","GO:0003677","DNA binding",1658,7,5.73,0.6293,"MF"
"100","GO:0016301","kinase activity",1129,4,3.9,0.6432,"MF"
"101","GO:0003723","RNA binding",1256,3,4.34,0.942,"MF"
"102","GO:0005515","protein binding",3321,8,11.47,0.9954,"MF"
"103","GO:0003690","double-stranded DNA binding",488,2,1.69,1,"MF"
"104","GO:0016462","pyrophosphatase activity",633,3,2.19,1,"MF"
"105","GO:0008194","UDP-glycosyltransferase activity",235,4,0.81,1,"MF"
"106","GO:0035639","purine ribonucleoside triphosphate bindi...",2113,10,7.3,1,"MF"
"107","GO:0097159","organic cyclic compound binding",5487,23,18.95,1,"MF"
"108","GO:0016757","glycosyltransferase activity",492,5,1.7,1,"MF"
"109","GO:0016758","hexosyltransferase activity",286,4,0.99,1,"MF"
"110","GO:0016684","oxidoreductase activity, acting on perox...",119,3,0.41,1,"MF"
"111","GO:0017076","purine nucleotide binding",2284,11,7.89,1,"MF"
"112","GO:0140096","catalytic activity, acting on a protein",2071,6,7.15,1,"MF"
"113","GO:0036094","small molecule binding",2619,12,9.04,1,"MF"
"114","GO:0016787","hydrolase activity",2402,7,8.29,1,"MF"
"115","GO:0016788","hydrolase activity, acting on ester bond...",720,3,2.49,1,"MF"
"116","GO:0046906","tetrapyrrole binding",259,3,0.89,1,"MF"
"117","GO:0051213","dioxygenase activity",111,2,0.38,1,"MF"
"118","GO:0000166","nucleotide binding",2452,11,8.47,1,"MF"
"119","GO:0016772","transferase activity, transferring phosp...",1291,4,4.46,1,"MF"
"120","GO:0016773","phosphotransferase activity, alcohol gro...",973,3,3.36,1,"MF"
"121","GO:0035251","UDP-glucosyltransferase activity",106,2,0.37,1,"MF"
"122","GO:0015291","secondary active transmembrane transport...",226,2,0.78,1,"MF"
"123","GO:1990837","sequence-specific double-stranded DNA bi...",419,2,1.45,1,"MF"
"124","GO:0140110","transcription regulator activity",922,5,3.18,1,"MF"
"125","GO:0097367","carbohydrate derivative binding",2220,10,7.67,1,"MF"
"126","GO:0016614","oxidoreductase activity, acting on CH-OH...",169,2,0.58,1,"MF"
"127","GO:0016616","oxidoreductase activity, acting on the C...",142,2,0.49,1,"MF"
"128","GO:0043167","ion binding",4948,21,17.09,1,"MF"
"129","GO:0043168","anion binding",2528,11,8.73,1,"MF"
"130","GO:0043169","cation binding",2919,14,10.08,1,"MF"
"131","GO:0022804","active transmembrane transporter activit...",386,3,1.33,1,"MF"
"132","GO:0046527","glucosyltransferase activity",140,2,0.48,1,"MF"
"133","GO:0003674","molecular_function",12453,43,43,1,"MF"
"134","GO:0030554","adenyl nucleotide binding",2094,10,7.23,1,"MF"
"135","GO:0003676","nucleic acid binding",3033,9,10.47,1,"MF"
"136","GO:1901265","nucleoside phosphate binding",2452,11,8.47,1,"MF"
"137","GO:0046983","protein dimerization activity",428,2,1.48,1,"MF"
"138","GO:0016209","antioxidant activity",135,2,0.47,1,"MF"
"139","GO:1901363","heterocyclic compound binding",5477,23,18.91,1,"MF"
"140","GO:0004672","protein kinase activity",834,3,2.88,1,"MF"
"141","GO:0140657","ATP-dependent activity",654,3,2.26,1,"MF"
"142","GO:0016829","lyase activity",284,2,0.98,1,"MF"
"143","GO:0005215","transporter activity",896,3,3.09,1,"MF"
"144","GO:0022857","transmembrane transporter activity",866,3,2.99,1,"MF"
"145","GO:0005198","structural molecule activity",289,3,1,1,"MF"
"146","GO:0016817","hydrolase activity, acting on acid anhyd...",643,3,2.22,1,"MF"
"147","GO:0016818","hydrolase activity, acting on acid anhyd...",639,3,2.21,1,"MF"
"148","GO:0046914","transition metal ion binding",901,5,3.11,1,"MF"
"149","GO:0016491","oxidoreductase activity",1107,8,3.82,1,"MF"
"150","GO:0032553","ribonucleotide binding",2189,10,7.56,1,"MF"
"151","GO:0032555","purine ribonucleotide binding",2168,10,7.49,1,"MF"
"152","GO:0005488","binding",8808,31,30.41,1,"MF"
"153","GO:0001067","transcription regulatory region nucleic ...",405,2,1.4,1,"MF"
"154","GO:0016705","oxidoreductase activity, acting on paire...",241,3,0.83,1,"MF"
"155","GO:0032559","adenyl ribonucleotide binding",1978,9,6.83,1,"MF"
"156","GO:0016706","2-oxoglutarate-dependent dioxygenase act...",55,2,0.19,1,"MF"
"157","GO:0022625","cytosolic large ribosomal subunit",40,2,0.14,0.009,"CC"
"158","GO:0009536","plastid",1660,7,5.97,0.0961,"CC"
"159","GO:0022626","cytosolic ribosome",73,3,0.26,0.1078,"CC"
"160","GO:0005730","nucleolus",284,2,1.02,0.272,"CC"
"161","GO:0005576","extracellular region",759,4,2.73,0.29,"CC"
"162","GO:0005783","endoplasmic reticulum",774,4,2.78,0.3139,"CC"
"163","GO:0000785","chromatin",172,2,0.62,0.372,"CC"
"164","GO:0000139","Golgi membrane",376,2,1.35,0.3934,"CC"
"165","GO:0005773","vacuole",438,3,1.57,0.4346,"CC"
"166","GO:0031969","chloroplast membrane",241,2,0.87,0.466,"CC"
"167","GO:0005886","plasma membrane",1656,6,5.95,0.558,"CC"
"168","GO:0016020","membrane",5592,19,20.1,0.647,"CC"
"169","GO:0005634","nucleus",3988,14,14.34,0.6711,"CC"
"170","GO:0009507","chloroplast",1510,5,5.43,0.8326,"CC"
"171","GO:0005739","mitochondrion",1000,3,3.59,0.9009,"CC"
"172","GO:0005829","cytosol",1191,5,4.28,0.9016,"CC"
"173","GO:0005737","cytoplasm",6561,24,23.58,0.9962,"CC"
"174","GO:1990904","ribonucleoprotein complex",533,2,1.92,1,"CC"
"175","GO:0043226","organelle",8311,33,29.87,1,"CC"
"176","GO:0099512","supramolecular fiber",212,2,0.76,1,"CC"
"177","GO:0043227","membrane-bounded organelle",7900,31,28.4,1,"CC"
"178","GO:0043228","non-membrane-bounded organelle",1589,9,5.71,1,"CC"
"179","GO:0043229","intracellular organelle",8285,33,29.78,1,"CC"
"180","GO:0005840","ribosome",265,3,0.95,1,"CC"
"181","GO:0005694","chromosome",345,2,1.24,1,"CC"
"182","GO:1902494","catalytic complex",746,2,2.68,1,"CC"
"183","GO:0098588","bounding membrane of organelle",1088,3,3.91,1,"CC"
"184","GO:0032991","protein-containing complex",2042,7,7.34,1,"CC"
"185","GO:0005622","intracellular anatomical structure",9342,35,33.58,1,"CC"
"186","GO:0032993","protein-DNA complex",198,2,0.71,1,"CC"
"187","GO:0031967","organelle envelope",870,3,3.13,1,"CC"
"188","GO:0099080","supramolecular complex",277,2,1,1,"CC"
"189","GO:0005575","cellular_component",12519,45,45,1,"CC"
"190","GO:0099081","supramolecular polymer",212,2,0.76,1,"CC"
"191","GO:0042170","plastid membrane",445,2,1.6,1,"CC"
"192","GO:0043231","intracellular membrane-bounded organelle",7864,31,28.27,1,"CC"
"193","GO:0043232","intracellular non-membrane-bounded organ...",1589,9,5.71,1,"CC"
"194","GO:0043233","organelle lumen",814,5,2.93,1,"CC"
"195","GO:0009526","plastid envelope",516,2,1.85,1,"CC"
"196","GO:0071944","cell periphery",1806,7,6.49,1,"CC"
"197","GO:0031090","organelle membrane",1879,7,6.75,1,"CC"
"198","GO:0110165","cellular anatomical entity",12396,43,44.56,1,"CC"
"199","GO:0031981","nuclear lumen",635,3,2.28,1,"CC"
"200","GO:0031984","organelle subcompartment",617,2,2.22,1,"CC"
"201","GO:0015934","large ribosomal subunit",67,2,0.24,1,"CC"
"202","GO:0005794","Golgi apparatus",735,3,2.64,1,"CC"
"203","GO:0012505","endomembrane system",1665,7,5.98,1,"CC"
"204","GO:0070013","intracellular organelle lumen",814,5,2.93,1,"CC"
"205","GO:0031974","membrane-enclosed lumen",814,5,2.93,1,"CC"
"206","GO:0031975","envelope",871,3,3.13,1,"CC"
"207","GO:0044391","ribosomal subunit",102,2,0.37,1,"CC"
"208","GO:0009941","chloroplast envelope",334,2,1.2,1,"CC"
