"","x"
"1","Misin01G008300"
"2","Misin16G019900"
"3","Os02g0127000"
"4","SORBI_3001G014800"
"5","SORBI_3004G169501"
"6","TraesCSU02G017600"
"7","Zm00001eb064390"
"8","Zm00001eb210860"
"9","Misin01G010000"
"10","Misin07G260300"
"11","Misin07G260600"
"12","Misin13G161400"
"13","Misin13G161500"
"14","Misin16G086200"
"15","Misin17G090700"
"16","Os08g0530200"
"17","Os09g0258600"
"18","SORBI_3001G016400"
"19","SORBI_3001G016500"
"20","SORBI_3007G194500"
"21","SORBI_3009G076400"
"22","TraesCS5B02G167100"
"23","TraesCS5D02G174700"
"24","TraesCS7B02G157300"
"25","TraesCS7D02G260500"
"26","Zm00001eb036530"
"27","Zm00001eb175100"
"28","Zm00001eb283950"
"29","Zm00001eb347340"
"30","Misin01G029200"
"31","Misin02G011100"
"32","Os03g0818800"
"33","SORBI_3001G036800"
"34","SORBI_3010G015000"
"35","TraesCS5A02G473800"
"36","TraesCS5B02G486900"
"37","TraesCS5D02G486600"
"38","Zm00001eb062460"
"39","Misin01G055900"
"40","Misin02G040700"
"41","Misin03G001600"
"42","Misin03G009500"
"43","Os03g0788800"
"44","SORBI_3001G063400"
"45","SORBI_3002G040600"
"46","TraesCS2A02G248400"
"47","TraesCS2B02G268800"
"48","TraesCS2D02G250100"
"49","Zm00001eb117350"
"50","Zm00001eb213250"
"51","Zm00001eb265170"
"52","Misin01G090300"
"53","Misin02G079900"
"54","Os03g0734700"
"55","SORBI_3001G100800"
"56","SORBI_3001G101100"
"57","TraesCS4D02G064000"
"58","Zm00001eb215470"
"59","Misin01G098500"
"60","Misin01G098600"
"61","Misin02G086200"
"62","Misin02G086300"
"63","Misin02G086400"
"64","Os03g0724100"
"65","SORBI_3001G108500"
"66","SORBI_3001G108600"
"67","SORBI_3001G108700"
"68","TraesCS4A02G259700"
"69","TraesCS4B02G055000"
"70","TraesCS4D02G055200"
"71","Zm00001eb055720"
"72","Zm00001eb055730"
"73","Misin01G098700"
"74","Misin01G114100"
"75","Misin02G101300"
"76","Os03g0703000"
"77","SORBI_3001G123201"
"78","SORBI_3001G123300"
"79","TraesCS4D02G038500"
"80","Zm00001eb054230"
"81","Zm00001eb054240"
"82","Misin01G114300"
"83","Misin01G114400"
"84","Misin02G103400"
"85","Os03g0700700"
"86","SORBI_3001G125700"
"87","SORBI_3001G125800"
"88","TraesCS4A02G275900"
"89","TraesCS4B02G037800"
"90","TraesCS4D02G035100"
"91","Zm00001eb054050"
"92","Zm00001eb216870"
"93","Misin01G117000"
"94","Misin01G117200"
"95","Os03g0698900"
"96","SORBI_3001G127000"
"97","SORBI_3001G127100"
"98","TraesCS4D02G034400"
"99","Zm00001eb053880"
"100","Misin01G143900"
"101","Misin02G117300"
"102","Os03g0659400"
"103","SORBI_3001G147200"
"104","SORBI_3008G180400"
"105","TraesCS4A02G297700"
"106","TraesCS4B02G016000"
"107","TraesCS4D02G014400"
"108","Zm00001eb052630"
"109","Zm00001eb218140"
"110","Misin01G229000"
"111","Misin02G222200"
"112","Os10g0407500"
"113","SORBI_3001G251900"
"114","SORBI_3003G134700"
"115","TraesCS5A02G082200"
"116","TraesCS5B02G084100"
"117","TraesCS5D02G090400"
"118","Zm00001eb223190"
"119","Misin01G283900"
"120","Misin01G284000"
"121","Misin01G284900"
"122","Misin02G273300"
"123","Misin02G273400"
"124","Misin02G273500"
"125","Misin02G273700"
"126","Os10g0555900"
"127","SORBI_3001G300500"
"128","SORBI_3001G300700"
"129","SORBI_3001G300800"
"130","SORBI_3001G300900"
"131","TraesCS1D02G215400"
"132","Zm00001eb023400"
"133","Zm00001eb023420"
"134","Zm00001eb391350"
"135","Zm00001eb391360"
"136","Misin01G284400"
"137","Misin02G274400"
"138","Misin12G049800"
"139","Os04g0377932"
"140","SORBI_3001G301700"
"141","SORBI_3006G049900"
"142","TraesCS1A02G420500"
"143","TraesCS1B02G451500"
"144","TraesCS1D02G428400"
"145","Zm00001eb085870"
"146","Zm00001eb085940"
"147","Zm00001eb391460"
"148","Zm00001eb391470"
"149","Zm00001eb391480"
"150","Misin01G286300"
"151","Misin02G276300"
"152","Os10g0553800"
"153","SORBI_3001G303200"
"154","SORBI_3001G303750"
"155","TraesCS1A02G210600"
"156","TraesCS1B02G224600"
