"","x"
"1","N0.HOG0011596"
"2","N0.HOG0001264"
"3","N0.HOG0008741"
"4","N0.HOG0004030"
"5","N0.HOG0016549"
"6","N0.HOG0002869"
"7","N0.HOG0003427"
"8","N0.HOG0005453"
"9","N0.HOG0016662"
"10","N0.HOG0006601"
"11","N0.HOG0008824"
"12","N0.HOG0002025"
"13","N0.HOG0003448"
"14","N0.HOG0008667"
"15","N0.HOG0004647"
"16","N0.HOG0002924"
"17","N0.HOG0003389"
"18","N0.HOG0006598"
"19","N0.HOG0005418"
"20","N0.HOG0006631"
"21","N0.HOG0001787"
"22","N0.HOG0004687"
"23","N0.HOG0000900"
"24","N0.HOG0006613"
"25","N0.HOG0006293"
"26","N0.HOG0002038"
"27","N0.HOG0012744"
"28","N0.HOG0003988"
"29","N0.HOG0001810"
"30","N0.HOG0004049"
"31","N0.HOG0013132"
"32","N0.HOG0006679"
"33","N0.HOG0006716"
"34","N0.HOG0005730"
"35","N0.HOG0004931"
"36","N0.HOG0004512"
"37","N0.HOG0007577"
"38","N0.HOG0006402"
"39","N0.HOG0004179"
"40","N0.HOG0004918"
"41","N0.HOG0005734"
"42","N0.HOG0001401"
"43","N0.HOG0004914"
"44","N0.HOG0017983"
"45","N0.HOG0005709"
"46","N0.HOG0007039"
"47","N0.HOG0004908"
"48","N0.HOG0001331"
"49","N0.HOG0003607"
"50","N0.HOG0017859"
"51","N0.HOG0005093"
"52","N0.HOG0006062"
"53","N0.HOG0010669"
"54","N0.HOG0006057"
"55","N0.HOG0006064"
"56","N0.HOG0002654"
"57","N0.HOG0003751"
"58","N0.HOG0001029"
"59","N0.HOG0002247"
"60","N0.HOG0003137"
"61","N0.HOG0007446"
"62","N0.HOG0007494"
"63","N0.HOG0006011"
"64","N0.HOG0005130"
"65","N0.HOG0013052"
"66","N0.HOG0003710"
"67","N0.HOG0017033"
"68","N0.HOG0008949"
"69","N0.HOG0008947"
"70","N0.HOG0001967"
"71","N0.HOG0003362"
"72","N0.HOG0004486"
"73","N0.HOG0010063"
"74","N0.HOG0002489"
"75","N0.HOG0000208"
"76","N0.HOG0004793"
"77","N0.HOG0000891"
"78","N0.HOG0001844"
"79","N0.HOG0004424"
"80","N0.HOG0008402"
"81","N0.HOG0004560"
"82","N0.HOG0012090"
"83","N0.HOG0001526"
"84","N0.HOG0005329"
"85","N0.HOG0008149"
"86","N0.HOG0018497"
"87","N0.HOG0006442"
"88","N0.HOG0003895"
"89","N0.HOG0002746"
"90","N0.HOG0005204"
"91","N0.HOG0002693"
"92","N0.HOG0004459"
"93","N0.HOG0013385"
"94","N0.HOG0011155"
"95","N0.HOG0001933"
"96","N0.HOG0005623"
"97","N0.HOG0009239"
"98","N0.HOG0017399"
"99","N0.HOG0007795"
"100","N0.HOG0004110"
"101","N0.HOG0009400"
"102","N0.HOG0009326"
"103","N0.HOG0013699"
"104","N0.HOG0004099"
"105","N0.HOG0006835"
"106","N0.HOG0009205"
"107","N0.HOG0005487"
"108","N0.HOG0002553"
"109","N0.HOG0005521"
"110","N0.HOG0001126"
"111","N0.HOG0005632"
"112","N0.HOG0005638"
"113","N0.HOG0009163"
"114","N0.HOG0006896"
"115","N0.HOG0005249"
"116","N0.HOG0004518"
"117","N0.HOG0006269"
"118","N0.HOG0011623"
"119","N0.HOG0003177"
"120","N0.HOG0007886"
"121","N0.HOG0004139"
"122","N0.HOG0002498"
"123","N0.HOG0009561"
"124","N0.HOG0006913"
"125","N0.HOG0009608"
"126","N0.HOG0009601"
"127","N0.HOG0000305"
"128","N0.HOG0014032"
"129","N0.HOG0009630"
"130","N0.HOG0001278"
"131","N0.HOG0009477"
"132","N0.HOG0004123"
"133","N0.HOG0010327"
"134","N0.HOG0009010"
"135","N0.HOG0007161"
"136","N0.HOG0000384"
"137","N0.HOG0006433"
"138","N0.HOG0018900"
"139","N0.HOG0017251"
