"","x"
"1","N0.HOG0011633"
"2","N0.HOG0011596"
"3","N0.HOG0015468"
"4","N0.HOG0001796"
"5","N0.HOG0016924"
"6","N0.HOG0012484"
"7","N0.HOG0012648"
"8","N0.HOG0008741"
"9","N0.HOG0001782"
"10","N0.HOG0008482"
"11","N0.HOG0008722"
"12","N0.HOG0002858"
"13","N0.HOG0004030"
"14","N0.HOG0008738"
"15","N0.HOG0003951"
"16","N0.HOG0012808"
"17","N0.HOG0016677"
"18","N0.HOG0008749"
"19","N0.HOG0016833"
"20","N0.HOG0016540"
"21","N0.HOG0016784"
"22","N0.HOG0000904"
"23","N0.HOG0012603"
"24","N0.HOG0012845"
"25","N0.HOG0003993"
"26","N0.HOG0001564"
"27","N0.HOG0012841"
"28","N0.HOG0016700"
"29","N0.HOG0016731"
"30","N0.HOG0019713"
"31","N0.HOG0002024"
"32","N0.HOG0003414"
"33","N0.HOG0005386"
"34","N0.HOG0012821"
"35","N0.HOG0019573"
"36","N0.HOG0003956"
"37","N0.HOG0008522"
"38","N0.HOG0011050"
"39","N0.HOG0002025"
"40","N0.HOG0019510"
"41","N0.HOG0001797"
"42","N0.HOG0008783"
"43","N0.HOG0016539"
"44","N0.HOG0012965"
"45","N0.HOG0012493"
"46","N0.HOG0019578"
"47","N0.HOG0016774"
"48","N0.HOG0012729"
"49","N0.HOG0002926"
"50","N0.HOG0008509"
"51","N0.HOG0008561"
"52","N0.HOG0016550"
"53","N0.HOG0008858"
"54","N0.HOG0008797"
"55","N0.HOG0012481"
"56","N0.HOG0012460"
"57","N0.HOG0008734"
"58","N0.HOG0008751"
"59","N0.HOG0007316"
"60","N0.HOG0016640"
"61","N0.HOG0012288"
"62","N0.HOG0000900"
"63","N0.HOG0016566"
"64","N0.HOG0008434"
"65","N0.HOG0008589"
"66","N0.HOG0002892"
"67","N0.HOG0008450"
"68","N0.HOG0004371"
"69","N0.HOG0012844"
"70","N0.HOG0019687"
"71","N0.HOG0016573"
"72","N0.HOG0002028"
"73","N0.HOG0003441"
"74","N0.HOG0017123"
"75","N0.HOG0016742"
"76","N0.HOG0004049"
"77","N0.HOG0017118"
"78","N0.HOG0019830"
"79","N0.HOG0019647"
"80","N0.HOG0016880"
"81","N0.HOG0009000"
"82","N0.HOG0017093"
"83","N0.HOG0016753"
"84","N0.HOG0017179"
"85","N0.HOG0013883"
"86","N0.HOG0018066"
"87","N0.HOG0006305"
"88","N0.HOG0002135"
"89","N0.HOG0009662"
"90","N0.HOG0017922"
"91","N0.HOG0018017"
"92","N0.HOG0014613"
"93","N0.HOG0002410"
"94","N0.HOG0002428"
"95","N0.HOG0009718"
"96","N0.HOG0007577"
"97","N0.HOG0017926"
"98","N0.HOG0004904"
"99","N0.HOG0004833"
"100","N0.HOG0005734"
"101","N0.HOG0014293"
"102","N0.HOG0007022"
"103","N0.HOG0020285"
"104","N0.HOG0014749"
"105","N0.HOG0020363"
"106","N0.HOG0009782"
"107","N0.HOG0001852"
"108","N0.HOG0014455"
"109","N0.HOG0014326"
"110","N0.HOG0017594"
"111","N0.HOG0009909"
"112","N0.HOG0009880"
"113","N0.HOG0009753"
"114","N0.HOG0018032"
"115","N0.HOG0001843"
"116","N0.HOG0014488"
"117","N0.HOG0017965"
"118","N0.HOG0002535"
"119","N0.HOG0020281"
"120","N0.HOG0018037"
"121","N0.HOG0014530"
"122","N0.HOG0014330"
"123","N0.HOG0014626"
"124","N0.HOG0001331"
"125","N0.HOG0009666"
"126","N0.HOG0007051"
"127","N0.HOG0020333"
"128","N0.HOG0002908"
"129","N0.HOG0014734"
