"","x"
"1","N0.HOG0011596"
"2","N0.HOG0008741"
"3","N0.HOG0004030"
"4","N0.HOG0002025"
"5","N0.HOG0000900"
"6","N0.HOG0004049"
"7","N0.HOG0007577"
"8","N0.HOG0005734"
"9","N0.HOG0001331"
"10","N0.HOG0017859"
"11","N0.HOG0005093"
"12","N0.HOG0003751"
"13","N0.HOG0007446"
"14","N0.HOG0010063"
"15","N0.HOG0000208"
"16","N0.HOG0008402"
"17","N0.HOG0012090"
"18","N0.HOG0003895"
"19","N0.HOG0011155"
"20","N0.HOG0009239"
"21","N0.HOG0004099"
"22","N0.HOG0006835"
"23","N0.HOG0005521"
"24","N0.HOG0003177"
"25","N0.HOG0002498"
"26","N0.HOG0009561"
"27","N0.HOG0010327"
"28","N0.HOG0009010"
"29","N0.HOG0000384"
"30","N0.HOG0006433"
"31","N0.HOG0017251"
