"","GOID","GOTERM","ONTOLOGY","HOGs_with_GO_COUNT","HOGs_with_GO","TOTAL_COUNT.all_GO_ID","TOTAL_COUNT.Freq","Ta_COUNT.Var1","Ta_COUNT.Freq","Os_COUNT.Var1","Os_COUNT.Freq","Ms_COUNT.Var1","Ms_COUNT.Freq","Sb_COUNT.Var1","Sb_COUNT.Freq","Zm_COUNT.Var1","Zm_COUNT.Freq","DEFINITION"
"1","GO:0045050","protein insertion into ER membrane by stop-transfer membrane-anchor sequence","BP",1,"N0.HOG0011596","GO:0045050",7,"GO:0045050",1,"GO:0045050",1,"GO:0045050",2,"GO:0045050",1,"GO:0045050",2,"A process of protein insertion into the endoplasmic reticulum (ER) membrane in which stop-transfer membrane-anchor sequences become an ER membrane spanning helix."
"2","GO:0071816","tail-anchored membrane protein insertion into ER membrane","BP",1,"N0.HOG0011596","GO:0071816",7,"GO:0071816",1,"GO:0071816",1,"GO:0071816",2,"GO:0071816",1,"GO:0071816",2,"A process of protein insertion into the endoplasmic reticulum (ER) membrane in which a tail-anchored (TA) transmembrane protein is incorporated into an endoplasmic reticulum (ER) membrane. TA transmembrane protein, also named type II transmembrane proteins, contain a single C- terminal transmembrane region."
"3","GO:0006355","regulation of DNA-templated transcription","BP",2,"N0.HOG0008741 N0.HOG0010063","GO:0006355",18,"GO:0006355",6,"GO:0006355",2,"GO:0006355",4,"GO:0006355",4,"GO:0006355",2,"Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"4","GO:0009909","regulation of flower development","BP",1,"N0.HOG0008741","GO:0009909",9,"GO:0009909",3,"GO:0009909",1,"GO:0009909",2,"GO:0009909",2,"GO:0009909",1,"Any process that modulates the frequency, rate or extent of flower development."
"5","GO:0010228","vegetative to reproductive phase transition of meristem","BP",1,"N0.HOG0008741","GO:0010228",9,"GO:0010228",3,"GO:0010228",1,"GO:0010228",2,"GO:0010228",2,"GO:0010228",1,"The process involved in transforming a meristem that produces vegetative structures, such as leaves, into a meristem that produces reproductive structures, such as a flower or an inflorescence."
"6","GO:0009561","megagametogenesis","BP",1,"N0.HOG0004030","GO:0009561",13,"GO:0009561",3,"GO:0009561",1,"GO:0009561",4,"GO:0009561",2,"GO:0009561",3,"The process whose specific outcome is the progression of the embryo sac over time, from its formation as the megaspore to the mature structure. The process begins when three of the four haploid megaspores disintegrate, and the fourth undergoes mitosis giving rise to a binucleate syncytial embryo sac. The two haploid nuclei migrate to the opposite poles of the embryo sac and then undergo two rounds of mitosis generating four haploid nuclei at each pole. One nucleus from each set of four migrates to the center of the cell. Cellularization occurs, resulting in an eight-nucleate seven-celled structure. This structure contains two synergid cells and an egg cell at the micropylar end, and three antipodal cells at the other end. A binucleate endosperm mother cell is formed at the center."
"7","GO:0016567","protein ubiquitination","BP",1,"N0.HOG0004030","GO:0016567",13,"GO:0016567",3,"GO:0016567",1,"GO:0016567",4,"GO:0016567",2,"GO:0016567",3,"The process in which one or more ubiquitin groups are added to a protein."
"8","GO:0051603","proteolysis involved in protein catabolic process","BP",1,"N0.HOG0004030","GO:0051603",13,"GO:0051603",3,"GO:0051603",1,"GO:0051603",4,"GO:0051603",2,"GO:0051603",3,"The hydrolysis of a peptide bond or bonds within a protein as part of the chemical reactions and pathways resulting in the breakdown of a protein by individual cells."
"9","GO:0051726","regulation of cell cycle","BP",1,"N0.HOG0004030","GO:0051726",13,"GO:0051726",3,"GO:0051726",1,"GO:0051726",4,"GO:0051726",2,"GO:0051726",3,"Any process that modulates the rate or extent of progression through the cell cycle."
"10","GO:0055046","microgametogenesis","BP",1,"N0.HOG0004030","GO:0055046",13,"GO:0055046",3,"GO:0055046",1,"GO:0055046",4,"GO:0055046",2,"GO:0055046",3,"The process whose specific outcome is the progression of the pollen grain over time, from its formation as the microspore to the mature structure."
"11","GO:0009653","anatomical structure morphogenesis","BP",1,"N0.HOG0002025","GO:0009653",17,"GO:0009653",1,"GO:0009653",1,"GO:0009653",7,"GO:0009653",4,"GO:0009653",4,"The process in which anatomical structures are generated and organized. Morphogenesis pertains to the creation of form."
"12","GO:0019953","sexual reproduction","BP",1,"N0.HOG0002025","GO:0019953",17,"GO:0019953",1,"GO:0019953",1,"GO:0019953",7,"GO:0019953",4,"GO:0019953",4,"A type of reproduction that combines the genetic material of two gametes (such as a sperm or egg cell or fungal spores). The gametes have an haploid genome (with a single set of chromosomes, the product of a meiotic division) and combines with one another to produce a zygote (diploid)."
"13","GO:0071555","cell wall organization","BP",2,"N0.HOG0002025 N0.HOG0001331","GO:0071555",30,"GO:0071555",4,"GO:0071555",2,"GO:0071555",11,"GO:0071555",7,"GO:0071555",6,"A process that results in the assembly, arrangement of constituent parts, or disassembly of the cell wall, the rigid or semi-rigid envelope lying outside the cell membrane of plant, fungal and most prokaryotic cells, maintaining their shape and protecting them from osmotic lysis."
"14","GO:0006811","monoatomic ion transport","BP",1,"N0.HOG0000900","GO:0006811",13,"GO:0006811",3,"GO:0006811",1,"GO:0006811",4,"GO:0006811",2,"GO:0006811",3,"The directed movement of a monoatomic ion into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. Monatomic ions (also called simple ions) are ions consisting of exactly one atom."
"15","GO:0006816","calcium ion transport","BP",1,"N0.HOG0000900","GO:0006816",13,"GO:0006816",3,"GO:0006816",1,"GO:0006816",4,"GO:0006816",2,"GO:0006816",3,"The directed movement of calcium (Ca) ions into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."
"16","GO:0070588","calcium ion transmembrane transport","BP",1,"N0.HOG0000900","GO:0070588",13,"GO:0070588",3,"GO:0070588",1,"GO:0070588",4,"GO:0070588",2,"GO:0070588",3,"A process in which a calcium ion is transported from one side of a membrane to the other by means of some agent such as a transporter or pore."
"17","GO:0005975","carbohydrate metabolic process","BP",2,"N0.HOG0010327 N0.HOG0004049","GO:0005975",15,"GO:0005975",4,"GO:0005975",2,"GO:0005975",3,"GO:0005975",4,"GO:0005975",2,"The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y."
"18","GO:0008152","metabolic process","BP",2,"N0.HOG0010327 N0.HOG0004049","GO:0008152",15,"GO:0008152",4,"GO:0008152",2,"GO:0008152",3,"GO:0008152",4,"GO:0008152",2,"The chemical reactions and pathways, including anabolism and catabolism, by which living organisms transform chemical substances. Metabolic processes typically transform small molecules, but also include macromolecular processes such as DNA repair and replication, and protein synthesis and degradation."
