"","x"
"1","N0.HOG0019298"
"2","N0.HOG0011635"
"3","N0.HOG0011614"
"4","N0.HOG0015655"
"5","N0.HOG0019296"
"6","N0.HOG0001264"
"7","N0.HOG0016132"
"8","N0.HOG0016667"
"9","N0.HOG0006585"
"10","N0.HOG0008842"
"11","N0.HOG0021651"
"12","N0.HOG0012233"
"13","N0.HOG0016699"
"14","N0.HOG0004489"
"15","N0.HOG0008833"
"16","N0.HOG0002805"
"17","N0.HOG0012300"
"18","N0.HOG0019631"
"19","N0.HOG0003468"
"20","N0.HOG0003398"
"21","N0.HOG0012517"
"22","N0.HOG0012357"
"23","N0.HOG0016749"
"24","N0.HOG0012447"
"25","N0.HOG0016549"
"26","N0.HOG0012971"
"27","N0.HOG0008554"
"28","N0.HOG0012335"
"29","N0.HOG0001292"
"30","N0.HOG0016662"
"31","N0.HOG0016763"
"32","N0.HOG0016701"
"33","N0.HOG0016813"
"34","N0.HOG0016515"
"35","N0.HOG0000052"
"36","N0.HOG0008573"
"37","N0.HOG0012176"
"38","N0.HOG0012248"
"39","N0.HOG0002890"
"40","N0.HOG0006601"
"41","N0.HOG0000971"
"42","N0.HOG0006605"
"43","N0.HOG0012197"
"44","N0.HOG0001407"
"45","N0.HOG0004685"
"46","N0.HOG0019731"
"47","N0.HOG0016612"
"48","N0.HOG0019564"
"49","N0.HOG0012479"
"50","N0.HOG0004016"
"51","N0.HOG0012812"
"52","N0.HOG0012698"
"53","N0.HOG0008828"
"54","N0.HOG0012398"
"55","N0.HOG0012641"
"56","N0.HOG0008824"
"57","N0.HOG0008814"
"58","N0.HOG0012912"
"59","N0.HOG0012395"
"60","N0.HOG0006469"
"61","N0.HOG0012256"
"62","N0.HOG0012820"
"63","N0.HOG0012420"
"64","N0.HOG0019658"
"65","N0.HOG0016719"
"66","N0.HOG0012313"
"67","N0.HOG0008457"
"68","N0.HOG0016654"
"69","N0.HOG0012201"
"70","N0.HOG0008798"
"71","N0.HOG0012885"
"72","N0.HOG0003448"
"73","N0.HOG0006632"
"74","N0.HOG0008667"
"75","N0.HOG0008874"
"76","N0.HOG0012387"
"77","N0.HOG0012485"
"78","N0.HOG0003986"
"79","N0.HOG0008473"
"80","N0.HOG0006580"
"81","N0.HOG0016674"
"82","N0.HOG0012450"
"83","N0.HOG0003994"
"84","N0.HOG0016655"
"85","N0.HOG0003963"
"86","N0.HOG0012503"
"87","N0.HOG0003969"
"88","N0.HOG0019598"
"89","N0.HOG0016831"
"90","N0.HOG0002924"
"91","N0.HOG0003389"
"92","N0.HOG0012202"
"93","N0.HOG0012429"
"94","N0.HOG0006598"
"95","N0.HOG0012616"
"96","N0.HOG0008765"
"97","N0.HOG0003948"
"98","N0.HOG0016710"
"99","N0.HOG0008453"
"100","N0.HOG0019610"
"101","N0.HOG0012569"
"102","N0.HOG0012614"
"103","N0.HOG0012566"
"104","N0.HOG0016545"
"105","N0.HOG0019508"
"106","N0.HOG0012564"
"107","N0.HOG0019590"
"108","N0.HOG0001787"
"109","N0.HOG0016197"
"110","N0.HOG0012222"
"111","N0.HOG0012708"
"112","N0.HOG0016555"
"113","N0.HOG0019697"
"114","N0.HOG0012668"
"115","N0.HOG0008030"
"116","N0.HOG0016745"
"117","N0.HOG0012235"
"118","N0.HOG0016698"
"119","N0.HOG0012866"
"120","N0.HOG0008632"
"121","N0.HOG0012181"
"122","N0.HOG0012340"
"123","N0.HOG0016681"
"124","N0.HOG0012928"
"125","N0.HOG0012565"
"126","N0.HOG0002038"
"127","N0.HOG0003968"
"128","N0.HOG0003411"
"129","N0.HOG0016736"
"130","N0.HOG0016585"
"131","N0.HOG0012346"
"132","N0.HOG0012774"
"133","N0.HOG0017119"
"134","N0.HOG0016828"
"135","N0.HOG0008688"
"136","N0.HOG0001810"
"137","N0.HOG0019875"
"138","N0.HOG0017144"
"139","N0.HOG0001502"
"140","N0.HOG0017114"
"141","N0.HOG0017160"
"142","N0.HOG0017073"
"143","N0.HOG0021861"
"144","N0.HOG0012588"
"145","N0.HOG0005513"
"146","N0.HOG0006679"
"147","N0.HOG0013171"
"148","N0.HOG0002905"
"149","N0.HOG0013139"
"150","N0.HOG0003121"
"151","N0.HOG0019897"
"152","N0.HOG0013201"
"153","N0.HOG0011376"
"154","N0.HOG0021874"
"155","N0.HOG0013125"
"156","N0.HOG0006716"
"157","N0.HOG0012209"
"158","N0.HOG0011677"
"159","N0.HOG0013136"
"160","N0.HOG0000099"
"161","N0.HOG0013162"
"162","N0.HOG0006328"
"163","N0.HOG0019837"
"164","N0.HOG0019826"
"165","N0.HOG0005512"
"166","N0.HOG0003732"
"167","N0.HOG0009821"
"168","N0.HOG0003399"
"169","N0.HOG0014282"
"170","N0.HOG0001801"
"171","N0.HOG0018019"
"172","N0.HOG0017854"
"173","N0.HOG0017949"
"174","N0.HOG0004931"
"175","N0.HOG0002310"
"176","N0.HOG0004909"
"177","N0.HOG0014677"
"178","N0.HOG0020409"
"179","N0.HOG0004186"
"180","N0.HOG0001206"
"181","N0.HOG0014557"
"182","N0.HOG0006402"
"183","N0.HOG0004918"
"184","N0.HOG0014287"
"185","N0.HOG0001401"
"186","N0.HOG0014265"
"187","N0.HOG0014377"
"188","N0.HOG0000908"
"189","N0.HOG0000682"
"190","N0.HOG0014466"
"191","N0.HOG0020322"
"192","N0.HOG0017874"
"193","N0.HOG0014483"
"194","N0.HOG0022164"
"195","N0.HOG0001606"
"196","N0.HOG0020293"
"197","N0.HOG0017891"
"198","N0.HOG0009914"
"199","N0.HOG0014378"
"200","N0.HOG0022177"
"201","N0.HOG0001856"
"202","N0.HOG0014579"
"203","N0.HOG0002116"
"204","N0.HOG0009808"
"205","N0.HOG0020330"
"206","N0.HOG0005709"
"207","N0.HOG0009891"
"208","N0.HOG0002131"
"209","N0.HOG0009748"
"210","N0.HOG0004172"
"211","N0.HOG0009790"
"212","N0.HOG0014375"
"213","N0.HOG0001326"
"214","N0.HOG0003589"
"215","N0.HOG0009873"
"216","N0.HOG0008100"
"217","N0.HOG0005736"
"218","N0.HOG0007039"
"219","N0.HOG0018034"
"220","N0.HOG0001266"
"221","N0.HOG0004908"
"222","N0.HOG0014505"
"223","N0.HOG0017894"
"224","N0.HOG0009842"
"225","N0.HOG0020318"
"226","N0.HOG0009876"
"227","N0.HOG0003607"
"228","N0.HOG0002094"
"229","N0.HOG0018039"
"230","N0.HOG0003453"
