"","x"
"1","N0.HOG0001264"
"2","N0.HOG0016549"
"3","N0.HOG0016662"
"4","N0.HOG0006601"
"5","N0.HOG0008824"
"6","N0.HOG0003448"
"7","N0.HOG0008667"
"8","N0.HOG0002924"
"9","N0.HOG0003389"
"10","N0.HOG0006598"
"11","N0.HOG0001787"
"12","N0.HOG0002038"
"13","N0.HOG0001810"
"14","N0.HOG0006679"
"15","N0.HOG0006716"
"16","N0.HOG0004931"
"17","N0.HOG0006402"
"18","N0.HOG0004918"
"19","N0.HOG0001401"
"20","N0.HOG0005709"
"21","N0.HOG0007039"
"22","N0.HOG0004908"
"23","N0.HOG0003607"
"24","N0.HOG0010669"
"25","N0.HOG0002654"
"26","N0.HOG0001029"
"27","N0.HOG0003137"
"28","N0.HOG0006011"
"29","N0.HOG0005130"
"30","N0.HOG0013052"
"31","N0.HOG0003710"
"32","N0.HOG0017033"
"33","N0.HOG0008949"
"34","N0.HOG0008947"
"35","N0.HOG0001967"
"36","N0.HOG0003362"
"37","N0.HOG0002489"
"38","N0.HOG0004459"
"39","N0.HOG0013385"
"40","N0.HOG0001933"
"41","N0.HOG0007795"
"42","N0.HOG0009326"
"43","N0.HOG0013699"
"44","N0.HOG0009205"
"45","N0.HOG0005487"
"46","N0.HOG0001126"
"47","N0.HOG0005632"
"48","N0.HOG0005638"
"49","N0.HOG0005249"
"50","N0.HOG0004518"
"51","N0.HOG0006269"
"52","N0.HOG0011623"
"53","N0.HOG0009630"
"54","N0.HOG0001278"
"55","N0.HOG0007161"
