"","x"
"1","Misin01G008300"
"2","Misin16G019900"
"3","Os02g0127000"
"4","SORBI_3001G014800"
"5","SORBI_3004G169501"
"6","TraesCSU02G017600"
"7","Zm00001eb064390"
"8","Zm00001eb210860"
"9","Misin01G010000"
"10","Misin07G260300"
"11","Misin07G260600"
"12","Misin13G161400"
"13","Misin13G161500"
"14","Misin16G086200"
"15","Misin17G090700"
"16","Os08g0530200"
"17","Os09g0258600"
"18","SORBI_3001G016400"
"19","SORBI_3001G016500"
"20","SORBI_3007G194500"
"21","SORBI_3009G076400"
"22","TraesCS5B02G167100"
"23","TraesCS5D02G174700"
"24","TraesCS7B02G157300"
"25","TraesCS7D02G260500"
"26","Zm00001eb036530"
"27","Zm00001eb175100"
"28","Zm00001eb283950"
"29","Zm00001eb347340"
"30","Misin01G029200"
"31","Misin02G011100"
"32","Os03g0818800"
"33","SORBI_3001G036800"
"34","SORBI_3010G015000"
"35","TraesCS5A02G473800"
"36","TraesCS5B02G486900"
"37","TraesCS5D02G486600"
"38","Zm00001eb062460"
"39","Misin01G055900"
"40","Misin02G040700"
"41","Misin03G001600"
"42","Misin03G009500"
"43","Os03g0788800"
"44","SORBI_3001G063400"
"45","SORBI_3002G040600"
"46","TraesCS2A02G248400"
"47","TraesCS2B02G268800"
"48","TraesCS2D02G250100"
"49","Zm00001eb117350"
"50","Zm00001eb213250"
"51","Zm00001eb265170"
"52","Misin01G090300"
"53","Misin02G079900"
"54","Os03g0734700"
"55","SORBI_3001G100800"
"56","SORBI_3001G101100"
"57","TraesCS4D02G064000"
"58","Zm00001eb215470"
"59","Misin01G098500"
"60","Misin01G098600"
"61","Misin02G086200"
"62","Misin02G086300"
"63","Misin02G086400"
"64","Os03g0724100"
"65","SORBI_3001G108500"
"66","SORBI_3001G108600"
"67","SORBI_3001G108700"
"68","TraesCS4A02G259700"
"69","TraesCS4B02G055000"
"70","TraesCS4D02G055200"
"71","Zm00001eb055720"
"72","Zm00001eb055730"
"73","Misin01G098700"
"74","Misin01G106300"
"75","Misin02G096500"
"76","Misin11G243600"
"77","Misin12G254100"
"78","Os04g0497400"
"79","SORBI_3001G118700"
"80","SORBI_3006G244700"
"81","TraesCS2A02G352600"
"82","TraesCS2B02G371700"
"83","TraesCS2D02G351600"
"84","Zm00001eb432360"
"85","Zm00001eb068110"
"86","Misin01G114100"
"87","Misin02G101300"
"88","Os03g0703000"
"89","SORBI_3001G123201"
"90","SORBI_3001G123300"
"91","TraesCS4D02G038500"
"92","Zm00001eb054230"
"93","Zm00001eb054240"
"94","Misin01G114300"
"95","Misin01G114400"
"96","Misin02G103400"
"97","Os03g0700700"
"98","SORBI_3001G125700"
"99","SORBI_3001G125800"
"100","TraesCS4A02G275900"
"101","TraesCS4B02G037800"
"102","TraesCS4D02G035100"
"103","Zm00001eb054050"
"104","Zm00001eb216870"
"105","Misin01G117000"
"106","Misin01G117200"
"107","Os03g0698900"
"108","SORBI_3001G127000"
"109","SORBI_3001G127100"
"110","TraesCS4D02G034400"
"111","Zm00001eb053880"
"112","Misin01G121500"
"113","Misin02G110200"
"114","Misin06G307900"
"115","Os04g0418000"
"116","SORBI_3001G132100"
"117","SORBI_3003G340700"
"118","TraesCS2A02G298400"
"119","TraesCS2B02G314900"
"120","Zm00001eb053470"
"121","Zm00001eb217160"
"122","Misin01G126100"
"123","Misin02G130200"
"124","Misin11G161500"
"125","Misin12G168100"
"126","Os04g0544500"
"127","SORBI_3001G137300"
"128","SORBI_3006G166100"
"129","TraesCS2A02G391700"
"130","TraesCS2B02G410200"
"131","TraesCS2D02G390000"
"132","Zm00001eb427850"
"133","Zm00001eb075150"
"134","Misin01G143900"
"135","Misin02G117300"
"136","Os03g0659400"
"137","SORBI_3001G147200"
"138","SORBI_3008G180400"
"139","TraesCS4A02G297700"
"140","TraesCS4B02G016000"
"141","TraesCS4D02G014400"
"142","Zm00001eb052630"
"143","Zm00001eb218140"
"144","Misin01G167800"
"145","Misin02G161200"
"146","Misin02G161300"
"147","Os03g0575200"
"148","SORBI_3001G184000"
"149","SORBI_3001G184100"
"150","TraesCS6A02G294200"
"151","TraesCS6B02G324800"
"152","Zm00001eb048940"
"153","Zm00001eb048950"
"154","Misin01G208800"
"155","Misin01G483200"
"156","Misin02G201100"
"157","Misin02G476500"
