"","x"
"1","N0.HOG0011596"
"2","N0.HOG0001264"
"3","N0.HOG0008741"
"4","N0.HOG0004030"
"5","N0.HOG0016549"
"6","N0.HOG0002869"
"7","N0.HOG0004696"
"8","N0.HOG0003427"
"9","N0.HOG0005453"
"10","N0.HOG0016662"
"11","N0.HOG0006619"
"12","N0.HOG0004683"
"13","N0.HOG0006601"
"14","N0.HOG0006633"
"15","N0.HOG0004646"
"16","N0.HOG0008824"
"17","N0.HOG0003297"
"18","N0.HOG0005470"
"19","N0.HOG0002025"
"20","N0.HOG0003448"
"21","N0.HOG0008667"
"22","N0.HOG0004647"
"23","N0.HOG0008429"
"24","N0.HOG0006522"
"25","N0.HOG0002924"
"26","N0.HOG0003389"
"27","N0.HOG0006598"
"28","N0.HOG0005418"
"29","N0.HOG0006631"
"30","N0.HOG0001787"
"31","N0.HOG0006467"
"32","N0.HOG0004650"
"33","N0.HOG0002449"
"34","N0.HOG0004687"
"35","N0.HOG0006317"
"36","N0.HOG0005409"
"37","N0.HOG0000900"
"38","N0.HOG0006613"
"39","N0.HOG0006293"
"40","N0.HOG0005472"
"41","N0.HOG0002038"
"42","N0.HOG0008719"
"43","N0.HOG0012744"
"44","N0.HOG0003988"
"45","N0.HOG0001810"
"46","N0.HOG0004049"
"47","N0.HOG0013132"
"48","N0.HOG0001790"
"49","N0.HOG0006679"
"50","N0.HOG0002405"
"51","N0.HOG0006475"
"52","N0.HOG0006738"
"53","N0.HOG0006716"
"54","N0.HOG0005730"
"55","N0.HOG0004808"
"56","N0.HOG0004931"
"57","N0.HOG0004512"
"58","N0.HOG0000149"
"59","N0.HOG0007577"
"60","N0.HOG0006402"
"61","N0.HOG0004179"
"62","N0.HOG0004918"
"63","N0.HOG0005734"
"64","N0.HOG0001401"
"65","N0.HOG0004914"
"66","N0.HOG0017983"
"67","N0.HOG0005709"
"68","N0.HOG0007013"
"69","N0.HOG0004448"
"70","N0.HOG0004488"
"71","N0.HOG0007039"
"72","N0.HOG0001609"
"73","N0.HOG0004908"
"74","N0.HOG0001331"
"75","N0.HOG0009811"
"76","N0.HOG0009700"
"77","N0.HOG0003607"
"78","N0.HOG0017859"
"79","N0.HOG0007028"
"80","N0.HOG0006994"
"81","N0.HOG0009397"
"82","N0.HOG0006316"
"83","N0.HOG0000461"
"84","N0.HOG0001817"
"85","N0.HOG0001151"
"86","N0.HOG0005719"
"87","N0.HOG0009978"
"88","N0.HOG0005093"
"89","N0.HOG0006062"
"90","N0.HOG0005158"
"91","N0.HOG0005109"
"92","N0.HOG0006018"
"93","N0.HOG0007605"
"94","N0.HOG0004350"
"95","N0.HOG0015744"
"96","N0.HOG0010669"
"97","N0.HOG0006057"
"98","N0.HOG0002643"
"99","N0.HOG0005104"
"100","N0.HOG0006025"
"101","N0.HOG0006064"
"102","N0.HOG0002654"
"103","N0.HOG0005170"
"104","N0.HOG0003751"
"105","N0.HOG0000460"
"106","N0.HOG0007436"
"107","N0.HOG0001507"
"108","N0.HOG0003195"
"109","N0.HOG0004356"
"110","N0.HOG0001029"
"111","N0.HOG0002270"
"112","N0.HOG0002247"
"113","N0.HOG0003137"
"114","N0.HOG0007446"
"115","N0.HOG0001373"
"116","N0.HOG0007494"
"117","N0.HOG0004331"
"118","N0.HOG0006127"
"119","N0.HOG0003748"
"120","N0.HOG0004397"
"121","N0.HOG0005999"
"122","N0.HOG0006011"
"123","N0.HOG0005130"
"124","N0.HOG0000953"
"125","N0.HOG0005974"
"126","N0.HOG0003694"
"127","N0.HOG0005142"
"128","N0.HOG0002664"
"129","N0.HOG0006071"
"130","N0.HOG0007421"
"131","N0.HOG0005161"
"132","N0.HOG0006693"
"133","N0.HOG0004501"
"134","N0.HOG0005497"
"135","N0.HOG0013052"
"136","N0.HOG0013095"
"137","N0.HOG0006696"
"138","N0.HOG0003710"
"139","N0.HOG0017033"
"140","N0.HOG0008949"
"141","N0.HOG0006698"
"142","N0.HOG0008947"
"143","N0.HOG0013055"
"144","N0.HOG0001967"
"145","N0.HOG0006435"
"146","N0.HOG0003887"
"147","N0.HOG0003362"
"148","N0.HOG0006387"
"149","N0.HOG0004552"
"150","N0.HOG0004486"
"151","N0.HOG0015160"
"152","N0.HOG0005308"
"153","N0.HOG0010053"
"154","N0.HOG0010063"
"155","N0.HOG0008074"
"156","N0.HOG0002489"
"157","N0.HOG0000208"
"158","N0.HOG0004793"
"159","N0.HOG0006890"
"160","N0.HOG0000891"
"161","N0.HOG0007124"
"162","N0.HOG0001844"
"163","N0.HOG0001613"
"164","N0.HOG0006393"
"165","N0.HOG0015189"
"166","N0.HOG0001605"
"167","N0.HOG0004424"
"168","N0.HOG0000890"
"169","N0.HOG0001557"
"170","N0.HOG0008402"
"171","N0.HOG0000887"
"172","N0.HOG0000520"
"173","N0.HOG0004560"
"174","N0.HOG0012090"
"175","N0.HOG0003831"
"176","N0.HOG0001526"
"177","N0.HOG0005668"
"178","N0.HOG0005329"
"179","N0.HOG0000014"
"180","N0.HOG0008149"
"181","N0.HOG0018497"
"182","N0.HOG0002820"
"183","N0.HOG0006442"
"184","N0.HOG0004548"
"185","N0.HOG0003895"
"186","N0.HOG0000893"
"187","N0.HOG0002746"
"188","N0.HOG0005204"
"189","N0.HOG0007797"
"190","N0.HOG0002693"
"191","N0.HOG0004459"
"192","N0.HOG0006195"
"193","N0.HOG0003768"
"194","N0.HOG0005190"
"195","N0.HOG0013385"
"196","N0.HOG0006143"
"197","N0.HOG0003784"
