"","x"
"1","N0.HOG0008105"
"2","N0.HOG0011633"
"3","N0.HOG0001365"
"4","N0.HOG0011596"
"5","N0.HOG0015468"
"6","N0.HOG0001796"
"7","N0.HOG0003358"
"8","N0.HOG0016924"
"9","N0.HOG0012484"
"10","N0.HOG0001649"
"11","N0.HOG0016564"
"12","N0.HOG0016563"
"13","N0.HOG0012789"
"14","N0.HOG0008418"
"15","N0.HOG0012648"
"16","N0.HOG0008741"
"17","N0.HOG0006546"
"18","N0.HOG0012405"
"19","N0.HOG0008578"
"20","N0.HOG0001782"
"21","N0.HOG0004665"
"22","N0.HOG0008482"
"23","N0.HOG0016840"
"24","N0.HOG0008722"
"25","N0.HOG0002858"
"26","N0.HOG0003961"
"27","N0.HOG0004030"
"28","N0.HOG0002899"
"29","N0.HOG0000897"
"30","N0.HOG0012852"
"31","N0.HOG0008738"
"32","N0.HOG0002064"
"33","N0.HOG0008527"
"34","N0.HOG0003951"
"35","N0.HOG0012808"
"36","N0.HOG0016677"
"37","N0.HOG0008749"
"38","N0.HOG0004654"
"39","N0.HOG0016833"
"40","N0.HOG0016540"
"41","N0.HOG0008695"
"42","N0.HOG0002308"
"43","N0.HOG0016784"
"44","N0.HOG0000904"
"45","N0.HOG0004668"
"46","N0.HOG0004691"
"47","N0.HOG0006619"
"48","N0.HOG0016714"
"49","N0.HOG0008684"
"50","N0.HOG0004683"
"51","N0.HOG0016619"
"52","N0.HOG0016600"
"53","N0.HOG0008707"
"54","N0.HOG0012603"
"55","N0.HOG0008634"
"56","N0.HOG0005486"
"57","N0.HOG0005416"
"58","N0.HOG0004019"
"59","N0.HOG0012845"
"60","N0.HOG0012538"
"61","N0.HOG0003993"
"62","N0.HOG0002445"
"63","N0.HOG0003377"
"64","N0.HOG0008425"
"65","N0.HOG0005394"
"66","N0.HOG0001564"
"67","N0.HOG0012841"
"68","N0.HOG0005397"
"69","N0.HOG0012491"
"70","N0.HOG0016700"
"71","N0.HOG0012409"
"72","N0.HOG0008444"
"73","N0.HOG0008557"
"74","N0.HOG0008823"
"75","N0.HOG0016731"
"76","N0.HOG0008565"
"77","N0.HOG0019713"
"78","N0.HOG0002024"
"79","N0.HOG0003414"
"80","N0.HOG0008877"
"81","N0.HOG0016193"
"82","N0.HOG0003395"
"83","N0.HOG0005386"
"84","N0.HOG0012821"
"85","N0.HOG0002040"
"86","N0.HOG0019573"
"87","N0.HOG0003997"
"88","N0.HOG0003956"
"89","N0.HOG0004698"
"90","N0.HOG0008522"
"91","N0.HOG0006115"
"92","N0.HOG0006344"
"93","N0.HOG0008579"
"94","N0.HOG0011050"
"95","N0.HOG0008467"
"96","N0.HOG0002025"
"97","N0.HOG0005423"
"98","N0.HOG0001568"
"99","N0.HOG0002856"
"100","N0.HOG0002408"
"101","N0.HOG0019510"
"102","N0.HOG0012822"
"103","N0.HOG0001797"
"104","N0.HOG0012468"
"105","N0.HOG0008783"
"106","N0.HOG0008836"
"107","N0.HOG0010732"
"108","N0.HOG0016539"
"109","N0.HOG0003406"
"110","N0.HOG0000290"
"111","N0.HOG0008541"
"112","N0.HOG0006478"
"113","N0.HOG0008777"
"114","N0.HOG0012965"
"115","N0.HOG0008645"
"116","N0.HOG0002859"
"117","N0.HOG0012493"
"118","N0.HOG0002884"
"119","N0.HOG0016873"
"120","N0.HOG0019578"
"121","N0.HOG0002435"
"122","N0.HOG0012540"
"123","N0.HOG0012752"
"124","N0.HOG0016774"
"125","N0.HOG0012729"
"126","N0.HOG0012823"
"127","N0.HOG0002031"
"128","N0.HOG0012423"
"129","N0.HOG0008711"
"130","N0.HOG0002926"
"131","N0.HOG0012204"
"132","N0.HOG0008509"
"133","N0.HOG0012943"
"134","N0.HOG0008561"
"135","N0.HOG0016550"
"136","N0.HOG0008476"
"137","N0.HOG0008860"
"138","N0.HOG0003470"
"139","N0.HOG0008858"
"140","N0.HOG0008797"
"141","N0.HOG0012348"
"142","N0.HOG0008615"
"143","N0.HOG0008559"
"144","N0.HOG0012455"
"145","N0.HOG0003378"
"146","N0.HOG0012481"
"147","N0.HOG0012840"
"148","N0.HOG0012460"
"149","N0.HOG0008734"
"150","N0.HOG0008751"
"151","N0.HOG0006299"
"152","N0.HOG0008580"
"153","N0.HOG0007316"
"154","N0.HOG0016640"
"155","N0.HOG0008818"
"156","N0.HOG0008607"
"157","N0.HOG0006588"
"158","N0.HOG0012288"
"159","N0.HOG0008562"
"160","N0.HOG0000900"
"161","N0.HOG0008647"
"162","N0.HOG0006591"
"163","N0.HOG0016566"
"164","N0.HOG0008434"
"165","N0.HOG0005390"
"166","N0.HOG0008589"
"167","N0.HOG0002892"
"168","N0.HOG0012728"
"169","N0.HOG0008450"
"170","N0.HOG0008571"
"171","N0.HOG0004371"
"172","N0.HOG0012844"
"173","N0.HOG0008436"
"174","N0.HOG0016713"
"175","N0.HOG0012220"
"176","N0.HOG0008719"
"177","N0.HOG0006567"
"178","N0.HOG0019687"
"179","N0.HOG0002896"
"180","N0.HOG0016821"
"181","N0.HOG0012640"
"182","N0.HOG0012827"
"183","N0.HOG0016573"
"184","N0.HOG0006621"
"185","N0.HOG0002028"
"186","N0.HOG0006620"
"187","N0.HOG0004705"
"188","N0.HOG0004695"
"189","N0.HOG0000237"
"190","N0.HOG0006719"
"191","N0.HOG0003441"
"192","N0.HOG0017123"
"193","N0.HOG0006733"
"194","N0.HOG0016742"
"195","N0.HOG0004049"
"196","N0.HOG0000075"
"197","N0.HOG0005515"
"198","N0.HOG0013181"
"199","N0.HOG0006730"
"200","N0.HOG0002882"
"201","N0.HOG0017118"
"202","N0.HOG0000129"
"203","N0.HOG0019830"
"204","N0.HOG0019647"
"205","N0.HOG0006205"
"206","N0.HOG0012382"
"207","N0.HOG0003296"
"208","N0.HOG0001790"
"209","N0.HOG0002085"
"210","N0.HOG0016880"
"211","N0.HOG0001807"
"212","N0.HOG0006738"
"213","N0.HOG0019887"
"214","N0.HOG0009000"
"215","N0.HOG0002327"
"216","N0.HOG0013185"
"217","N0.HOG0017093"
