"","x"
"1","Misin01G008300"
"2","Misin16G019900"
"3","Os02g0127000"
"4","SORBI_3001G014800"
"5","SORBI_3004G169501"
"6","TraesCSU02G017600"
"7","Zm00001eb064390"
"8","Zm00001eb210860"
"9","Misin01G029200"
"10","Misin02G011100"
"11","Os03g0818800"
"12","SORBI_3001G036800"
"13","SORBI_3010G015000"
"14","TraesCS5A02G473800"
"15","TraesCS5B02G486900"
"16","TraesCS5D02G486600"
"17","Zm00001eb062460"
"18","Misin01G055900"
"19","Misin02G040700"
"20","Misin03G001600"
"21","Misin03G009500"
"22","Os03g0788800"
"23","SORBI_3001G063400"
"24","SORBI_3002G040600"
"25","TraesCS2A02G248400"
"26","TraesCS2B02G268800"
"27","TraesCS2D02G250100"
"28","Zm00001eb117350"
"29","Zm00001eb213250"
"30","Zm00001eb265170"
"31","Misin01G121500"
"32","Misin02G110200"
"33","Misin06G307900"
"34","Os04g0418000"
"35","SORBI_3001G132100"
"36","SORBI_3003G340700"
"37","TraesCS2A02G298400"
"38","TraesCS2B02G314900"
"39","Zm00001eb053470"
"40","Zm00001eb217160"
"41","Misin01G126100"
"42","Misin02G130200"
"43","Misin11G161500"
"44","Misin12G168100"
"45","Os04g0544500"
"46","SORBI_3001G137300"
"47","SORBI_3006G166100"
"48","TraesCS2A02G391700"
"49","TraesCS2B02G410200"
"50","TraesCS2D02G390000"
"51","Zm00001eb427850"
"52","Zm00001eb075150"
"53","Misin01G283900"
"54","Misin01G284000"
"55","Misin01G284900"
"56","Misin02G273300"
"57","Misin02G273400"
"58","Misin02G273500"
"59","Misin02G273700"
"60","Os10g0555900"
"61","SORBI_3001G300500"
"62","SORBI_3001G300700"
"63","SORBI_3001G300800"
"64","SORBI_3001G300900"
"65","TraesCS1D02G215400"
"66","Zm00001eb023400"
"67","Zm00001eb023420"
"68","Zm00001eb391350"
"69","Zm00001eb391360"
"70","Misin01G446600"
"71","Misin02G422800"
"72","Misin13G189000"
"73","Os03g0203700"
"74","SORBI_3001G464900"
"75","SORBI_3007G215200"
"76","TraesCS4A02G046800"
"77","TraesCS4B02G258000"
"78","TraesCS4D02G257900"
"79","Zm00001eb007650"
"80","Zm00001eb034200"
"81","Zm00001eb199600"
"82","Misin07G224500"
"83","Misin01G480900"
"84","Misin02G474000"
"85","Os03g0149300"
"86","SORBI_3001G334200"
"87","SORBI_3001G502700"
"88","TraesCS4A02G415600"
"89","TraesCS4D02G313000"
"90","Zm00001eb003960"
"91","Zm00001eb020240"
"92","Misin02G113100"
"93","Misin02G429400"
"94","Os10g0323500"
"95","SORBI_3001G153800"
"96","SORBI_3001G458600"
"97","TraesCS7B02G267800"
"98","Zm00001eb400300"
"99","Misin02G240500"
"100","Misin02G240600"
"101","Os10g0195000"
"102","SORBI_3001G273000"
"103","SORBI_3001G273100"
"104","SORBI_3002G099300"
"105","TraesCS3A02G044500"
"106","TraesCS3B02G039300"
"107","TraesCS3D02G036400"
"108","Zm00001eb026090"
"109","Misin02G306800"
"110","MisinT292200"
"111","Os03g0421800"
"112","SORBI_3001G334900"
"113","SORBI_3003G198701"
"114","TraesCS6A02G110400"
"115","TraesCS6B02G138700"
"116","TraesCS6D02G099100"
"117","Zm00001eb020170"
"118","Zm00001eb393180"
"119","Misin03G107400"
"120","Misin03G107500"
"121","Misin03G107600"
"122","Misin04G119500"
"123","Misin04G119700"
"124","Os07g0448100"
"125","Os07g0448200"
"126","SORBI_3002G125000"
"127","SORBI_3002G125200"
"128","SORBI_3002G125300"
"129","SORBI_3002G125500"
"130","SORBI_3002G125700"
"131","TraesCS5A02G100000"
"132","TraesCS5D02G112500"
"133","Zm00001eb096620"
"134","Zm00001eb306400"
"135","Misin03G118400"
"136","Misin05G042200"
"137","Misin06G030500"
"138","MisinT539900"
"139","Os02g0754700"
"140","SORBI_3002G140000"
"141","SORBI_3003G040000"
"142","TraesCS2B02G560200"
"143","Zm00001eb122020"
"144","Misin03G146000"
"145","Misin04G164200"
"146","Os09g0345300"
"147","SORBI_3002G176500"
"148","SORBI_3002G176700"
"149","TraesCS5A02G186500"
"150","TraesCS5B02G184900"
"151","TraesCS5D02G191800"
"152","Zm00001eb310470"
"153","MisinT315400"
"154","Misin03G148500"
"155","Misin03G279600"
"156","Misin04G302000"
"157","Misin17G027800"
"158","MisinT426700"
