"","x"
"1","N0.HOG0011596"
"2","N0.HOG0008741"
"3","N0.HOG0004030"
"4","N0.HOG0006619"
"5","N0.HOG0004683"
"6","N0.HOG0002025"
"7","N0.HOG0000900"
"8","N0.HOG0008719"
"9","N0.HOG0004049"
"10","N0.HOG0001790"
"11","N0.HOG0006738"
"12","N0.HOG0000149"
"13","N0.HOG0007577"
"14","N0.HOG0005734"
"15","N0.HOG0004488"
"16","N0.HOG0001609"
"17","N0.HOG0001331"
"18","N0.HOG0009700"
"19","N0.HOG0017859"
"20","N0.HOG0006994"
"21","N0.HOG0006316"
"22","N0.HOG0000461"
"23","N0.HOG0001151"
"24","N0.HOG0009978"
"25","N0.HOG0005093"
"26","N0.HOG0005109"
"27","N0.HOG0007605"
"28","N0.HOG0003751"
"29","N0.HOG0002270"
"30","N0.HOG0007446"
"31","N0.HOG0005999"
"32","N0.HOG0007421"
"33","N0.HOG0003887"
"34","N0.HOG0010063"
"35","N0.HOG0000208"
"36","N0.HOG0015189"
"37","N0.HOG0001605"
"38","N0.HOG0000890"
"39","N0.HOG0008402"
"40","N0.HOG0000520"
"41","N0.HOG0012090"
"42","N0.HOG0005668"
"43","N0.HOG0003895"
"44","N0.HOG0006143"
"45","N0.HOG0003784"
"46","N0.HOG0011155"
"47","N0.HOG0000959"
"48","N0.HOG0005186"
"49","N0.HOG0009239"
"50","N0.HOG0009321"
"51","N0.HOG0005615"
"52","N0.HOG0005581"
"53","N0.HOG0004099"
"54","N0.HOG0006835"
"55","N0.HOG0009273"
"56","N0.HOG0000837"
"57","N0.HOG0005526"
"58","N0.HOG0005521"
"59","N0.HOG0001314"
"60","N0.HOG0003502"
"61","N0.HOG0009053"
"62","N0.HOG0008111"
"63","N0.HOG0005644"
"64","N0.HOG0005640"
"65","N0.HOG0005250"
"66","N0.HOG0003177"
"67","N0.HOG0007955"
"68","N0.HOG0002498"
"69","N0.HOG0009561"
"70","N0.HOG0005652"
"71","N0.HOG0014052"
"72","N0.HOG0002509"
"73","N0.HOG0017732"
"74","N0.HOG0010327"
"75","N0.HOG0009010"
"76","N0.HOG0000384"
"77","N0.HOG0006433"
"78","N0.HOG0003982"
"79","N0.HOG0017251"
"80","N0.HOG0001618"
