"","x"
"1","Misin01G010000"
"2","Misin07G260300"
"3","Misin07G260600"
"4","Misin13G161400"
"5","Misin13G161500"
"6","Misin16G086200"
"7","Misin17G090700"
"8","Os08g0530200"
"9","Os09g0258600"
"10","SORBI_3001G016400"
"11","SORBI_3001G016500"
"12","SORBI_3007G194500"
"13","SORBI_3009G076400"
"14","TraesCS5B02G167100"
"15","TraesCS5D02G174700"
"16","TraesCS7B02G157300"
"17","TraesCS7D02G260500"
"18","Zm00001eb036530"
"19","Zm00001eb175100"
"20","Zm00001eb283950"
"21","Zm00001eb347340"
"22","Misin01G090300"
"23","Misin02G079900"
"24","Os03g0734700"
"25","SORBI_3001G100800"
"26","SORBI_3001G101100"
"27","TraesCS4D02G064000"
"28","Zm00001eb215470"
"29","Misin01G106300"
"30","Misin02G096500"
"31","Misin11G243600"
"32","Misin12G254100"
"33","Os04g0497400"
"34","SORBI_3001G118700"
"35","SORBI_3006G244700"
"36","TraesCS2A02G352600"
"37","TraesCS2B02G371700"
"38","TraesCS2D02G351600"
"39","Zm00001eb432360"
"40","Zm00001eb068110"
"41","Misin01G117000"
"42","Misin01G117200"
"43","Os03g0698900"
"44","SORBI_3001G127000"
"45","SORBI_3001G127100"
"46","TraesCS4D02G034400"
"47","Zm00001eb053880"
"48","Misin01G143900"
"49","Misin02G117300"
"50","Os03g0659400"
"51","SORBI_3001G147200"
"52","SORBI_3008G180400"
"53","TraesCS4A02G297700"
"54","TraesCS4B02G016000"
"55","TraesCS4D02G014400"
"56","Zm00001eb052630"
"57","Zm00001eb218140"
"58","Misin01G167800"
"59","Misin02G161200"
"60","Misin02G161300"
"61","Os03g0575200"
"62","SORBI_3001G184000"
"63","SORBI_3001G184100"
"64","TraesCS6A02G294200"
"65","TraesCS6B02G324800"
"66","Zm00001eb048940"
"67","Zm00001eb048950"
"68","Misin01G229000"
"69","Misin02G222200"
"70","Os10g0407500"
"71","SORBI_3001G251900"
"72","SORBI_3003G134700"
"73","TraesCS5A02G082200"
"74","TraesCS5B02G084100"
"75","TraesCS5D02G090400"
"76","Zm00001eb223190"
"77","Misin01G238100"
"78","Misin02G242400"
"79","Os10g0159800"
"80","SORBI_3001G263900"
"81","SORBI_3001G264000"
"82","TraesCS1A02G050100"
"83","TraesCS1B02G066400"
"84","TraesCS1D02G052200"
"85","Zm00001eb026700"
"86","Zm00001eb026710"
"87","Misin02G245200"
"88","Misin01G284400"
"89","Misin02G274400"
"90","Misin12G049800"
"91","Os04g0377932"
"92","SORBI_3001G301700"
"93","SORBI_3006G049900"
"94","TraesCS1A02G420500"
"95","TraesCS1B02G451500"
"96","TraesCS1D02G428400"
"97","Zm00001eb085870"
"98","Zm00001eb085940"
"99","Zm00001eb391460"
"100","Zm00001eb391470"
"101","Zm00001eb391480"
"102","Misin01G286300"
"103","Misin02G276300"
"104","Os10g0553800"
"105","SORBI_3001G303200"
"106","SORBI_3001G303750"
"107","TraesCS1A02G210600"
"108","TraesCS1B02G224600"
"109","TraesCS1D02G213900"
"110","Zm00001eb023110"
"111","Misin01G328200"
"112","Misin02G321200"
"113","Misin04G360600"
"114","Os03g0390400"
"115","SORBI_3001G350600"
"116","SORBI_3002G379000"
"117","TraesCS2A02G164000"
"118","TraesCS2B02G189900"
"119","TraesCS2D02G171000"
"120","Zm00001eb018980"
"121","Misin01G357800"
"122","Misin02G337900"
"123","Misin03G310800"
"124","Misin04G391500"
"125","Os03g0343500"
"126","SORBI_3001G376600"
"127","SORBI_3002G414700"
"128","TraesCS7A02G344500"
"129","TraesCS7B02G238600"
"130","TraesCS7D02G335000"
"131","Zm00001eb111360"
"132","Zm00001eb330470"
"133","Zm00001eb394940"
"134","Misin01G358500"
"135","Os02g0664000"
"136","SORBI_3001G378700"
"137","SORBI_3004G290100"
"138","TraesCS6D02G228800"
"139","Zm00001eb016270"
"140","Misin01G367100"
"141","Misin02G358600"
"142","Os03g0326300"
"143","SORBI_3001G386300"
"144","SORBI_3003G369000"
"145","TraesCS6A02G305100"
"146","TraesCS6B02G333400"
"147","TraesCS6D02G284300"
"148","Zm00001eb015540"
"149","Zm00001eb395410"
"150","Misin01G410500"
"151","Misin01G447300"
"152","Misin02G441700"
"153","Misin03G303000"
"154","Misin04G345700"
"155","Os12g0406200"
"156","Os02g0287000"
"157","Os03g0200500"
"158","SORBI_3001G431400"
"159","SORBI_3001G467300"
"160","SORBI_3002G364100"
"161","SORBI_3002G364301"
"162","SORBI_3002G364500"
"163","SORBI_3002G364600"
"164","TraesCS4B02G260600"
"165","TraesCS4D02G260400"
"166","Zm00001eb007860"
"167","Zm00001eb400820"
"168","Misin01G477100"
"169","Misin02G469800"
"170","Os03g0157800"
"171","SORBI_3001G253100"
"172","SORBI_3001G498600"
"173","SORBI_3007G142050"
"174","TraesCS4A02G032200"
"175","TraesCS4B02G273400"
"176","TraesCS4D02G272400"
"177","Zm00001eb004370"
"178","Zm00001eb036230"
"179","Zm00001eb051390"
"180","Zm00001eb416680"
"181","Zm00001eb133360"
"182","Zm00001eb141950"
"183","Zm00001eb239270"
"184","Zm00001eb370840"
"185","Misin02G024200"
"186","Misin03G086000"
"187","Misin04G082700"
"188","Os03g0807800"
"189","SORBI_3001G046100"
"190","SORBI_3001G046300"
"191","SORBI_3010G150575"
"192","SORBI_3002G074200"
"193","SORBI_3002G430800"
"194","TraesCS3A02G366100"
"195","TraesCS3B02G376600"
"196","TraesCS3D02G338200"
"197","TraesCS5A02G458900"
"198","TraesCS5B02G468500"
"199","TraesCS5D02G470000"
"200","Zm00001eb061760"
"201","Zm00001eb212470"
"202","Zm00001eb303080"
"203","Misin02G264300"
"204","Misin06G001700"
"205","Os12g0264500"
"206","SORBI_3001G290000"
"207","SORBI_3005G222300"
"208","SORBI_3005G222400"
"209","TraesCS1A02G190800"
"210","TraesCS1B02G206000"
"211","TraesCS1D02G194800"
"212","Zm00001eb318240"
"213","Misin02G382800"
"214","Misin02G389100"
"215","Os04g0385700"
"216","SORBI_3001G409600"
"217","SORBI_3006G183800"
"218","TraesCS2A02G282400"
"219","TraesCS2B02G299800"
"220","TraesCS2D02G281200"
"221","Zm00001eb421010"
"222","Zm00001eb085570"
"223","Misin03G049700"
"224","Misin04G059800"
"225","Misin11G166200"
"226","Misin12G183900"
"227","Os07g0185200"
"228","SORBI_3002G056600"
"229","SORBI_3006G170700"
"230","TraesCS2A02G237900"
"231","TraesCS2B02G257400"
"232","TraesCS2D02G242200"
"233","Zm00001eb429740"
"234","Zm00001eb074680"
"235","Misin03G070000"
"236","Misin04G092000"
"237","Misin18G001300"
"238","Misin18G002100"
"239","Os05g0187000"
"240","SORBI_3010G007400"
"241","SORBI_3002G087000"
"242","SORBI_3003G035601"
"243","TraesCS1A02G122700"
"244","TraesCS1D02G123600"
"245","Zm00001eb268750"
"246","Zm00001eb304090"
"247","Misin03G133500"
"248","Misin04G156600"
"249","Misin08G003600"
"250","Os09g0297000"
"251","SORBI_3002G159300"
