"","x"
"1","N0.HOG0001264"
"2","N0.HOG0016549"
"3","N0.HOG0004696"
"4","N0.HOG0016662"
"5","N0.HOG0006601"
"6","N0.HOG0006633"
"7","N0.HOG0008824"
"8","N0.HOG0005470"
"9","N0.HOG0003448"
"10","N0.HOG0008667"
"11","N0.HOG0006522"
"12","N0.HOG0002924"
"13","N0.HOG0003389"
"14","N0.HOG0006598"
"15","N0.HOG0001787"
"16","N0.HOG0002038"
"17","N0.HOG0001810"
"18","N0.HOG0006679"
"19","N0.HOG0006716"
"20","N0.HOG0004808"
"21","N0.HOG0004931"
"22","N0.HOG0006402"
"23","N0.HOG0004918"
"24","N0.HOG0001401"
"25","N0.HOG0005709"
"26","N0.HOG0007013"
"27","N0.HOG0007039"
"28","N0.HOG0004908"
"29","N0.HOG0003607"
"30","N0.HOG0007028"
"31","N0.HOG0009397"
"32","N0.HOG0015744"
"33","N0.HOG0010669"
"34","N0.HOG0002654"
"35","N0.HOG0005170"
"36","N0.HOG0000460"
"37","N0.HOG0001029"
"38","N0.HOG0003137"
"39","N0.HOG0004331"
"40","N0.HOG0003748"
"41","N0.HOG0006011"
"42","N0.HOG0005130"
"43","N0.HOG0000953"
"44","N0.HOG0006071"
"45","N0.HOG0005161"
"46","N0.HOG0005497"
"47","N0.HOG0013052"
"48","N0.HOG0013095"
"49","N0.HOG0006696"
"50","N0.HOG0003710"
"51","N0.HOG0017033"
"52","N0.HOG0008949"
"53","N0.HOG0008947"
"54","N0.HOG0013055"
"55","N0.HOG0001967"
"56","N0.HOG0006435"
"57","N0.HOG0003362"
"58","N0.HOG0006387"
"59","N0.HOG0004552"
"60","N0.HOG0015160"
"61","N0.HOG0010053"
"62","N0.HOG0008074"
"63","N0.HOG0002489"
"64","N0.HOG0007124"
"65","N0.HOG0001613"
"66","N0.HOG0001557"
"67","N0.HOG0003831"
"68","N0.HOG0002820"
"69","N0.HOG0004548"
"70","N0.HOG0000893"
"71","N0.HOG0007797"
"72","N0.HOG0004459"
"73","N0.HOG0006195"
"74","N0.HOG0005190"
"75","N0.HOG0013385"
"76","N0.HOG0001933"
"77","N0.HOG0007795"
"78","N0.HOG0002107"
"79","N0.HOG0001316"
"80","N0.HOG0009326"
"81","N0.HOG0013441"
"82","N0.HOG0005574"
"83","N0.HOG0013699"
"84","N0.HOG0009205"
"85","N0.HOG0005487"
"86","N0.HOG0005769"
"87","N0.HOG0001126"
"88","N0.HOG0005632"
"89","N0.HOG0005638"
"90","N0.HOG0005249"
"91","N0.HOG0005273"
"92","N0.HOG0005252"
"93","N0.HOG0004518"
"94","N0.HOG0006269"
"95","N0.HOG0011623"
"96","N0.HOG0005947"
"97","N0.HOG0005680"
"98","N0.HOG0009613"
"99","N0.HOG0009630"
"100","N0.HOG0001278"
"101","N0.HOG0009542"
"102","N0.HOG0007161"
"103","N0.HOG0000336"
"104","N0.HOG0014936"
