"","GOID","GOTERM","ONTOLOGY","HOGs_with_GO_COUNT","HOGs_with_GO","TOTAL_COUNT.all_GO_ID","TOTAL_COUNT.Freq","Ta_COUNT.Var1","Ta_COUNT.Freq","Os_COUNT.Var1","Os_COUNT.Freq","Ms_COUNT.Var1","Ms_COUNT.Freq","Sb_COUNT.Var1","Sb_COUNT.Freq","Zm_COUNT.Var1","Zm_COUNT.Freq","DEFINITION"
"1","GO:0006412","translation","BP",8,"N0.HOG0002924 N0.HOG0001401 N0.HOG0001557 N0.HOG0000893 N0.HOG0001787 N0.HOG0006269 N0.HOG0001264 N0.HOG0001810","GO:0006412",119,"GO:0006412",26,"GO:0006412",11,"GO:0006412",35,"GO:0006412",27,"GO:0006412",20,"The cellular metabolic process in which a protein is formed, using the sequence of a mature mRNA or circRNA molecule to specify the sequence of amino acids in a polypeptide chain. Translation is mediated by the ribosome, and begins with the formation of a ternary complex between aminoacylated initiator methionine tRNA, GTP, and initiation factor 2, which subsequently associates with the small subunit of the ribosome and an mRNA or circRNA. Translation ends with the release of a polypeptide chain from the ribosome."
"2","GO:0061484","hematopoietic stem cell homeostasis","BP",1,"N0.HOG0001264","GO:0061484",2,"GO:0061484",2,"GO:0061484",0,"GO:0061484",0,"GO:0061484",0,"GO:0061484",0,"Any biological process involved in the maintenance of the steady-state number of hematopoietic stem cells within a population of cells."
"3","GO:0006862","nucleotide transport","BP",1,"N0.HOG0016549","GO:0006862",7,"GO:0006862",1,"GO:0006862",1,"GO:0006862",2,"GO:0006862",2,"GO:0006862",1,"The directed movement of a nucleotide, any compound consisting of a nucleoside that is esterified with (ortho)phosphate, into, out of or within a cell."
"4","GO:0055085","transmembrane transport","BP",4,"N0.HOG0004518 N0.HOG0016549 N0.HOG0000336 N0.HOG0015744","GO:0055085",44,"GO:0055085",9,"GO:0055085",6,"GO:0055085",8,"GO:0055085",16,"GO:0055085",5,"The process in which a solute is transported across a lipid bilayer, from one side of a membrane to the other."
"5","GO:0009231","riboflavin biosynthetic process","BP",1,"N0.HOG0004696","GO:0009231",12,"GO:0009231",3,"GO:0009231",1,"GO:0009231",4,"GO:0009231",2,"GO:0009231",2,"The chemical reactions and pathways resulting in the formation of riboflavin (vitamin B2), the precursor for the coenzymes flavin mononucleotide (FMN) and flavin adenine dinucleotide (FAD)."
"6","GO:0002238","response to molecule of fungal origin","BP",3,"N0.HOG0016662 N0.HOG0005252 N0.HOG0005632","GO:0002238",12,"GO:0002238",2,"GO:0002238",1,"GO:0002238",3,"GO:0002238",4,"GO:0002238",2,"Any process that results in a change in state or activity of an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus by molecules of fungal origin such as chito-octamer oligosaccharide."
"7","GO:0006665","sphingolipid metabolic process","BP",1,"N0.HOG0016662","GO:0006665",7,"GO:0006665",1,"GO:0006665",1,"GO:0006665",2,"GO:0006665",2,"GO:0006665",1,"The chemical reactions and pathways involving sphingolipids, any of a class of lipids containing the long-chain amine diol sphingosine or a closely related base (a sphingoid)."
"8","GO:0006672","ceramide metabolic process","BP",1,"N0.HOG0016662","GO:0006672",7,"GO:0006672",1,"GO:0006672",1,"GO:0006672",2,"GO:0006672",2,"GO:0006672",1,"The chemical reactions and pathways involving ceramides, any N-acylated sphingoid."
"9","GO:0006914","autophagy","BP",2,"N0.HOG0006435 N0.HOG0016662","GO:0006914",17,"GO:0006914",4,"GO:0006914",2,"GO:0006914",4,"GO:0006914",4,"GO:0006914",3,"The cellular catabolic process in which cells digest parts of their own cytoplasm; allows for both recycling of macromolecular constituents under conditions of cellular stress and remodeling the intracellular structure for cell differentiation."
"10","GO:0006952","defense response","BP",2,"N0.HOG0001316 N0.HOG0016662","GO:0006952",28,"GO:0006952",4,"GO:0006952",3,"GO:0006952",8,"GO:0006952",8,"GO:0006952",5,"Reactions, triggered in response to the presence of a foreign body or the occurrence of an injury, which result in restriction of damage to the organism attacked or prevention/recovery from the infection caused by the attack."
"11","GO:0009651","response to salt stress","BP",5,"N0.HOG0010053 N0.HOG0016662 N0.HOG0008074 N0.HOG0004459 N0.HOG0002820","GO:0009651",27,"GO:0009651",7,"GO:0009651",3,"GO:0009651",8,"GO:0009651",6,"GO:0009651",3,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating an increase or decrease in the concentration of salt (particularly but not exclusively sodium and chloride ions) in the environment."
"12","GO:0009737","response to abscisic acid","BP",2,"N0.HOG0006716 N0.HOG0016662","GO:0009737",17,"GO:0009737",4,"GO:0009737",2,"GO:0009737",4,"GO:0009737",4,"GO:0009737",3,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an abscisic acid stimulus."
"13","GO:0009738","abscisic acid-activated signaling pathway","BP",3,"N0.HOG0006716 N0.HOG0016662 N0.HOG0004918","GO:0009738",23,"GO:0009738",4,"GO:0009738",2,"GO:0009738",6,"GO:0009738",6,"GO:0009738",5,"The series of molecular signals generated by the binding of the plant hormone abscisic acid (ABA) to a receptor, and ending with modulation of a cellular process, e.g. transcription."
"14","GO:0010025","wax biosynthetic process","BP",1,"N0.HOG0016662","GO:0010025",7,"GO:0010025",1,"GO:0010025",1,"GO:0010025",2,"GO:0010025",2,"GO:0010025",1,"The chemical reactions and pathways resulting in the formation of wax, which includes C16 and C18 fatty acids."
"15","GO:0010150","leaf senescence","BP",1,"N0.HOG0016662","GO:0010150",7,"GO:0010150",1,"GO:0010150",1,"GO:0010150",2,"GO:0010150",2,"GO:0010150",1,"The last stage of leaf development during which programmed degradation of macromolecules and nutrient recycling take place."
"16","GO:0010508","positive regulation of autophagy","BP",1,"N0.HOG0016662","GO:0010508",7,"GO:0010508",1,"GO:0010508",1,"GO:0010508",2,"GO:0010508",2,"GO:0010508",1,"Any process that activates, maintains or increases the rate of autophagy. Autophagy is the process in which cells digest parts of their own cytoplasm."
