"","x"
"1","N0.HOG0004532"
"2","N0.HOG0005079"
"3","N0.HOG0000340"
"4","N0.HOG0004531"
"5","N0.HOG0004009"
"6","N0.HOG0004330"
"7","N0.HOG0011596"
"8","N0.HOG0001264"
"9","N0.HOG0000388"
"10","N0.HOG0008539"
"11","N0.HOG0006592"
"12","N0.HOG0008669"
"13","N0.HOG0006149"
"14","N0.HOG0008848"
"15","N0.HOG0008741"
"16","N0.HOG0002921"
"17","N0.HOG0006535"
"18","N0.HOG0006615"
"19","N0.HOG0012225"
"20","N0.HOG0005378"
"21","N0.HOG0005148"
"22","N0.HOG0006492"
"23","N0.HOG0002060"
"24","N0.HOG0004709"
"25","N0.HOG0001751"
"26","N0.HOG0003381"
"27","N0.HOG0004030"
"28","N0.HOG0005145"
"29","N0.HOG0001302"
"30","N0.HOG0001067"
"31","N0.HOG0006504"
"32","N0.HOG0001380"
"33","N0.HOG0016549"
"34","N0.HOG0004662"
"35","N0.HOG0008536"
"36","N0.HOG0012682"
"37","N0.HOG0008656"
"38","N0.HOG0002869"
"39","N0.HOG0006070"
"40","N0.HOG0008572"
"41","N0.HOG0004696"
"42","N0.HOG0006198"
"43","N0.HOG0003427"
"44","N0.HOG0005453"
"45","N0.HOG0016662"
"46","N0.HOG0006619"
"47","N0.HOG0002074"
"48","N0.HOG0004683"
"49","N0.HOG0005479"
"50","N0.HOG0006601"
"51","N0.HOG0000325"
"52","N0.HOG0003410"
"53","N0.HOG0001300"
"54","N0.HOG0001559"
"55","N0.HOG0006336"
"56","N0.HOG0006633"
"57","N0.HOG0003394"
"58","N0.HOG0001296"
"59","N0.HOG0006582"
"60","N0.HOG0000886"
"61","N0.HOG0008650"
"62","N0.HOG0006637"
"63","N0.HOG0004645"
"64","N0.HOG0006483"
"65","N0.HOG0003250"
"66","N0.HOG0006519"
"67","N0.HOG0006569"
"68","N0.HOG0004646"
"69","N0.HOG0006655"
"70","N0.HOG0019663"
"71","N0.HOG0004031"
"72","N0.HOG0003987"
"73","N0.HOG0008653"
"74","N0.HOG0008824"
"75","N0.HOG0005443"
"76","N0.HOG0003297"
"77","N0.HOG0008702"
"78","N0.HOG0005393"
"79","N0.HOG0012345"
"80","N0.HOG0005470"
"81","N0.HOG0006636"
"82","N0.HOG0008761"
"83","N0.HOG0005399"
"84","N0.HOG0004004"
"85","N0.HOG0005426"
"86","N0.HOG0005454"
"87","N0.HOG0002025"
"88","N0.HOG0003448"
"89","N0.HOG0004017"
"90","N0.HOG0012241"
"91","N0.HOG0000245"
"92","N0.HOG0006659"
"93","N0.HOG0008667"
"94","N0.HOG0008764"
"95","N0.HOG0004026"
"96","N0.HOG0005321"
"97","N0.HOG0004647"
"98","N0.HOG0008429"
"99","N0.HOG0003449"
"100","N0.HOG0008680"
"101","N0.HOG0004638"
"102","N0.HOG0004509"
"103","N0.HOG0005481"
"104","N0.HOG0006630"
"105","N0.HOG0006522"
"106","N0.HOG0001165"
"107","N0.HOG0000894"
"108","N0.HOG0006528"
"109","N0.HOG0008423"
"110","N0.HOG0003423"
"111","N0.HOG0005150"
"112","N0.HOG0001572"
"113","N0.HOG0001369"
"114","N0.HOG0002924"
"115","N0.HOG0003389"
"116","N0.HOG0006598"
"117","N0.HOG0004354"
"118","N0.HOG0005456"
"119","N0.HOG0008872"
"120","N0.HOG0011728"
"121","N0.HOG0005420"
"122","N0.HOG0005418"
"123","N0.HOG0000974"
"124","N0.HOG0004699"
"125","N0.HOG0003376"
"126","N0.HOG0011419"
"127","N0.HOG0001734"
"128","N0.HOG0006631"
"129","N0.HOG0006577"
"130","N0.HOG0001787"
"131","N0.HOG0006467"
"132","N0.HOG0005328"
"133","N0.HOG0002068"
"134","N0.HOG0004650"
"135","N0.HOG0003365"
"136","N0.HOG0016666"
"137","N0.HOG0002449"
"138","N0.HOG0006596"
"139","N0.HOG0004687"
"140","N0.HOG0006317"
"141","N0.HOG0005409"
"142","N0.HOG0006640"
"143","N0.HOG0003379"
"144","N0.HOG0000900"
"145","N0.HOG0006613"
"146","N0.HOG0006293"
"147","N0.HOG0005472"
"148","N0.HOG0008540"
"149","N0.HOG0016914"
"150","N0.HOG0005380"
"151","N0.HOG0002038"
"152","N0.HOG0008719"
"153","N0.HOG0002039"
"154","N0.HOG0012678"
"155","N0.HOG0000965"
"156","N0.HOG0008755"
"157","N0.HOG0012744"
"158","N0.HOG0001799"
"159","N0.HOG0003988"
"160","N0.HOG0019530"
"161","N0.HOG0009007"
"162","N0.HOG0001810"
"163","N0.HOG0002626"
"164","N0.HOG0009021"
"165","N0.HOG0017178"
"166","N0.HOG0006312"
"167","N0.HOG0004049"
"168","N0.HOG0013149"
"169","N0.HOG0004415"
"170","N0.HOG0005517"
"171","N0.HOG0000343"
"172","N0.HOG0012337"
"173","N0.HOG0008988"
"174","N0.HOG0013132"
"175","N0.HOG0001790"
"176","N0.HOG0006679"
"177","N0.HOG0002405"
"178","N0.HOG0006475"
"179","N0.HOG0003775"
"180","N0.HOG0004042"
"181","N0.HOG0006738"
"182","N0.HOG0004383"
"183","N0.HOG0006721"
"184","N0.HOG0006728"
"185","N0.HOG0000883"
"186","N0.HOG0004674"
"187","N0.HOG0017082"
"188","N0.HOG0006716"
"189","N0.HOG0013140"
"190","N0.HOG0008983"
"191","N0.HOG0000404"
"192","N0.HOG0002087"
"193","N0.HOG0006732"
"194","N0.HOG0013152"
"195","N0.HOG0004051"
"196","N0.HOG0004754"
"197","N0.HOG0005730"
"198","N0.HOG0002130"
"199","N0.HOG0009696"
"200","N0.HOG0001845"
"201","N0.HOG0009892"
"202","N0.HOG0002490"
"203","N0.HOG0005700"
"204","N0.HOG0004181"
"205","N0.HOG0014411"
"206","N0.HOG0006109"
"207","N0.HOG0004808"
"208","N0.HOG0002523"
"209","N0.HOG0000956"
"210","N0.HOG0004931"
"211","N0.HOG0004512"
"212","N0.HOG0006834"
"213","N0.HOG0005577"
"214","N0.HOG0018001"
"215","N0.HOG0009853"
"216","N0.HOG0008092"
"217","N0.HOG0017842"
"218","N0.HOG0003725"
"219","N0.HOG0000149"
"220","N0.HOG0004533"
"221","N0.HOG0001784"
"222","N0.HOG0007577"
"223","N0.HOG0006402"
"224","N0.HOG0004179"
"225","N0.HOG0004917"
"226","N0.HOG0007005"
"227","N0.HOG0004918"
"228","N0.HOG0007007"
"229","N0.HOG0006893"
"230","N0.HOG0005734"
"231","N0.HOG0001401"
"232","N0.HOG0003115"
"233","N0.HOG0005451"
"234","N0.HOG0001290"
"235","N0.HOG0004914"
"236","N0.HOG0017983"
"237","N0.HOG0005670"
"238","N0.HOG0009680"
"239","N0.HOG0003856"
"240","N0.HOG0009785"
"241","N0.HOG0002472"
"242","N0.HOG0009860"
"243","N0.HOG0004881"
"244","N0.HOG0003020"
"245","N0.HOG0005751"
