TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	Representative
"GO:0000166"	"nucleotide binding"	NaN	6.8563906855422285	19.572068037245	0.7921059355937977	0.34304419	null
"GO:0005524"	"ATP binding"	NaN	6.696107012893181	13.531720449792392	0.7817391643814519	0.72253413	166
"GO:0003676"	"nucleic acid binding"	NaN	6.866269376056589	20.02236659265439	0.8289073549902733	0.14945237	null
"GO:0003700"	"DNA-binding transcription factor activity"	NaN	6.221101903037759	4.532603540907692	0.9853720437930774	0	null
"GO:0003723"	"RNA binding"	NaN	6.281472442045765	5.208567618365157	0.8045033328431682	0.36410902	null
"GO:0003677"	"DNA binding"	NaN	6.637648108041512	11.827531128307996	0.7809525073591406	0.50546017	3723
"GO:0003729"	"mRNA binding"	NaN	5.034046601650425	0.29463794571910035	0.86150704560754	-0	null
"GO:0003824"	"catalytic activity"	NaN	7.362887570729825	62.825165830214615	1	-0	null
"GO:0004103"	"choline kinase activity"	NaN	2.597695185925512	0.0010760765996546094	0.8836025508007305	0.25458558	null
"GO:0004161"	"dimethylallyltranstransferase activity"	NaN	3.3244882333076564	0.0057481560133448755	0.8668973558997664	0.16823469	null
"GO:0004337"	"geranyltranstransferase activity"	NaN	3.7737864449811935	0.016179288418604366	0.8621026554959704	0.67976188	4161
"GO:0004305"	"ethanolamine kinase activity"	NaN	2.6757783416740852	0.0012885676750294436	0.8966019522300479	0.02212173	null
"GO:0005515"	"protein binding"	NaN	6.27008718737355	5.073796515930947	0.9291354794467175	0.05581941	null
"GO:0016301"	"kinase activity"	NaN	6.361651544547151	6.264659159956308	0.8452127571403624	0.32455339	null
"GO:0016740"	"transferase activity"	NaN	6.891430459754787	21.216634542374862	0.9549021104244715	0.0584445	null
"GO:0016765"	"transferase activity, transferring alkyl or aryl (other than methyl) groups"	NaN	5.498953935791011	0.8594065331307367	0.8882676003351855	0.15252738	null
"GO:0016787"	"hydrolase activity"	NaN	6.893959728591402	21.340557702986732	0.9548733624511235	0.11166207	null
"GO:0016791"	"phosphatase activity"	NaN	5.670052790398394	1.2743770851367833	0.9109706397720435	-0	null
"GO:0004445"	"inositol-polyphosphate 5-phosphatase activity"	NaN	3.7646243978509815	0.015841482093649502	0.9207911472839101	0.61289999	16791
"GO:0043565"	"sequence-specific DNA binding"	NaN	5.779551760951278	1.6398235953577127	0.8318694309451393	0.25887051	null
"GO:0046872"	"metal ion binding"	NaN	6.82843373389826	18.351846209638683	0.8876790157780297	0.10513625	null
