"","x"
"1","N0.HOG0016187"
"2","N0.HOG0005253"
"3","N0.HOG0008510"
"4","N0.HOG0012810"
"5","N0.HOG0002190"
"6","N0.HOG0012567"
"7","N0.HOG0012342"
"8","N0.HOG0012208"
"9","N0.HOG0008767"
"10","N0.HOG0012449"
"11","N0.HOG0006641"
"12","N0.HOG0003958"
"13","N0.HOG0019683"
"14","N0.HOG0001171"
"15","N0.HOG0005399"
"16","N0.HOG0012438"
"17","N0.HOG0008853"
"18","N0.HOG0016708"
"19","N0.HOG0001420"
"20","N0.HOG0000608"
"21","N0.HOG0016804"
"22","N0.HOG0012933"
"23","N0.HOG0012636"
"24","N0.HOG0006563"
"25","N0.HOG0012839"
"26","N0.HOG0016868"
"27","N0.HOG0000348"
"28","N0.HOG0012255"
"29","N0.HOG0016643"
"30","N0.HOG0002789"
"31","N0.HOG0019895"
"32","N0.HOG0017127"
"33","N0.HOG0012337"
"34","N0.HOG0004740"
"35","N0.HOG0006342"
"36","N0.HOG0012663"
"37","N0.HOG0006292"
"38","N0.HOG0009749"
"39","N0.HOG0014615"
"40","N0.HOG0017557"
"41","N0.HOG0003599"
"42","N0.HOG0009893"
"43","N0.HOG0009714"
"44","N0.HOG0009733"
"45","N0.HOG0017920"
"46","N0.HOG0014472"
"47","N0.HOG0004780"
"48","N0.HOG0014528"
"49","N0.HOG0017986"
"50","N0.HOG0009769"
"51","N0.HOG0020511"
"52","N0.HOG0014498"
"53","N0.HOG0010670"
"54","N0.HOG0011041"
"55","N0.HOG0004368"
"56","N0.HOG0015789"
"57","N0.HOG0015638"
"58","N0.HOG0004403"
"59","N0.HOG0015767"
"60","N0.HOG0010844"
"61","N0.HOG0004360"
"62","N0.HOG0010573"
"63","N0.HOG0015688"
"64","N0.HOG0000509"
"65","N0.HOG0010740"
"66","N0.HOG0007664"
"67","N0.HOG0015557"
"68","N0.HOG0003741"
"69","N0.HOG0019050"
"70","N0.HOG0001517"
"71","N0.HOG0005971"
"72","N0.HOG0016195"
"73","N0.HOG0003819"
"74","N0.HOG0010916"
"75","N0.HOG0013017"
"76","N0.HOG0008913"
"77","N0.HOG0004036"
"78","N0.HOG0013009"
"79","N0.HOG0016995"
"80","N0.HOG0012020"
"81","N0.HOG0002781"
"82","N0.HOG0004936"
"83","N0.HOG0018562"
"84","N0.HOG0018485"
"85","N0.HOG0018406"
"86","N0.HOG0010051"
"87","N0.HOG0015040"
"88","N0.HOG0014968"
"89","N0.HOG0010095"
"90","N0.HOG0006820"
"91","N0.HOG0002005"
"92","N0.HOG0018522"
"93","N0.HOG0020648"
"94","N0.HOG0015203"
"95","N0.HOG0016253"
"96","N0.HOG0016443"
"97","N0.HOG0011916"
"98","N0.HOG0016930"
"99","N0.HOG0003778"
"100","N0.HOG0002701"
"101","N0.HOG0003229"
"102","N0.HOG0019161"
"103","N0.HOG0000798"
"104","N0.HOG0004429"
"105","N0.HOG0017541"
"106","N0.HOG0013436"
"107","N0.HOG0013795"
"108","N0.HOG0013581"
"109","N0.HOG0002347"
"110","N0.HOG0013693"
"111","N0.HOG0009418"
"112","N0.HOG0004797"
"113","N0.HOG0017415"
"114","N0.HOG0005631"
"115","N0.HOG0013719"
"116","N0.HOG0013772"
"117","N0.HOG0018165"
"118","N0.HOG0006558"
"119","N0.HOG0018196"
"120","N0.HOG0000491"
"121","N0.HOG0013739"
"122","N0.HOG0009290"
"123","N0.HOG0010036"
"124","N0.HOG0004765"
"125","N0.HOG0001930"
"126","N0.HOG0004079"
"127","N0.HOG0017194"
"128","N0.HOG0019931"
"129","N0.HOG0019953"
"130","N0.HOG0013888"
"131","N0.HOG0005270"
"132","N0.HOG0006272"
"133","N0.HOG0011398"
"134","N0.HOG0011281"
"135","N0.HOG0007915"
"136","N0.HOG0016145"
"137","N0.HOG0011336"
"138","N0.HOG0004535"
"139","N0.HOG0001396"
"140","N0.HOG0007982"
"141","N0.HOG0002216"
"142","N0.HOG0011399"
"143","N0.HOG0006221"
"144","N0.HOG0011483"
"145","N0.HOG0002324"
"146","N0.HOG0016052"
"147","N0.HOG0001052"
"148","N0.HOG0001722"
"149","N0.HOG0022199"
"150","N0.HOG0017794"
"151","N0.HOG0004861"
"152","N0.HOG0001760"
"153","N0.HOG0006908"
"154","N0.HOG0018102"
"155","N0.HOG0017723"
"156","N0.HOG0014165"
"157","N0.HOG0020171"
"158","N0.HOG0009554"
"159","N0.HOG0000950"
"160","N0.HOG0009517"
"161","N0.HOG0021777"
"162","N0.HOG0011657"
"163","N0.HOG0004393"
"164","N0.HOG0008725"
"165","N0.HOG0002099"
"166","N0.HOG0012994"
"167","N0.HOG0003586"
"168","N0.HOG0005094"
"169","N0.HOG0013409"
"170","N0.HOG0017354"
"171","N0.HOG0002809"
"172","N0.HOG0003614"
"173","N0.HOG0006742"
"174","N0.HOG0013403"
"175","N0.HOG0014221"
"176","N0.HOG0007071"
"177","N0.HOG0013875"
"178","N0.HOG0014600"
"179","N0.HOG0002901"
"180","N0.HOG0016109"
