"","x"
"1","N0.HOG0016187"
"2","N0.HOG0012208"
"3","N0.HOG0008767"
"4","N0.HOG0003958"
"5","N0.HOG0005399"
"6","N0.HOG0008853"
"7","N0.HOG0012933"
"8","N0.HOG0012839"
"9","N0.HOG0002789"
"10","N0.HOG0019895"
"11","N0.HOG0009749"
"12","N0.HOG0009893"
"13","N0.HOG0009714"
"14","N0.HOG0009733"
"15","N0.HOG0009769"
"16","N0.HOG0004368"
"17","N0.HOG0015767"
"18","N0.HOG0010844"
"19","N0.HOG0010740"
"20","N0.HOG0007664"
"21","N0.HOG0001517"
"22","N0.HOG0003819"
"23","N0.HOG0008913"
"24","N0.HOG0010051"
"25","N0.HOG0015040"
"26","N0.HOG0014968"
"27","N0.HOG0010095"
"28","N0.HOG0002005"
"29","N0.HOG0020648"
"30","N0.HOG0015203"
"31","N0.HOG0016443"
"32","N0.HOG0009418"
"33","N0.HOG0004797"
"34","N0.HOG0017415"
"35","N0.HOG0018165"
"36","N0.HOG0000491"
"37","N0.HOG0013739"
"38","N0.HOG0009290"
"39","N0.HOG0004765"
"40","N0.HOG0001930"
"41","N0.HOG0013888"
"42","N0.HOG0006272"
"43","N0.HOG0011281"
"44","N0.HOG0007982"
"45","N0.HOG0006221"
"46","N0.HOG0011483"
"47","N0.HOG0001052"
"48","N0.HOG0017723"
"49","N0.HOG0009554"
"50","N0.HOG0008725"
"51","N0.HOG0013409"
"52","N0.HOG0013875"
