"","GO.ID","Term","Annotated","Significant","Expected","weight01","Ontology"
"1","GO:0006891","intra-Golgi vesicle-mediated transport",17,2,0.06,0.0016,"BP"
"2","GO:0002238","response to molecule of fungal origin",21,2,0.07,0.0024,"BP"
"3","GO:0032509","endosome transport via multivesicular bo...",22,2,0.08,0.0169,"BP"
"4","GO:0008203","cholesterol metabolic process",16,2,0.06,0.0402,"BP"
"5","GO:0006109","regulation of carbohydrate metabolic pro...",51,2,0.18,0.0566,"BP"
"6","GO:0060918","auxin transport",90,3,0.31,0.0617,"BP"
"7","GO:0009734","auxin-activated signaling pathway",178,3,0.62,0.0866,"BP"
"8","GO:0006694","steroid biosynthetic process",56,2,0.2,0.0945,"BP"
"9","GO:0007165","signal transduction",1148,10,4.01,0.116,"BP"
"10","GO:0050896","response to stimulus",3767,20,13.15,0.144,"BP"
"11","GO:0040008","regulation of growth",143,3,0.5,0.1743,"BP"
"12","GO:0016310","phosphorylation",1035,6,3.61,0.1919,"BP"
"13","GO:0010015","root morphogenesis",157,2,0.55,0.1925,"BP"
"14","GO:0071555","cell wall organization",366,3,1.28,0.2147,"BP"
"15","GO:0015031","protein transport",592,4,2.07,0.2662,"BP"
"16","GO:0006355","regulation of DNA-templated transcriptio...",1412,7,4.93,0.3561,"BP"
"17","GO:0009409","response to cold",173,2,0.6,0.4173,"BP"
"18","GO:0035556","intracellular signal transduction",350,3,1.22,0.424,"BP"
"19","GO:0006952","defense response",963,3,3.36,0.4474,"BP"
"20","GO:0009651","response to salt stress",259,2,0.9,0.4835,"BP"
"21","GO:0009793","embryo development ending in seed dorman...",208,2,0.73,0.5012,"BP"
"22","GO:0030154","cell differentiation",455,3,1.59,0.5295,"BP"
"23","GO:0005975","carbohydrate metabolic process",845,5,2.95,0.5991,"BP"
"24","GO:0006886","intracellular protein transport",297,2,1.04,0.6267,"BP"
"25","GO:0006508","proteolysis",690,2,2.41,0.7649,"BP"
"26","GO:0008152","metabolic process",8620,28,30.08,1,"BP"
"27","GO:0022414","reproductive process",978,4,3.41,1,"BP"
