"","x"
"1","N0.HOG0016187"
"2","N0.HOG0005253"
"3","N0.HOG0008510"
"4","N0.HOG0012810"
"5","N0.HOG0002190"
"6","N0.HOG0012208"
"7","N0.HOG0012449"
"8","N0.HOG0001171"
"9","N0.HOG0001420"
"10","N0.HOG0000608"
"11","N0.HOG0012636"
"12","N0.HOG0012839"
"13","N0.HOG0000348"
"14","N0.HOG0016643"
"15","N0.HOG0002789"
"16","N0.HOG0017127"
"17","N0.HOG0006342"
"18","N0.HOG0012663"
"19","N0.HOG0009749"
"20","N0.HOG0003599"
"21","N0.HOG0009733"
"22","N0.HOG0014472"
"23","N0.HOG0004780"
"24","N0.HOG0009769"
"25","N0.HOG0014498"
"26","N0.HOG0010670"
"27","N0.HOG0011041"
"28","N0.HOG0004368"
"29","N0.HOG0015638"
"30","N0.HOG0004403"
"31","N0.HOG0004360"
"32","N0.HOG0015688"
"33","N0.HOG0000509"
"34","N0.HOG0007664"
"35","N0.HOG0003741"
"36","N0.HOG0001517"
"37","N0.HOG0016195"
"38","N0.HOG0013017"
"39","N0.HOG0016995"
"40","N0.HOG0004936"
"41","N0.HOG0018562"
"42","N0.HOG0018406"
"43","N0.HOG0015040"
"44","N0.HOG0006820"
"45","N0.HOG0002005"
"46","N0.HOG0018522"
"47","N0.HOG0015203"
"48","N0.HOG0016253"
"49","N0.HOG0011916"
"50","N0.HOG0016930"
"51","N0.HOG0003778"
"52","N0.HOG0002701"
"53","N0.HOG0003229"
"54","N0.HOG0000798"
"55","N0.HOG0017541"
"56","N0.HOG0013581"
"57","N0.HOG0009418"
"58","N0.HOG0004797"
"59","N0.HOG0017415"
"60","N0.HOG0005631"
"61","N0.HOG0013719"
"62","N0.HOG0013772"
"63","N0.HOG0018196"
"64","N0.HOG0013739"
"65","N0.HOG0009290"
"66","N0.HOG0010036"
"67","N0.HOG0005270"
"68","N0.HOG0004535"
"69","N0.HOG0001396"
"70","N0.HOG0007982"
"71","N0.HOG0011483"
"72","N0.HOG0002324"
"73","N0.HOG0001052"
"74","N0.HOG0001722"
"75","N0.HOG0017794"
"76","N0.HOG0018102"
"77","N0.HOG0017723"
"78","N0.HOG0020171"
"79","N0.HOG0009517"
"80","N0.HOG0004393"
"81","N0.HOG0002099"
"82","N0.HOG0003586"
"83","N0.HOG0005094"
"84","N0.HOG0017354"
"85","N0.HOG0002809"
"86","N0.HOG0003614"
"87","N0.HOG0006742"
"88","N0.HOG0013403"
"89","N0.HOG0014221"
"90","N0.HOG0002901"
