TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	Representative
"GO:0005576"	"extracellular region"	3	6.192286102188137	3.8687535442060237	0.9998978355557501	0	null
"GO:0005634"	"nucleus"	9	6.822624306696733	16.5161752456724	0.6698834627919237	0.35145602	null
"GO:0005730"	"nucleolus"	1	5.688028068374036	1.2114693153196516	0.7546055924229319	0.20773614	null
"GO:0005737"	"cytoplasm"	2	7.238956814544198	43.076660800468886	0.8668703845762429	0.1047991	null
"GO:0005739"	"mitochondrion"	2	6.2910814460391355	4.856981674016684	0.7104688145276024	0.2503098	null
"GO:0005743"	"mitochondrial inner membrane"	1	5.680813971027983	1.1915116865185273	0.5665642583874467	0.20731432	null
"GO:0061617"	"MICOS complex"	1	4.048558324898481	0.02778463710833837	0.6141615142889244	0.68380656	5743
"GO:0098800"	"inner mitochondrial membrane protein complex"	1	5.342152149561588	0.5463053017271946	0.5296222279415265	0.89510484	5743
"GO:0005794"	"Golgi apparatus"	2	5.975775890758108	2.349961096041566	0.6437253130912475	5.394E-05	null
"GO:0000139"	"Golgi membrane"	1	5.498663360882215	0.7833344456795933	0.546293578111848	0.57911412	5794
"GO:0005783"	"endoplasmic reticulum"	1	6.095309558822563	3.094528245337302	0.6345880924210934	0.68921254	5794
"GO:0005886"	"plasma membrane"	5	6.8396702634157895	17.177321395000487	0.90272072198916	0.39486578	null
"GO:0009507"	"chloroplast"	1	5.449217589922604	0.6990388085931706	0.7086931775584476	0.19462727	null
"GO:0009570"	"chloroplast stroma"	1	4.626873923957273	0.10523226311708445	0.7436735402933066	0.81880967	9507
"GO:0009536"	"plastid"	1	5.486950187589592	0.7624897559369845	0.7618898553001906	0.19658734	null
"GO:0016020"	"membrane"	8	7.297158185522496	49.2542153160787	0.9998355907512326	9.537E-05	null
"GO:0030117"	"membrane coat"	1	5.073744004114781	0.29445950681101296	0.7080464488256948	0.29013538	null
"GO:0030126"	"COPI vesicle coat"	1	4.369549801664892	0.05818573127937396	0.4725412486878988	0.87528707	30117
"GO:0030663"	"COPI-coated vesicle membrane"	1	4.410389146513233	0.06392305260678885	0.5931685541974597	0.97889183	30117
"GO:0031012"	"extracellular matrix"	1	5.41881981437366	0.6517835565339344	0.9626729933883422	4.559E-05	null
"GO:0031410"	"cytoplasmic vesicle"	1	5.989407543093069	2.424891655569294	0.652862337588118	0.25147478	null
"GO:1990904"	"ribonucleoprotein complex"	1	6.239780566048521	4.315842197772249	0.900045229888717	-0	null
