"","GO.ID","Term","Annotated","Significant","Expected","weight01","Ontology"
"1","GO:0009734","auxin-activated signaling pathway",178,2,0.25,0.1757,"BP"
"2","GO:0007165","signal transduction",1148,6,1.62,0.1884,"BP"
"3","GO:0016310","phosphorylation",1035,3,1.46,0.3411,"BP"
"4","GO:0006952","defense response",963,2,1.36,0.4506,"BP"
"5","GO:0006355","regulation of DNA-templated transcriptio...",1412,4,1.99,0.676,"BP"
"6","GO:0034654","nucleobase-containing compound biosynthe...",1772,4,2.5,1,"BP"
"7","GO:0032870","cellular response to hormone stimulus",688,4,0.97,1,"BP"
"8","GO:1901700","response to oxygen-containing compound",979,2,1.38,1,"BP"
"9","GO:0051252","regulation of RNA metabolic process",1480,4,2.09,1,"BP"
"10","GO:0050896","response to stimulus",3767,10,5.32,1,"BP"
"11","GO:0016070","RNA metabolic process",2571,5,3.63,1,"BP"
"12","GO:0048609","multicellular organismal reproductive pr...",118,2,0.17,1,"BP"
"13","GO:0071495","cellular response to endogenous stimulus",710,4,1,1,"BP"
"14","GO:0006351","DNA-templated transcription",1544,4,2.18,1,"BP"
"15","GO:0032774","RNA biosynthetic process",1556,4,2.2,1,"BP"
"16","GO:0050794","regulation of cellular process",3000,10,4.24,1,"BP"
"17","GO:0018130","heterocycle biosynthetic process",1942,5,2.74,1,"BP"
"18","GO:0043412","macromolecule modification",1398,2,1.97,1,"BP"
"19","GO:0023052","signaling",1170,6,1.65,1,"BP"
"20","GO:0000003","reproduction",990,2,1.4,1,"BP"
"21","GO:0051716","cellular response to stimulus",2001,7,2.83,1,"BP"
"22","GO:0009987","cellular process",9856,16,13.92,1,"BP"
"23","GO:0008150","biological_process",12035,17,17,1,"BP"
"24","GO:0008152","metabolic process",8620,11,12.18,1,"BP"
"25","GO:0006807","nitrogen compound metabolic process",5762,8,8.14,1,"BP"
"26","GO:0051171","regulation of nitrogen compound metaboli...",1707,4,2.41,1,"BP"
"27","GO:0071840","cellular component organization or bioge...",2277,4,3.22,1,"BP"
"28","GO:0006950","response to stress",2273,3,3.21,1,"BP"
"29","GO:0009058","biosynthetic process",4686,8,6.62,1,"BP"
"30","GO:0051179","localization",2042,3,2.88,1,"BP"
"31","GO:0009059","macromolecule biosynthetic process",3473,6,4.91,1,"BP"
"32","GO:0016043","cellular component organization",2000,3,2.83,1,"BP"
"33","GO:0006955","immune response",190,2,0.27,1,"BP"
"34","GO:0034641","cellular nitrogen compound metabolic pro...",3830,5,5.41,1,"BP"
"35","GO:1901564","organonitrogen compound metabolic proces...",2998,3,4.23,1,"BP"
"36","GO:1901566","organonitrogen compound biosynthetic pro...",1154,2,1.63,1,"BP"
"37","GO:0043207","response to external biotic stimulus",739,3,1.04,1,"BP"
"38","GO:0042221","response to chemical",1782,7,2.52,1,"BP"
