"","GOID","GOTERM","ONTOLOGY","HOGs_with_GO_COUNT","HOGs_with_GO","TOTAL_COUNT.all_GO_ID","TOTAL_COUNT.Freq","Ta_COUNT.Var1","Ta_COUNT.Freq","Os_COUNT.Var1","Os_COUNT.Freq","Ms_COUNT.Var1","Ms_COUNT.Freq","Sb_COUNT.Var1","Sb_COUNT.Freq","Zm_COUNT.Var1","Zm_COUNT.Freq","DEFINITION"
"1","GO:0007165","signal transduction","BP",2,"N0.HOG0012208 N0.HOG0012839","GO:0007165",15,"GO:0007165",2,"GO:0007165",2,"GO:0007165",5,"GO:0007165",2,"GO:0007165",4,"The cellular process in which a signal is conveyed to trigger a change in the activity or state of a cell. Signal transduction begins with reception of a signal (e.g. a ligand binding to a receptor or receptor activation by a stimulus such as light), or for signal transduction in the absence of ligand, signal-withdrawal or the activity of a constitutively active receptor. Signal transduction ends with regulation of a downstream cellular process, e.g. regulation of transcription or regulation of a metabolic process. Signal transduction covers signaling from receptors located on the surface of the cell and signaling via molecules located within the cell. For signaling between cells, signal transduction is restricted to events at and within the receiving cell."
"2","GO:0007178","transmembrane receptor protein serine/threonine kinase signaling pathway","BP",1,"N0.HOG0012208","GO:0007178",7,"GO:0007178",1,"GO:0007178",1,"GO:0007178",2,"GO:0007178",1,"GO:0007178",2,"The series of molecular signals initiated by an extracellular ligand binding to a receptor on the surface of the target cell where the receptor possesses serine/threonine kinase activity, and ending with the regulation of a downstream cellular process, e.g. transcription."
"3","GO:0016310","phosphorylation","BP",3,"N0.HOG0012208 N0.HOG0002789 N0.HOG0013739","GO:0016310",24,"GO:0016310",6,"GO:0016310",3,"GO:0016310",6,"GO:0016310",3,"GO:0016310",6,"The process of introducing a phosphate group into a molecule, usually with the formation of a phosphoric ester, a phosphoric anhydride or a phosphoric amide."
"4","GO:0008283","cell population proliferation","BP",1,"N0.HOG0012839","GO:0008283",8,"GO:0008283",1,"GO:0008283",1,"GO:0008283",3,"GO:0008283",1,"GO:0008283",2,"The multiplication or reproduction of cells, resulting in the expansion of a cell population."
"5","GO:0030154","cell differentiation","BP",1,"N0.HOG0012839","GO:0030154",8,"GO:0030154",1,"GO:0030154",1,"GO:0030154",3,"GO:0030154",1,"GO:0030154",2,"The cellular developmental process in which a relatively unspecialized cell, e.g. embryonic or regenerative cell, acquires specialized structural and/or functional features that characterize a specific cell. Differentiation includes the processes involved in commitment of a cell to a specific fate and its subsequent development to the mature state."
"6","GO:0006952","defense response","BP",2,"N0.HOG0002005 N0.HOG0002789","GO:0006952",17,"GO:0006952",5,"GO:0006952",2,"GO:0006952",4,"GO:0006952",2,"GO:0006952",4,"Reactions, triggered in response to the presence of a foreign body or the occurrence of an injury, which result in restriction of damage to the organism attacked or prevention/recovery from the infection caused by the attack."
"7","GO:0009742","brassinosteroid mediated signaling pathway","BP",1,"N0.HOG0002789","GO:0009742",8,"GO:0009742",2,"GO:0009742",1,"GO:0009742",2,"GO:0009742",1,"GO:0009742",2,"The series of molecular signals mediated by the detection of brassinosteroid."
"8","GO:0045087","innate immune response","BP",1,"N0.HOG0002789","GO:0045087",8,"GO:0045087",2,"GO:0045087",1,"GO:0045087",2,"GO:0045087",1,"GO:0045087",2,"Innate immune responses are defense responses mediated by germline encoded components that directly recognize components of potential pathogens."
"9","GO:0050832","defense response to fungus","BP",1,"N0.HOG0002789","GO:0050832",8,"GO:0050832",2,"GO:0050832",1,"GO:0050832",2,"GO:0050832",1,"GO:0050832",2,"Reactions triggered in response to the presence of a fungus that act to protect the cell or organism."
"10","GO:0006355","regulation of DNA-templated transcription","BP",4,"N0.HOG0002005 N0.HOG0015040 N0.HOG0009749 N0.HOG0009290","GO:0006355",35,"GO:0006355",11,"GO:0006355",4,"GO:0006355",8,"GO:0006355",4,"GO:0006355",8,"Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"11","GO:0006357","regulation of transcription by RNA polymerase II","BP",1,"N0.HOG0009749","GO:0006357",9,"GO:0006357",3,"GO:0006357",1,"GO:0006357",2,"GO:0006357",1,"GO:0006357",2,"Any process that modulates the frequency, rate or extent of transcription mediated by RNA polymerase II."
"12","GO:0009734","auxin-activated signaling pathway","BP",2,"N0.HOG0009733 N0.HOG0011483","GO:0009734",17,"GO:0009734",6,"GO:0009734",2,"GO:0009734",2,"GO:0009734",2,"GO:0009734",5,"The series of molecular signals generated by the binding of the plant hormone auxin to a receptor, and ending with modulation of a downstream cellular process, e.g. transcription."
"13","GO:0071555","cell wall organization","BP",1,"N0.HOG0004368","GO:0071555",12,"GO:0071555",3,"GO:0071555",1,"GO:0071555",4,"GO:0071555",2,"GO:0071555",2,"A process that results in the assembly, arrangement of constituent parts, or disassembly of the cell wall, the rigid or semi-rigid envelope lying outside the cell membrane of plant, fungal and most prokaryotic cells, maintaining their shape and protecting them from osmotic lysis."
"14","GO:0006325","chromatin organization","BP",1,"N0.HOG0001517","GO:0006325",9,"GO:0006325",2,"GO:0006325",1,"GO:0006325",2,"GO:0006325",1,"GO:0006325",3,"The assembly or remodeling of chromatin composed of DNA complexed with histones, other associated proteins, and sometimes RNA."
"15","GO:0010162","seed dormancy process","BP",1,"N0.HOG0001517","GO:0010162",2,"GO:0010162",1,"GO:0010162",1,"GO:0010162",0,"GO:0010162",0,"GO:0010162",0,"A dormancy process in which dormancy (sometimes called a dormant state) is induced, maintained or broken in a seed. Seed dormancy is a suspension of most physiological activity and growth in a seed, including the embryo contained therein, that can be reactivated. It often requires special conditions for reactivation, such as specific temperature, scarification, or leaching of inhibitors."
"16","GO:0009834","plant-type secondary cell wall biogenesis","BP",1,"N0.HOG0015040","GO:0009834",8,"GO:0009834",2,"GO:0009834",1,"GO:0009834",2,"GO:0009834",1,"GO:0009834",2,"A cellular process that results in the biosynthesis of constituent macromolecules, assembly, and arrangement of constituent parts of inextensible cellulose- and pectin-containing cell walls that are formed between the plasma membrane and primary cell wall after cell expansion is complete. An example of this is found in Arabidopsis thaliana."
"17","GO:0010047","fruit dehiscence","BP",1,"N0.HOG0015040","GO:0010047",8,"GO:0010047",2,"GO:0010047",1,"GO:0010047",2,"GO:0010047",1,"GO:0010047",2,"The process leading to the spontaneous opening of the fruit permitting the escape of seeds."
"18","GO:0045893","positive regulation of DNA-templated transcription","BP",1,"N0.HOG0015040","GO:0045893",8,"GO:0045893",2,"GO:0045893",1,"GO:0045893",2,"GO:0045893",1,"GO:0045893",2,"Any process that activates or increases the frequency, rate or extent of cellular DNA-templated transcription."
"19","GO:0045892","negative regulation of DNA-templated transcription","BP",1,"N0.HOG0002005","GO:0045892",9,"GO:0045892",3,"GO:0045892",1,"GO:0045892",2,"GO:0045892",1,"GO:0045892",2,"Any process that stops, prevents, or reduces the frequency, rate or extent of cellular DNA-templated transcription."
"20","GO:0050777","negative regulation of immune response","BP",1,"N0.HOG0002005","GO:0050777",9,"GO:0050777",3,"GO:0050777",1,"GO:0050777",2,"GO:0050777",1,"GO:0050777",2,"Any process that stops, prevents, or reduces the frequency, rate or extent of the immune response, the immunological reaction of an organism to an immunogenic stimulus."
"21","GO:0071219","cellular response to molecule of bacterial origin","BP",1,"N0.HOG0002005","GO:0071219",9,"GO:0071219",3,"GO:0071219",1,"GO:0071219",2,"GO:0071219",1,"GO:0071219",2,"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus by molecules of bacterial origin such as peptides derived from bacterial flagellin."
"22","GO:0005975","carbohydrate metabolic process","BP",1,"N0.HOG0015203","GO:0005975",1,"GO:0005975",1,"GO:0005975",0,"GO:0005975",0,"GO:0005975",0,"GO:0005975",0,"The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y."
