"","x"
"1","N0.HOG0012567"
"2","N0.HOG0012342"
"3","N0.HOG0008767"
"4","N0.HOG0006641"
"5","N0.HOG0003958"
"6","N0.HOG0019683"
"7","N0.HOG0005399"
"8","N0.HOG0012438"
"9","N0.HOG0008853"
"10","N0.HOG0016708"
"11","N0.HOG0016804"
"12","N0.HOG0012933"
"13","N0.HOG0006563"
"14","N0.HOG0016868"
"15","N0.HOG0012255"
"16","N0.HOG0019895"
"17","N0.HOG0012337"
"18","N0.HOG0004740"
"19","N0.HOG0006292"
"20","N0.HOG0014615"
"21","N0.HOG0017557"
"22","N0.HOG0009893"
"23","N0.HOG0009714"
"24","N0.HOG0017920"
"25","N0.HOG0014528"
"26","N0.HOG0017986"
"27","N0.HOG0020511"
"28","N0.HOG0015789"
"29","N0.HOG0015767"
"30","N0.HOG0010844"
"31","N0.HOG0010573"
"32","N0.HOG0010740"
"33","N0.HOG0015557"
"34","N0.HOG0019050"
"35","N0.HOG0005971"
"36","N0.HOG0003819"
"37","N0.HOG0010916"
"38","N0.HOG0008913"
"39","N0.HOG0004036"
"40","N0.HOG0013009"
"41","N0.HOG0012020"
"42","N0.HOG0002781"
"43","N0.HOG0018485"
"44","N0.HOG0010051"
"45","N0.HOG0014968"
"46","N0.HOG0010095"
"47","N0.HOG0020648"
"48","N0.HOG0016443"
"49","N0.HOG0019161"
"50","N0.HOG0004429"
"51","N0.HOG0013436"
"52","N0.HOG0013795"
"53","N0.HOG0002347"
"54","N0.HOG0013693"
"55","N0.HOG0018165"
"56","N0.HOG0006558"
"57","N0.HOG0000491"
"58","N0.HOG0004765"
"59","N0.HOG0001930"
"60","N0.HOG0004079"
"61","N0.HOG0017194"
"62","N0.HOG0019931"
"63","N0.HOG0019953"
"64","N0.HOG0013888"
"65","N0.HOG0006272"
"66","N0.HOG0011398"
"67","N0.HOG0011281"
"68","N0.HOG0007915"
"69","N0.HOG0016145"
"70","N0.HOG0011336"
"71","N0.HOG0002216"
"72","N0.HOG0011399"
"73","N0.HOG0006221"
"74","N0.HOG0016052"
"75","N0.HOG0022199"
"76","N0.HOG0004861"
"77","N0.HOG0001760"
"78","N0.HOG0006908"
"79","N0.HOG0014165"
"80","N0.HOG0009554"
"81","N0.HOG0000950"
"82","N0.HOG0021777"
"83","N0.HOG0011657"
"84","N0.HOG0008725"
"85","N0.HOG0012994"
"86","N0.HOG0013409"
"87","N0.HOG0007071"
"88","N0.HOG0013875"
"89","N0.HOG0014600"
"90","N0.HOG0016109"
