TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	Representative
"GO:0000911"	"cytokinesis by cell plate formation"	1	3.5485122563410356	0.008712856488926366	0.9943739120321408	0.00821801	null
"GO:0005975"	"carbohydrate metabolic process"	1	6.335775531602232	5.3400641443698875	0.9366026159428562	0.15163831	null
"GO:0006013"	"mannose metabolic process"	1	4.312748420929561	0.050640551462936674	0.9316211055970944	0.33438746	null
"GO:0006096"	"glycolytic process"	1	5.267000324328207	0.4557945400484291	0.8058495451850985	0.48590569	null
"GO:0006109"	"regulation of carbohydrate metabolic process"	1	4.759871726408301	0.1417866428237562	0.9470816734848149	0.1515582	null
"GO:0006355"	"regulation of DNA-templated transcription"	3	6.6515463599654785	11.048858347143273	0.9233290044708715	0.38614556	null
"GO:0006412"	"translation"	1	6.250564173903532	4.38869169324396	0.8436745944312076	0.25211911	null
"GO:0006414"	"translational elongation"	1	5.272173587163886	0.46125640425761183	0.8708306531642246	0.69115923	6412
"GO:0006508"	"proteolysis"	1	6.329401134014754	5.2622572267907	0.8978463568371738	0.54133226	6412
"GO:0006629"	"lipid metabolic process"	4	6.41964998343091	6.477701939366011	0.9352545421856103	0.10901633	null
"GO:0006879"	"intracellular iron ion homeostasis"	1	5.233478391931892	0.421936404379863	1	-0	null
"GO:0006950"	"response to stress"	1	6.448313422563495	6.919654498638822	0.8945346792326945	0.4896406	null
"GO:0006952"	"defense response"	1	5.672842911348061	1.1604144588756624	0.8982880972287655	0.45786068	null
"GO:0007155"	"cell adhesion"	1	5.653223129732929	1.1091577223710762	0.9917207501957832	0.01321071	null
"GO:0007517"	"muscle organ development"	1	4.474813372661389	0.07354784657130489	0.8854406117318956	0.40853039	null
"GO:0008150"	"biological_process"	2	7.608228868089044	100	1	-0	null
"GO:0008152"	"metabolic process"	1	7.368635761264388	57.597931274565454	1	-0	null
"GO:0008202"	"steroid metabolic process"	2	5.373590517844789	0.582585703698599	0.8123060199978509	-0	null
"GO:0008203"	"cholesterol metabolic process"	2	4.950739588119758	0.2200421431132646	0.790056955917325	0.45443823	null
"GO:0006694"	"steroid biosynthetic process"	2	5.077970774384052	0.2949431320360321	0.7663586172611211	0.85648652	8203
"GO:0006695"	"cholesterol biosynthetic process"	1	4.53370852323986	0.08423003045334361	0.7769297866924849	0.84610604	8203
"GO:0016126"	"sterol biosynthetic process"	1	4.916459212693559	0.20334106374439187	0.7685722327932507	0.90050232	8203
"GO:0008299"	"isoprenoid biosynthetic process"	1	5.330170175428303	0.527156162091961	0.7666090970461414	0.49264795	null
"GO:0006665"	"sphingolipid metabolic process"	1	5.222752877542226	0.4116436494441469	0.7884326243483816	0.52505877	8299
"GO:0033384"	"geranyl diphosphate biosynthetic process"	1	1.6901960800285136	0.00011830752799673709	0.8324481914726536	0.51748613	8299
"GO:0045337"	"farnesyl diphosphate biosynthetic process"	1	4.023869501388332	0.026037515119948552	0.7769355204939025	0.72426897	8299
"GO:0046513"	"ceramide biosynthetic process"	1	4.694982301079004	0.12210815733363226	0.7717998943068535	0.73090705	8299
"GO:0009611"	"response to wounding"	1	4.827543731327372	0.16569462243976346	0.9123593013600194	0.31137091	null
"GO:0009624"	"response to nematode"	1	2.6522463410033232	0.0011042035946362127	0.9274399796732652	0.34321484	null
"GO:0009793"	"embryo development ending in seed dormancy"	2	3.9238654751855013	0.0206816347379296	0.8483925358219894	-0	null
"GO:0009880"	"embryonic pattern specification"	1	4.16790781000148	0.03627851051216611	0.8649880775785317	0.7816442	9793
"GO:0009942"	"longitudinal axis specification"	1	1.8692317197309762	0.0001799260321617043	0.876223377445945	0.73875377	9793
"GO:0048598"	"embryonic morphogenesis"	1	4.822423087088354	0.16375240718848372	0.8433963850900313	0.75215966	9793
"GO:0048608"	"reproductive structure development"	1	4.752501722247096	0.13940077434248865	0.8564601261567978	0.87110454	9793
"GO:0010015"	"root morphogenesis"	1	3.7375901662857216	0.013467340270295237	0.8560617638199274	0.43918043	null
