"","x"
"1","N0.HOG0008767"
"2","N0.HOG0003958"
"3","N0.HOG0005399"
"4","N0.HOG0008853"
"5","N0.HOG0012933"
"6","N0.HOG0019895"
"7","N0.HOG0009893"
"8","N0.HOG0009714"
"9","N0.HOG0015767"
"10","N0.HOG0010844"
"11","N0.HOG0010740"
"12","N0.HOG0003819"
"13","N0.HOG0008913"
"14","N0.HOG0010051"
"15","N0.HOG0014968"
"16","N0.HOG0010095"
"17","N0.HOG0020648"
"18","N0.HOG0016443"
"19","N0.HOG0018165"
"20","N0.HOG0000491"
"21","N0.HOG0004765"
"22","N0.HOG0001930"
"23","N0.HOG0013888"
"24","N0.HOG0006272"
"25","N0.HOG0011281"
"26","N0.HOG0006221"
"27","N0.HOG0009554"
"28","N0.HOG0008725"
"29","N0.HOG0013409"
"30","N0.HOG0013875"
