"","GO.ID","Term","Annotated","Significant","Expected","weight01","Ontology"
"1","GO:0032509","endosome transport via multivesicular bo...",22,2,0.05,0.0099,"BP"
"2","GO:0008203","cholesterol metabolic process",16,2,0.03,0.0237,"BP"
"3","GO:0006109","regulation of carbohydrate metabolic pro...",51,2,0.11,0.0335,"BP"
"4","GO:0006694","steroid biosynthetic process",56,2,0.12,0.0564,"BP"
"5","GO:0050896","response to stimulus",3767,10,7.83,0.1042,"BP"
"6","GO:0010015","root morphogenesis",157,2,0.33,0.1176,"BP"
"7","GO:0015031","protein transport",592,3,1.23,0.1211,"BP"
"8","GO:0040008","regulation of growth",143,2,0.3,0.1871,"BP"
"9","GO:0009793","embryo development ending in seed dorman...",208,2,0.43,0.3342,"BP"
"10","GO:0016310","phosphorylation",1035,3,2.15,0.3656,"BP"
"11","GO:0007165","signal transduction",1148,4,2.38,0.4006,"BP"
"12","GO:0071555","cell wall organization",366,2,0.76,0.4015,"BP"
"13","GO:0035556","intracellular signal transduction",350,2,0.73,0.4417,"BP"
"14","GO:0006508","proteolysis",690,2,1.43,0.5712,"BP"
"15","GO:0006355","regulation of DNA-templated transcriptio...",1412,3,2.93,0.5752,"BP"
"16","GO:0009888","tissue development",359,2,0.75,1,"BP"
"17","GO:0009889","regulation of biosynthetic process",1830,3,3.8,1,"BP"
"18","GO:0034641","cellular nitrogen compound metabolic pro...",3830,5,7.96,1,"BP"
"19","GO:0042221","response to chemical",1782,3,3.7,1,"BP"
"20","GO:0060918","auxin transport",90,2,0.19,1,"BP"
"21","GO:0046907","intracellular transport",472,2,0.98,1,"BP"
"22","GO:0032879","regulation of localization",112,2,0.23,1,"BP"
"23","GO:0006725","cellular aromatic compound metabolic pro...",3639,3,7.56,1,"BP"
"24","GO:1905392","plant organ morphogenesis",248,2,0.52,1,"BP"
"25","GO:0048608","reproductive structure development",712,2,1.48,1,"BP"
"26","GO:0048518","positive regulation of biological proces...",795,2,1.65,1,"BP"
"27","GO:0048869","cellular developmental process",473,2,0.98,1,"BP"
"28","GO:0071702","organic substance transport",1087,3,2.26,1,"BP"
"29","GO:0090407","organophosphate biosynthetic process",328,2,0.68,1,"BP"
"30","GO:0071704","organic substance metabolic process",7508,15,15.6,1,"BP"
"31","GO:0071705","nitrogen compound transport",863,3,1.79,1,"BP"
"32","GO:0006807","nitrogen compound metabolic process",5762,8,11.97,1,"BP"
"33","GO:0048856","anatomical structure development",1841,4,3.82,1,"BP"
"34","GO:0032501","multicellular organismal process",1715,2,3.56,1,"BP"
"35","GO:0032502","developmental process",1926,4,4,1,"BP"
"36","GO:0008104","protein localization",672,3,1.4,1,"BP"
"37","GO:0031323","regulation of cellular metabolic process",1979,3,4.11,1,"BP"
"38","GO:0022622","root system development",326,2,0.68,1,"BP"
"39","GO:0010817","regulation of hormone levels",180,2,0.37,1,"BP"
"40","GO:2001141","regulation of RNA biosynthetic process",1413,3,2.94,1,"BP"
"41","GO:0010033","response to organic substance",1365,3,2.84,1,"BP"
"42","GO:0031326","regulation of cellular biosynthetic proc...",1819,3,3.78,1,"BP"
"43","GO:0051707","response to other organism",739,2,1.54,1,"BP"
"44","GO:0071554","cell wall organization or biogenesis",487,2,1.01,1,"BP"
"45","GO:0006650","glycerophospholipid metabolic process",131,2,0.27,1,"BP"
"46","GO:0044255","cellular lipid metabolic process",637,4,1.32,1,"BP"
"47","GO:0051641","cellular localization",823,3,1.71,1,"BP"
"48","GO:0019222","regulation of metabolic process",2058,5,4.28,1,"BP"
"49","GO:0044281","small molecule metabolic process",1292,5,2.68,1,"BP"
"50","GO:0032787","monocarboxylic acid metabolic process",396,2,0.82,1,"BP"
"51","GO:0051234","establishment of localization",1961,4,4.07,1,"BP"
"52","GO:0044283","small molecule biosynthetic process",505,2,1.05,1,"BP"
"53","GO:0051649","establishment of localization in cell",514,2,1.07,1,"BP"
"54","GO:0016125","sterol metabolic process",56,2,0.12,1,"BP"
"55","GO:0048364","root development",326,2,0.68,1,"BP"
"56","GO:0071985","multivesicular body sorting pathway",27,2,0.06,1,"BP"
"57","GO:0045229","external encapsulating structure organiz...",393,2,0.82,1,"BP"
"58","GO:0032774","RNA biosynthetic process",1556,3,3.23,1,"BP"
"59","GO:0009725","response to hormone",962,2,2,1,"BP"
"60","GO:0051171","regulation of nitrogen compound metaboli...",1707,3,3.55,1,"BP"
"61","GO:0044271","cellular nitrogen compound biosynthetic ...",2402,5,4.99,1,"BP"
"62","GO:0019219","regulation of nucleobase-containing comp...",1544,3,3.21,1,"BP"
"63","GO:0051179","localization",2042,4,4.24,1,"BP"
"64","GO:0033036","macromolecule localization",823,3,1.71,1,"BP"
"65","GO:0090304","nucleic acid metabolic process",3011,3,6.25,1,"BP"
"66","GO:1901700","response to oxygen-containing compound",979,2,2.03,1,"BP"
"67","GO:1902652","secondary alcohol metabolic process",22,2,0.05,1,"BP"
"68","GO:0009719","response to endogenous stimulus",984,2,2.04,1,"BP"
"69","GO:0006629","lipid metabolic process",887,5,1.84,1,"BP"
"70","GO:0017018","myosin phosphatase activity",109,2,0.25,0.0247,"MF"
"71","GO:0000287","magnesium ion binding",117,2,0.26,0.0282,"MF"
"72","GO:0005506","iron ion binding",207,2,0.47,0.0784,"MF"
"73","GO:0020037","heme binding",241,2,0.54,0.1016,"MF"
"74","GO:0051536","iron-sulfur cluster binding",126,2,0.28,0.1419,"MF"
"75","GO:0046872","metal ion binding",2896,12,6.51,0.142,"MF"
"76","GO:0003676","nucleic acid binding",3033,6,6.82,0.2654,"MF"
"77","GO:0004497","monooxygenase activity",182,2,0.41,0.315,"MF"
"78","GO:0008270","zinc ion binding",578,2,1.3,0.3756,"MF"
"79","GO:0043565","sequence-specific DNA binding",638,2,1.43,0.3913,"MF"
"80","GO:0016705","oxidoreductase activity, acting on paire...",241,2,0.54,0.3987,"MF"
"81","GO:0046983","protein dimerization activity",428,2,0.96,0.4366,"MF"
"82","GO:0004674","protein serine/threonine kinase activity",677,2,1.52,0.4546,"MF"
"83","GO:0003700","DNA-binding transcription factor activit...",853,2,1.92,0.5808,"MF"
"84","GO:0005524","ATP binding",1923,4,4.32,0.6473,"MF"
"85","GO:0003677","DNA binding",1658,3,3.73,0.8916,"MF"
"86","GO:0005515","protein binding",3321,5,7.47,0.9884,"MF"
"87","GO:0003824","catalytic activity",6799,16,15.29,1,"MF"
"88","GO:0016787","hydrolase activity",2402,7,5.4,1,"MF"
"89","GO:0000166","nucleotide binding",2452,4,5.51,1,"MF"
"90","GO:0016788","hydrolase activity, acting on ester bond...",720,4,1.62,1,"MF"
"91","GO:0140096","catalytic activity, acting on a protein",2071,6,4.66,1,"MF"
"92","GO:0005488","binding",8808,23,19.8,1,"MF"
"93","GO:0016772","transferase activity, transferring phosp...",1291,3,2.9,1,"MF"
"94","GO:0016773","phosphotransferase activity, alcohol gro...",973,3,2.19,1,"MF"
"95","GO:0016853","isomerase activity",249,2,0.56,1,"MF"
"96","GO:0046906","tetrapyrrole binding",259,2,0.58,1,"MF"
"97","GO:0016791","phosphatase activity",261,3,0.59,1,"MF"
"98","GO:0030554","adenyl nucleotide binding",2094,4,4.71,1,"MF"
"99","GO:0016491","oxidoreductase activity",1107,2,2.49,1,"MF"
"100","GO:0004672","protein kinase activity",834,2,1.88,1,"MF"
"101","GO:0008289","lipid binding",237,2,0.53,1,"MF"
"102","GO:0003674","molecular_function",12453,28,28,1,"MF"
"103","GO:0097159","organic cyclic compound binding",5487,12,12.34,1,"MF"
"104","GO:0046914","transition metal ion binding",901,4,2.03,1,"MF"
"105","GO:0016740","transferase activity",2963,5,6.66,1,"MF"
"106","GO:0004721","phosphoprotein phosphatase activity",146,2,0.33,1,"MF"
"107","GO:0004722","protein serine/threonine phosphatase act...",111,2,0.25,1,"MF"
"108","GO:0035639","purine ribonucleoside triphosphate bindi...",2113,4,4.75,1,"MF"
"109","GO:0042578","phosphoric ester hydrolase activity",311,3,0.7,1,"MF"
"110","GO:0140110","transcription regulator activity",922,2,2.07,1,"MF"
"111","GO:0097367","carbohydrate derivative binding",2220,4,4.99,1,"MF"
"112","GO:1901265","nucleoside phosphate binding",2452,4,5.51,1,"MF"
"113","GO:0051540","metal cluster binding",126,2,0.28,1,"MF"
"114","GO:1901363","heterocyclic compound binding",5477,12,12.31,1,"MF"
"115","GO:0043167","ion binding",4948,16,11.13,1,"MF"
"116","GO:0043168","anion binding",2528,5,5.68,1,"MF"
"117","GO:0032553","ribonucleotide binding",2189,4,4.92,1,"MF"
"118","GO:0043169","cation binding",2919,12,6.56,1,"MF"
"119","GO:0016301","kinase activity",1129,3,2.54,1,"MF"
"120","GO:0032555","purine ribonucleotide binding",2168,4,4.87,1,"MF"
"121","GO:0017076","purine nucleotide binding",2284,4,5.14,1,"MF"
"122","GO:0032559","adenyl ribonucleotide binding",1978,4,4.45,1,"MF"
"123","GO:0036094","small molecule binding",2619,5,5.89,1,"MF"
"124","GO:0009536","plastid",1660,5,3.05,0.0027,"CC"
"125","GO:0009570","chloroplast stroma",353,2,0.65,0.1363,"CC"
"126","GO:0005789","endoplasmic reticulum membrane",431,2,0.79,0.1868,"CC"
"127","GO:0010008","endosome membrane",144,2,0.26,0.2111,"CC"
"128","GO:0005576","extracellular region",759,2,1.39,0.4106,"CC"
"129","GO:0005737","cytoplasm",6561,15,12.05,0.4633,"CC"
"130","GO:0005794","Golgi apparatus",735,2,1.35,0.4836,"CC"
"131","GO:0005829","cytosol",1191,3,2.19,0.6312,"CC"
"132","GO:0016020","membrane",5592,10,10.27,0.6497,"CC"
"133","GO:0005886","plasma membrane",1656,3,3.04,0.7931,"CC"
"134","GO:0005634","nucleus",3988,5,7.33,0.9012,"CC"
"135","GO:0110165","cellular anatomical entity",12396,23,22.77,1,"CC"
"136","GO:0032991","protein-containing complex",2042,2,3.75,1,"CC"
"137","GO:0098827","endoplasmic reticulum subcompartment",433,2,0.8,1,"CC"
"138","GO:0030659","cytoplasmic vesicle membrane",219,2,0.4,1,"CC"
"139","GO:0005783","endoplasmic reticulum",774,2,1.42,1,"CC"
"140","GO:0031090","organelle membrane",1879,5,3.45,1,"CC"
"141","GO:0009507","chloroplast",1510,2,2.77,1,"CC"
"142","GO:0031982","vesicle",531,2,0.98,1,"CC"
"143","GO:0031984","organelle subcompartment",617,2,1.13,1,"CC"
"144","GO:0030054","cell junction",287,2,0.53,1,"CC"
"145","GO:0042175","nuclear outer membrane-endoplasmic retic...",436,2,0.8,1,"CC"
"146","GO:0071944","cell periphery",1806,3,3.32,1,"CC"
"147","GO:0043231","intracellular membrane-bounded organelle",7864,16,14.45,1,"CC"
"148","GO:0009532","plastid stroma",359,2,0.66,1,"CC"
"149","GO:0031410","cytoplasmic vesicle",495,2,0.91,1,"CC"
"150","GO:0097708","intracellular vesicle",498,2,0.91,1,"CC"
"151","GO:0005575","cellular_component",12519,23,23,1,"CC"
"152","GO:0012505","endomembrane system",1665,5,3.06,1,"CC"
"153","GO:0012506","vesicle membrane",224,2,0.41,1,"CC"
"154","GO:0098588","bounding membrane of organelle",1088,3,2,1,"CC"
"155","GO:0043226","organelle",8311,16,15.27,1,"CC"
"156","GO:0005768","endosome",303,2,0.56,1,"CC"
"157","GO:0043227","membrane-bounded organelle",7900,16,14.51,1,"CC"
"158","GO:0043229","intracellular organelle",8285,16,15.22,1,"CC"
"159","GO:0005622","intracellular anatomical structure",9342,19,17.16,1,"CC"
