"","GOID","GOTERM","ONTOLOGY","HOGs_with_GO_COUNT","HOGs_with_GO","TOTAL_COUNT.all_GO_ID","TOTAL_COUNT.Freq","Ta_COUNT.Var1","Ta_COUNT.Freq","Os_COUNT.Var1","Os_COUNT.Freq","Ms_COUNT.Var1","Ms_COUNT.Freq","Sb_COUNT.Var1","Sb_COUNT.Freq","Zm_COUNT.Var1","Zm_COUNT.Freq","DEFINITION"
"1","GO:0016310","phosphorylation","BP",3,"N0.HOG0013409 N0.HOG0008767 N0.HOG0009714","GO:0016310",26,"GO:0016310",8,"GO:0016310",3,"GO:0016310",5,"GO:0016310",3,"GO:0016310",7,"The process of introducing a phosphate group into a molecule, usually with the formation of a phosphoric ester, a phosphoric anhydride or a phosphoric amide."
"2","GO:0035556","intracellular signal transduction","BP",1,"N0.HOG0008767","GO:0035556",6,"GO:0035556",2,"GO:0035556",0,"GO:0035556",2,"GO:0035556",1,"GO:0035556",1,"The process in which a signal is passed on to downstream components within the cell, which become activated themselves to further propagate the signal and finally trigger a change in the function or state of the cell."
"3","GO:0006879","intracellular iron ion homeostasis","BP",1,"N0.HOG0003958","GO:0006879",13,"GO:0006879",1,"GO:0006879",1,"GO:0006879",2,"GO:0006879",1,"GO:0006879",8,"A homeostatic process involved in the maintenance of a steady state level of iron ions within a cell."
"4","GO:0005975","carbohydrate metabolic process","BP",1,"N0.HOG0005399","GO:0005975",11,"GO:0005975",3,"GO:0005975",1,"GO:0005975",2,"GO:0005975",3,"GO:0005975",2,"The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y."
"5","GO:0006013","mannose metabolic process","BP",1,"N0.HOG0005399","GO:0006013",11,"GO:0006013",3,"GO:0006013",1,"GO:0006013",2,"GO:0006013",3,"GO:0006013",2,"The chemical reactions and pathways involving mannose, the aldohexose manno-hexose, the C-2 epimer of glucose. The D-(+)-form is widely distributed in mannans and hemicelluloses and is of major importance in the core oligosaccharide of N-linked oligosaccharides of glycoproteins."
"6","GO:0008152","metabolic process","BP",1,"N0.HOG0005399","GO:0008152",11,"GO:0008152",3,"GO:0008152",1,"GO:0008152",2,"GO:0008152",3,"GO:0008152",2,"The chemical reactions and pathways, including anabolism and catabolism, by which living organisms transform chemical substances. Metabolic processes typically transform small molecules, but also include macromolecular processes such as DNA repair and replication, and protein synthesis and degradation."
"7","GO:0000911","cytokinesis by cell plate formation","BP",1,"N0.HOG0008853","GO:0000911",9,"GO:0000911",3,"GO:0000911",1,"GO:0000911",2,"GO:0000911",1,"GO:0000911",2,"The process of dividing the cytoplasm of a parent cell where a structure forms in the cytoplasm and grows until reaching the plasma membrane, thereby completely separating the cytoplasms of adjacent progeny cells. An example of this is found in Arabidopsis thaliana."
"8","GO:0001736","establishment of planar polarity","BP",1,"N0.HOG0008853","GO:0001736",9,"GO:0001736",3,"GO:0001736",1,"GO:0001736",2,"GO:0001736",1,"GO:0001736",2,"Coordinated organization of groups of cells in the plane of an epithelium, such that they all orient to similar coordinates."
"9","GO:0006897","endocytosis","BP",1,"N0.HOG0008853","GO:0006897",9,"GO:0006897",3,"GO:0006897",1,"GO:0006897",2,"GO:0006897",1,"GO:0006897",2,"A vesicle-mediated transport process in which cells take up external materials or membrane constituents by the invagination of a part of the plasma membrane to form a new membrane-bounded vesicle."
"10","GO:0007155","cell adhesion","BP",1,"N0.HOG0008853","GO:0007155",9,"GO:0007155",3,"GO:0007155",1,"GO:0007155",2,"GO:0007155",1,"GO:0007155",2,"The attachment of a cell, either to another cell or to an underlying substrate such as the extracellular matrix, via cell adhesion molecules."
