"","x"
"1","N0.HOG0011633"
"2","N0.HOG0019298"
"3","N0.HOG0019332"
"4","N0.HOG0011639"
"5","N0.HOG0011635"
"6","N0.HOG0011614"
"7","N0.HOG0015655"
"8","N0.HOG0011596"
"9","N0.HOG0019296"
"10","N0.HOG0011640"
"11","N0.HOG0016132"
"12","N0.HOG0019316"
"13","N0.HOG0015468"
"14","N0.HOG0019565"
"15","N0.HOG0019553"
"16","N0.HOG0016924"
"17","N0.HOG0016667"
"18","N0.HOG0006585"
"19","N0.HOG0012484"
"20","N0.HOG0016517"
"21","N0.HOG0012631"
"22","N0.HOG0008842"
"23","N0.HOG0021651"
"24","N0.HOG0012286"
"25","N0.HOG0012648"
"26","N0.HOG0008741"
"27","N0.HOG0016699"
"28","N0.HOG0008833"
"29","N0.HOG0002805"
"30","N0.HOG0012300"
"31","N0.HOG0004704"
"32","N0.HOG0016874"
"33","N0.HOG0003966"
"34","N0.HOG0008544"
"35","N0.HOG0019631"
"36","N0.HOG0012946"
"37","N0.HOG0008722"
"38","N0.HOG0003468"
"39","N0.HOG0002858"
"40","N0.HOG0003398"
"41","N0.HOG0004030"
"42","N0.HOG0008744"
"43","N0.HOG0012666"
"44","N0.HOG0002430"
"45","N0.HOG0016508"
"46","N0.HOG0007319"
"47","N0.HOG0019628"
"48","N0.HOG0012517"
"49","N0.HOG0005413"
"50","N0.HOG0012357"
"51","N0.HOG0003467"
"52","N0.HOG0002413"
"53","N0.HOG0006504"
"54","N0.HOG0012604"
"55","N0.HOG0008706"
"56","N0.HOG0008749"
"57","N0.HOG0019593"
"58","N0.HOG0012291"
"59","N0.HOG0019682"
"60","N0.HOG0012499"
"61","N0.HOG0016749"
"62","N0.HOG0012658"
"63","N0.HOG0012447"
"64","N0.HOG0016549"
"65","N0.HOG0012971"
"66","N0.HOG0012967"
"67","N0.HOG0006576"
"68","N0.HOG0021745"
"69","N0.HOG0002869"
"70","N0.HOG0008554"
"71","N0.HOG0012542"
"72","N0.HOG0000904"
"73","N0.HOG0012335"
"74","N0.HOG0005388"
"75","N0.HOG0019543"
"76","N0.HOG0003427"
"77","N0.HOG0005453"
"78","N0.HOG0016662"
"79","N0.HOG0012832"
