"","GO.ID","Term","Annotated","Significant","Expected","weight01","Ontology"
"1","GO:1900425","negative regulation of defense response ...",12,7,1.39,0.00013,"BP"
"2","GO:0006097","glyoxylate cycle",9,6,1.05,0.00015,"BP"
"3","GO:0006572","tyrosine catabolic process",7,5,0.81,0.00036,"BP"
"4","GO:0015970","guanosine tetraphosphate biosynthetic pr...",3,3,0.35,0.00157,"BP"
"5","GO:0006414","translational elongation",45,13,5.23,0.0019,"BP"
"6","GO:0007623","circadian rhythm",87,24,10.11,0.00269,"BP"
"7","GO:0010196","nonphotochemical quenching",14,6,1.63,0.0032,"BP"
"8","GO:0003333","amino acid transmembrane transport",31,10,3.6,0.00431,"BP"
"9","GO:2000030","regulation of response to red or far red...",32,8,3.72,0.0057,"BP"
"10","GO:0010230","alternative respiration",4,3,0.46,0.00573,"BP"
"11","GO:0010960","magnesium ion homeostasis",4,3,0.46,0.00573,"BP"
"12","GO:0006108","malate metabolic process",16,6,1.86,0.00696,"BP"
"13","GO:0000302","response to reactive oxygen species",82,20,9.53,0.00848,"BP"
"14","GO:0061615","glycolytic process through fructose-6-ph...",8,4,0.93,0.00865,"BP"
"15","GO:0010343","singlet oxygen-mediated programmed cell ...",8,4,0.93,0.00865,"BP"
"16","GO:0009651","response to salt stress",259,43,30.11,0.00879,"BP"
"17","GO:1900150","regulation of defense response to fungus",49,12,5.7,0.00889,"BP"
"18","GO:0006631","fatty acid metabolic process",219,34,25.46,0.00939,"BP"
"19","GO:0034599","cellular response to oxidative stress",59,15,6.86,0.01075,"BP"
"20","GO:0008643","carbohydrate transport",106,19,12.32,0.01211,"BP"
"21","GO:1902584","positive regulation of response to water...",23,7,2.67,0.0129,"BP"
"22","GO:0006552","leucine catabolic process",5,3,0.58,0.01308,"BP"
"23","GO:0080006","internode patterning",5,3,0.58,0.01308,"BP"
"24","GO:0010190","cytochrome b6f complex assembly",5,3,0.58,0.01308,"BP"
"25","GO:0033388","putrescine biosynthetic process from arg...",3,3,0.35,0.01349,"BP"
"26","GO:0010731","protein glutathionylation",2,2,0.23,0.0135,"BP"
"27","GO:0006426","glycyl-tRNA aminoacylation",2,2,0.23,0.0135,"BP"
"28","GO:0009234","menaquinone biosynthetic process",2,2,0.23,0.0135,"BP"
"29","GO:0010077","maintenance of inflorescence meristem id...",2,2,0.23,0.0135,"BP"
"30","GO:0042732","D-xylose metabolic process",9,4,1.05,0.01415,"BP"
"31","GO:0010102","lateral root morphogenesis",43,5,5,0.01425,"BP"
"32","GO:0009409","response to cold",173,29,20.11,0.01458,"BP"
"33","GO:0042631","cellular response to water deprivation",24,7,2.79,0.01642,"BP"
"34","GO:0006526","arginine biosynthetic process",14,5,1.63,0.01714,"BP"
"35","GO:0071421","manganese ion transmembrane transport",19,6,2.21,0.01739,"BP"
"36","GO:0016192","vesicle-mediated transport",402,45,46.73,0.01739,"BP"
"37","GO:0009617","response to bacterium",285,46,33.13,0.01869,"BP"
"38","GO:0071472","cellular response to salt stress",18,6,2.09,0.02325,"BP"
"39","GO:0007165","signal transduction",1148,148,133.45,0.02353,"BP"
"40","GO:1901371","regulation of leaf morphogenesis",6,3,0.7,0.02391,"BP"
"41","GO:0015783","GDP-fucose transmembrane transport",6,3,0.7,0.02391,"BP"
"42","GO:0033320","UDP-D-xylose biosynthetic process",6,3,0.7,0.02391,"BP"
"43","GO:0046835","carbohydrate phosphorylation",26,7,3.02,0.02541,"BP"
"44","GO:0090333","regulation of stomatal closure",26,7,3.02,0.02541,"BP"
"45","GO:0010027","thylakoid membrane organization",26,7,3.02,0.02541,"BP"
"46","GO:0019722","calcium-mediated signaling",21,6,2.44,0.02843,"BP"
"47","GO:0019432","triglyceride biosynthetic process",13,5,1.51,0.0306,"BP"
"48","GO:0032922","circadian regulation of gene expression",11,4,1.28,0.03065,"BP"
"49","GO:0006098","pentose-phosphate shunt",22,6,2.56,0.03069,"BP"
"50","GO:0042255","ribosome assembly",22,6,2.56,0.03729,"BP"
"51","GO:0061727","methylglyoxal catabolic process to lacta...",9,3,1.05,0.03736,"BP"
"52","GO:1990559","mitochondrial coenzyme A transmembrane t...",3,2,0.35,0.03738,"BP"
"53","GO:0019676","ammonia assimilation cycle",3,2,0.35,0.03738,"BP"
"54","GO:0080119","ER body organization",3,2,0.35,0.03738,"BP"
"55","GO:0046373","L-arabinose metabolic process",3,2,0.35,0.03738,"BP"
"56","GO:0010508","positive regulation of autophagy",3,2,0.35,0.03738,"BP"
"57","GO:0006122","mitochondrial electron transport, ubiqui...",3,2,0.35,0.03738,"BP"
"58","GO:0006107","oxaloacetate metabolic process",3,2,0.35,0.03738,"BP"
"59","GO:0033355","ascorbate glutathione cycle",3,2,0.35,0.03738,"BP"
