TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	Representative
"GO:0000373"	"Group II intron splicing"	2	3.581722159949099	0.009405448475740597	0.8857069838859444	0.17872097	null
"GO:0001682"	"tRNA 5'-leader removal"	1	4.410321617730682	0.06339804656525148	0.8647796286525959	0.56532763	373
"GO:0006388"	"tRNA splicing, via endonucleolytic cleavage and ligation"	1	4.364156856122531	0.05700451057309449	0.864638598135199	0.54787406	373
"GO:0002926"	"tRNA wobble base 5-methoxycarbonylmethyl-2-thiouridinylation"	1	3.7831886910752575	0.014958508071087444	0.8719000511074585	0.40302693	null
"GO:0005975"	"carbohydrate metabolic process"	8	6.335775531602232	5.3400641443698875	0.938475339077507	0.15163831	null
"GO:0005985"	"sucrose metabolic process"	1	4.526830166234526	0.0829064649838801	0.9378623204198039	0.43492456	null
"GO:0005986"	"sucrose biosynthetic process"	1	4.017659274283765	0.02566780409495875	0.9163157360042081	0.80568273	5985
"GO:0006002"	"fructose 6-phosphate metabolic process"	1	4.645991784453663	0.10908200555315818	0.9162879551515956	0.41634329	null
"GO:0006108"	"malate metabolic process"	3	4.506396783530457	0.07909597668631853	0.9076858446580361	0.40337462	null
"GO:0006107"	"oxaloacetate metabolic process"	2	4.402622427748527	0.06228398400994887	0.9092257645809884	0.59061727	6108
"GO:0033611"	"oxalate catabolic process"	1	3.4404367661057735	0.006792823899145988	0.8987508702534575	0.51243538	6108
"GO:0006111"	"regulation of gluconeogenesis"	1	3.9934362304976116	0.02427522590083049	0.9428039972514977	0.27139997	null
"GO:0006139"	"nucleobase-containing compound metabolic process"	2	6.883016611277716	18.82728500884891	0.8598648721274008	0.31102513	null
"GO:0018130"	"heterocycle biosynthetic process"	1	6.526115221884509	8.277253100322714	0.8671958033660607	0.58117122	6139
"GO:0044271"	"cellular nitrogen compound biosynthetic process"	1	6.72073425943514	12.957025677761646	0.8633324646692329	0.565405	6139
"GO:1901362"	"organic cyclic compound biosynthetic process"	1	6.566525049392804	9.084396351119786	0.874336809178921	0.56083619	6139
"GO:0006221"	"pyrimidine nucleotide biosynthetic process"	2	5.31591998955427	0.5101395959817636	0.8177561276725704	0.39188311	null
"GO:0006164"	"purine nucleotide biosynthetic process"	1	5.872932062986442	1.8395119932777662	0.7971018396605893	0.76496512	6221
"GO:0006177"	"GMP biosynthetic process"	1	4.622949316824264	0.10344514479214699	0.835432061650648	0.670789	6221
"GO:0006207"	"'de novo' pyrimidine nucleobase biosynthetic process"	1	4.868356380372973	0.1820210613033132	0.8499758644505071	0.83519303	6221
"GO:0006747"	"FAD biosynthetic process"	1	4.091631790626808	0.030434611577160615	0.8527876407968995	0.53038561	6221
"GO:0015966"	"diadenosine tetraphosphate biosynthetic process"	1	4.063258279950456	0.028509649507047038	0.8583277514145597	0.52780735	6221
"GO:0044205"	"'de novo' UMP biosynthetic process"	1	4.840319423735426	0.17064135595412705	0.82810227529767	0.87858733	6221
"GO:0044210"	"'de novo' CTP biosynthetic process"	1	4.344706581266698	0.05450772878433001	0.8405618690797443	0.80021036	6221
