"","GO.ID","Term","Annotated","Significant","Expected","weight01","Ontology"
"1","GO:0009908","flower development",35,16,10.93,0.00078,"BP"
"2","GO:0009585","red, far-red light phototransduction",4,4,1.25,0.00943,"BP"
"3","GO:2000024","regulation of leaf development",3,3,0.94,0.03033,"BP"
"4","GO:0071244","cellular response to carbon dioxide",3,3,0.94,0.03033,"BP"
"5","GO:0034976","response to endoplasmic reticulum stress",9,6,2.81,0.03522,"BP"
"6","GO:0006457","protein folding",28,15,8.75,0.04016,"BP"
"7","GO:0009733","response to auxin",29,12,9.06,0.06729,"BP"
"8","GO:0006325","chromatin organization",26,12,8.12,0.07918,"BP"
"9","GO:0031146","SCF-dependent proteasomal ubiquitin-depe...",6,4,1.87,0.08028,"BP"
"10","GO:0006355","regulation of DNA-templated transcriptio...",124,49,38.73,0.089,"BP"
"11","GO:0046777","protein autophosphorylation",11,6,3.44,0.0922,"BP"
"12","GO:0010343","singlet oxygen-mediated programmed cell ...",4,3,1.25,0.09305,"BP"
"13","GO:2000028","regulation of photoperiodism, flowering",7,6,2.19,0.09633,"BP"
"14","GO:0048229","gametophyte development",21,8,6.56,0.09739,"BP"
"15","GO:0009880","embryonic pattern specification",5,3,1.56,0.09739,"BP"
"16","GO:0009944","polarity specification of adaxial/abaxia...",2,2,0.62,0.09742,"BP"
"17","GO:0009877","nodulation",2,2,0.62,0.09742,"BP"
"18","GO:0030042","actin filament depolymerization",2,2,0.62,0.09742,"BP"
"19","GO:0008285","negative regulation of cell population p...",2,2,0.62,0.09742,"BP"
"20","GO:0042026","protein refolding",2,2,0.62,0.09742,"BP"
"21","GO:0006621","protein retention in ER lumen",2,2,0.62,0.09742,"BP"
"22","GO:1900426","positive regulation of defense response ...",2,2,0.62,0.09742,"BP"
"23","GO:0010077","maintenance of inflorescence meristem id...",2,2,0.62,0.09742,"BP"
"24","GO:0042761","very long-chain fatty acid biosynthetic ...",2,2,0.62,0.09742,"BP"
"25","GO:0010218","response to far red light",2,2,0.62,0.09742,"BP"
"26","GO:0006107","oxaloacetate metabolic process",2,2,0.62,0.09742,"BP"
"27","GO:1902476","chloride transmembrane transport",2,2,0.62,0.09742,"BP"
"28","GO:0006284","base-excision repair",2,2,0.62,0.09742,"BP"
"29","GO:0080119","ER body organization",2,2,0.62,0.09742,"BP"
"30","GO:0048262","determination of dorsal/ventral asymmetr...",2,2,0.62,0.09742,"BP"
"31","GO:0060918","auxin transport",9,4,2.81,0.0975,"BP"
"32","GO:0006413","translational initiation",14,8,4.37,0.11257,"BP"
"33","GO:0016042","lipid catabolic process",17,7,5.31,0.11443,"BP"
"34","GO:0010468","regulation of gene expression",162,66,50.6,0.12729,"BP"
"35","GO:0007165","signal transduction",148,51,46.23,0.1339,"BP"
"36","GO:0090333","regulation of stomatal closure",7,4,2.19,0.14207,"BP"
"37","GO:0016567","protein ubiquitination",59,23,18.43,0.15977,"BP"
"38","GO:0009058","biosynthetic process",511,188,159.62,0.16238,"BP"
"39","GO:0045892","negative regulation of DNA-templated tra...",13,7,4.06,0.17009,"BP"
"40","GO:2000030","regulation of response to red or far red...",8,5,2.5,0.17839,"BP"
"41","GO:0051607","defense response to virus",5,3,1.56,0.17945,"BP"
"42","GO:0016036","cellular response to phosphate starvatio...",5,3,1.56,0.17945,"BP"
"43","GO:0015031","protein transport",68,22,21.24,0.20554,"BP"
"44","GO:0000398","mRNA splicing, via spliceosome",12,7,3.75,0.21418,"BP"
"45","GO:0006351","DNA-templated transcription",134,53,41.86,0.22139,"BP"
"46","GO:0006888","endoplasmic reticulum to Golgi vesicle-m...",4,3,1.25,0.23095,"BP"
"47","GO:0030148","sphingolipid biosynthetic process",4,3,1.25,0.23095,"BP"
"48","GO:0048586","regulation of long-day photoperiodism, f...",4,3,1.25,0.23095,"BP"
"49","GO:0080001","mucilage extrusion from seed coat",3,2,0.94,0.23159,"BP"
"50","GO:0080006","internode patterning",3,2,0.94,0.23159,"BP"
"51","GO:0009934","regulation of meristem structural organi...",3,2,0.94,0.23159,"BP"
"52","GO:0001732","formation of cytoplasmic translation ini...",3,2,0.94,0.23159,"BP"
"53","GO:0010114","response to red light",3,2,0.94,0.23159,"BP"
"54","GO:0031408","oxylipin biosynthetic process",3,2,0.94,0.23159,"BP"
"55","GO:0010075","regulation of meristem growth",3,2,0.94,0.23159,"BP"
"56","GO:0007030","Golgi organization",3,2,0.94,0.23159,"BP"
