"","x"
"1","Misin01G005100"
"2","Misin16G032200"
"3","Os03g0851100"
"4","SORBI_3001G011000"
"5","TraesCS4A02G330400"
"6","Zm00001eb064580"
"7","Zm00001eb210740"
"8","Zm00001eb313420"
"9","Misin01G008300"
"10","Misin16G019900"
"11","Os02g0127000"
"12","SORBI_3001G014800"
"13","SORBI_3004G169501"
"14","TraesCSU02G017600"
"15","Zm00001eb064390"
"16","Zm00001eb210860"
"17","Misin01G020300"
"18","Os03g0833600"
"19","SORBI_3001G026700"
"20","TraesCS4A02G358500"
"21","TraesCS5B02G513000"
"22","TraesCS5D02G513400"
"23","Zm00001eb063380"
"24","Zm00001eb211360"
"25","Misin01G020900"
"26","Misin02G001600"
"27","Os03g0827700"
"28","SORBI_3001G028100"
"29","TraesCS5B02G504900"
"30","Zm00001eb063300"
"31","Zm00001eb211400"
"32","Misin01G021100"
"33","Misin02G001500"
"34","Os03g0827600"
"35","SORBI_3001G028400"
"36","TraesCS5B02G505200"
"37","TraesCS5D02G505900"
"38","Zm00001eb063290"
"39","Zm00001eb211390"
"40","Misin01G023900"
"41","Misin02G016600"
"42","Os03g0824200"
"43","SORBI_3001G031200"
"44","TraesCS5A02G486400"
"45","TraesCS5B02G500200"
"46","TraesCS5D02G500400"
"47","Zm00001eb211470"
"48","Zm00001eb356470"
"49","Misin01G026400"
"50","Misin02G012900"
"51","Os03g0820600"
"52","SORBI_3001G034700"
"53","TraesCS5A02G478900"
"54","TraesCS5D02G492400"
"55","Zm00001eb062600"
"56","Zm00001eb211740"
"57","Misin01G032300"
"58","Misin02G018700"
"59","Os04g0423700"
"60","SORBI_3001G040300"
"61","TraesCS2B02G317300"
"62","TraesCS2D02G299800"
"63","Zm00001eb062160"
"64","Zm00001eb440740"
"65","Misin01G051600"
"66","Misin02G035500"
"67","Os03g0795100"
"68","SORBI_3001G058500"
"69","TraesCS5A02G435800"
"70","TraesCS5B02G439000"
"71","TraesCS5D02G443500"
"72","Zm00001eb060590"
"73","Zm00001eb213050"
"74","Misin01G053000"
"75","Misin02G037000"
"76","Misin03G042300"
"77","Misin04G049800"
"78","Os03g0793600"
"79","Os07g0175900"
"80","SORBI_3001G059900"
"81","SORBI_3002G050500"
"82","TraesCS5A02G432000"
"83","TraesCS5B02G434000"
"84","TraesCS5D02G439900"
"85","Zm00001eb060440"
"86","Zm00001eb213120"
"87","Zm00001eb301160"
"88","Zm00001eb442820"
"89","Misin01G053800"
"90","Os03g0792500"
"91","SORBI_3001G061700"
"92","TraesCS5A02G429400"
"93","Zm00001eb060340"
"94","Zm00001eb213160"
"95","Misin01G055900"
"96","Misin02G040700"
"97","Misin03G001600"
"98","Misin03G009500"
"99","Os03g0788800"
"100","SORBI_3001G063400"
"101","SORBI_3002G040600"
"102","TraesCS2A02G248400"
"103","TraesCS2B02G268800"
"104","TraesCS2D02G250100"
"105","Zm00001eb117350"
"106","Zm00001eb213250"
"107","Zm00001eb265170"
"108","Misin01G058600"
"109","Misin02G042100"
"110","Os03g0785800"
"111","SORBI_3001G066100"
"112","TraesCS5A02G423900"
"113","TraesCS5B02G426200"
"114","TraesCS5D02G432500"
"115","Zm00001eb059920"
"116","Zm00001eb213430"
"117","Misin01G063800"
"118","MisinT513000"
"119","Os03g0758600"
"120","SORBI_3001G083400"
"121","TraesCS5A02G396500"
"122","TraesCS5B02G401400"
"123","TraesCS5D02G406000"
"124","Zm00001eb057910"
"125","Zm00001eb214520"
"126","Misin01G073200"
"127","Misin02G051500"
"128","Os03g0773700"
"129","SORBI_3001G074000"
"130","TraesCS5D02G417400"
"131","Zm00001eb059050"
"132","Zm00001eb213770"
"133","Misin01G076200"
"134","Misin02G047100"
"135","Os03g0780500"
"136","SORBI_3001G069900"
"137","SORBI_3002G029600"
"138","TraesCS5A02G416300"
"139","TraesCS5B02G418600"
"140","TraesCS5D02G424000"
"141","Zm00001eb057300"
"142","Zm00001eb059650"
"143","Misin01G080800"
"144","Misin02G073700"
"145","Os03g0742800"
"146","SORBI_3001G094900"
"147","TraesCS5A02G382500"
"148","TraesCS5B02G386700"
"149","TraesCS5D02G391900"
"150","Zm00001eb056860"
"151","Zm00001eb215130"
"152","Misin01G081500"
"153","Misin02G073200"
