"","x"
"1","N0.HOG0011614"
"2","N0.HOG0011596"
"3","N0.HOG0012484"
"4","N0.HOG0016517"
"5","N0.HOG0012631"
"6","N0.HOG0008842"
"7","N0.HOG0012286"
"8","N0.HOG0002805"
"9","N0.HOG0008722"
"10","N0.HOG0002858"
"11","N0.HOG0003398"
"12","N0.HOG0004030"
"13","N0.HOG0008744"
"14","N0.HOG0007319"
"15","N0.HOG0003467"
"16","N0.HOG0006504"
"17","N0.HOG0008706"
"18","N0.HOG0008749"
"19","N0.HOG0012658"
"20","N0.HOG0006576"
"21","N0.HOG0002869"
"22","N0.HOG0008554"
"23","N0.HOG0003427"
"24","N0.HOG0005453"
"25","N0.HOG0012832"
"26","N0.HOG0016701"
"27","N0.HOG0002056"
"28","N0.HOG0016813"
"29","N0.HOG0004013"
"30","N0.HOG0008573"
"31","N0.HOG0012916"
"32","N0.HOG0002890"
"33","N0.HOG0008489"
"34","N0.HOG0012197"
"35","N0.HOG0008830"
"36","N0.HOG0016612"
"37","N0.HOG0003414"
"38","N0.HOG0016642"
"39","N0.HOG0008595"
"40","N0.HOG0005386"
"41","N0.HOG0008828"
"42","N0.HOG0012641"
"43","N0.HOG0002879"
"44","N0.HOG0008814"
"45","N0.HOG0016719"
"46","N0.HOG0012378"
"47","N0.HOG0016654"
"48","N0.HOG0012562"
"49","N0.HOG0008798"
"50","N0.HOG0003448"
"51","N0.HOG0006632"
"52","N0.HOG0008874"
"53","N0.HOG0006580"
"54","N0.HOG0008809"
"55","N0.HOG0012239"
"56","N0.HOG0008783"
"57","N0.HOG0016539"
"58","N0.HOG0012718"
"59","N0.HOG0012429"
"60","N0.HOG0002868"
"61","N0.HOG0006598"
"62","N0.HOG0012729"
"63","N0.HOG0008765"
"64","N0.HOG0008549"
"65","N0.HOG0012569"
"66","N0.HOG0002077"
"67","N0.HOG0008509"
"68","N0.HOG0008561"
"69","N0.HOG0016797"
"70","N0.HOG0008883"
"71","N0.HOG0008797"
"72","N0.HOG0016197"
"73","N0.HOG0008751"
"74","N0.HOG0008676"
"75","N0.HOG0008560"
"76","N0.HOG0000900"
"77","N0.HOG0008589"
"78","N0.HOG0008450"
"79","N0.HOG0016476"
"80","N0.HOG0002038"
"81","N0.HOG0001793"
"82","N0.HOG0016573"
"83","N0.HOG0002423"
"84","N0.HOG0003988"
"85","N0.HOG0008688"
"86","N0.HOG0012772"
"87","N0.HOG0013177"
"88","N0.HOG0003441"
"89","N0.HOG0004686"
"90","N0.HOG0001502"
"91","N0.HOG0008110"
"92","N0.HOG0013179"
"93","N0.HOG0000342"
"94","N0.HOG0012588"
"95","N0.HOG0005513"
"96","N0.HOG0013171"
"97","N0.HOG0016616"
"98","N0.HOG0006716"
"99","N0.HOG0012209"
"100","N0.HOG0008805"
"101","N0.HOG0005730"
"102","N0.HOG0009821"
"103","N0.HOG0001801"
"104","N0.HOG0009662"
"105","N0.HOG0017994"
"106","N0.HOG0002410"
"107","N0.HOG0004931"
"108","N0.HOG0004512"
"109","N0.HOG0002428"
"110","N0.HOG0009718"
"111","N0.HOG0009812"
"112","N0.HOG0009715"
"113","N0.HOG0004914"
"114","N0.HOG0000908"
"115","N0.HOG0009890"
"116","N0.HOG0014466"
"117","N0.HOG0009782"
"118","N0.HOG0014455"
"119","N0.HOG0009909"
"120","N0.HOG0009880"
"121","N0.HOG0009808"
"122","N0.HOG0020330"
"123","N0.HOG0005709"
"124","N0.HOG0009891"
"125","N0.HOG0002131"
"126","N0.HOG0009773"
"127","N0.HOG0017965"
"128","N0.HOG0009790"
"129","N0.HOG0003029"
"130","N0.HOG0014599"
"131","N0.HOG0009873"
"132","N0.HOG0017921"
"133","N0.HOG0005736"
"134","N0.HOG0004908"
"135","N0.HOG0009809"
"136","N0.HOG0009666"
"137","N0.HOG0017894"
"138","N0.HOG0009842"
"139","N0.HOG0009878"
"140","N0.HOG0009876"
"141","N0.HOG0004915"
"142","N0.HOG0003607"
"143","N0.HOG0003461"
"144","N0.HOG0014594"
"145","N0.HOG0007032"
"146","N0.HOG0014285"
"147","N0.HOG0017900"
"148","N0.HOG0009716"
"149","N0.HOG0009649"
"150","N0.HOG0014903"
"151","N0.HOG0004224"
"152","N0.HOG0009982"
"153","N0.HOG0005460"
"154","N0.HOG0009968"
"155","N0.HOG0002605"
"156","N0.HOG0018279"
"157","N0.HOG0015444"
"158","N0.HOG0002860"
"159","N0.HOG0014870"
"160","N0.HOG0018285"
"161","N0.HOG0020512"
"162","N0.HOG0007508"
"163","N0.HOG0002207"
"164","N0.HOG0010548"
"165","N0.HOG0005093"
"166","N0.HOG0015683"
"167","N0.HOG0000362"
"168","N0.HOG0010421"
"169","N0.HOG0003186"
"170","N0.HOG0007644"
"171","N0.HOG0010638"
"172","N0.HOG0005111"
"173","N0.HOG0007584"
"174","N0.HOG0007491"
"175","N0.HOG0015556"
"176","N0.HOG0015670"
"177","N0.HOG0007510"
"178","N0.HOG0010774"
"179","N0.HOG0007579"
"180","N0.HOG0010731"
"181","N0.HOG0007518"
"182","N0.HOG0005167"
"183","N0.HOG0010869"
"184","N0.HOG0007680"
"185","N0.HOG0015752"
"186","N0.HOG0006045"
"187","N0.HOG0002654"
"188","N0.HOG0015661"
"189","N0.HOG0003751"
"190","N0.HOG0010586"
"191","N0.HOG0015564"
"192","N0.HOG0007417"
"193","N0.HOG0007619"
"194","N0.HOG0007732"
"195","N0.HOG0015822"
"196","N0.HOG0006020"
"197","N0.HOG0007410"
"198","N0.HOG0015580"
"199","N0.HOG0007765"
"200","N0.HOG0006111"
"201","N0.HOG0005157"
"202","N0.HOG0002278"
"203","N0.HOG0007314"
"204","N0.HOG0010724"
"205","N0.HOG0001118"
"206","N0.HOG0007532"
"207","N0.HOG0002247"
"208","N0.HOG0003137"
"209","N0.HOG0007698"
"210","N0.HOG0006036"
"211","N0.HOG0007419"
"212","N0.HOG0007433"
"213","N0.HOG0007659"
"214","N0.HOG0010797"
"215","N0.HOG0007495"
"216","N0.HOG0007551"
"217","N0.HOG0015499"
"218","N0.HOG0003138"
"219","N0.HOG0007431"
"220","N0.HOG0007742"
"221","N0.HOG0005952"
"222","N0.HOG0010554"
"223","N0.HOG0006011"
"224","N0.HOG0005130"
"225","N0.HOG0007435"
"226","N0.HOG0007626"
"227","N0.HOG0003127"
"228","N0.HOG0007728"
"229","N0.HOG0007573"
"230","N0.HOG0007570"
"231","N0.HOG0015635"
"232","N0.HOG0010835"
"233","N0.HOG0010814"
"234","N0.HOG0015550"
"235","N0.HOG0007403"
"236","N0.HOG0005118"
"237","N0.HOG0007460"
"238","N0.HOG0002641"
"239","N0.HOG0003729"
"240","N0.HOG0007376"
"241","N0.HOG0007396"
"242","N0.HOG0007675"
"243","N0.HOG0013035"
"244","N0.HOG0007398"
"245","N0.HOG0015795"
"246","N0.HOG0003260"
"247","N0.HOG0003710"
"248","N0.HOG0008949"
"249","N0.HOG0016957"
"250","N0.HOG0019768"
"251","N0.HOG0008933"
"252","N0.HOG0004347"
"253","N0.HOG0017006"
"254","N0.HOG0008923"
"255","N0.HOG0006460"
"256","N0.HOG0008312"
"257","N0.HOG0003362"
"258","N0.HOG0008210"
"259","N0.HOG0008273"
"260","N0.HOG0008347"
"261","N0.HOG0006443"
"262","N0.HOG0011955"
"263","N0.HOG0010127"
"264","N0.HOG0020691"
"265","N0.HOG0000636"
"266","N0.HOG0002014"
"267","N0.HOG0008278"
"268","N0.HOG0015158"
"269","N0.HOG0009996"
"270","N0.HOG0000208"
"271","N0.HOG0010090"
"272","N0.HOG0015172"
"273","N0.HOG0010076"
"274","N0.HOG0010014"
"275","N0.HOG0010086"
"276","N0.HOG0005796"
"277","N0.HOG0018518"
"278","N0.HOG0020679"
"279","N0.HOG0001853"
"280","N0.HOG0009995"
"281","N0.HOG0010026"
"282","N0.HOG0010049"
"283","N0.HOG0010031"
"284","N0.HOG0001844"
"285","N0.HOG0008132"
"286","N0.HOG0010003"
"287","N0.HOG0010007"
"288","N0.HOG0006377"
"289","N0.HOG0006341"
"290","N0.HOG0008220"
"291","N0.HOG0016297"
"292","N0.HOG0011818"
"293","N0.HOG0003919"
"294","N0.HOG0008235"
"295","N0.HOG0008212"
"296","N0.HOG0008402"
"297","N0.HOG0016391"
"298","N0.HOG0008344"
"299","N0.HOG0004560"
"300","N0.HOG0010124"
"301","N0.HOG0011914"
"302","N0.HOG0008169"
"303","N0.HOG0012090"
"304","N0.HOG0008163"
"305","N0.HOG0001526"
"306","N0.HOG0004860"
"307","N0.HOG0016246"
"308","N0.HOG0002400"
"309","N0.HOG0008268"
"310","N0.HOG0020661"
"311","N0.HOG0016306"
"312","N0.HOG0005329"
"313","N0.HOG0001759"
"314","N0.HOG0016341"
"315","N0.HOG0008336"
"316","N0.HOG0011921"
"317","N0.HOG0011949"
"318","N0.HOG0008300"
"319","N0.HOG0006842"
"320","N0.HOG0019394"
"321","N0.HOG0003895"
"322","N0.HOG0003929"
"323","N0.HOG0016402"
"324","N0.HOG0008215"
"325","N0.HOG0011860"
"326","N0.HOG0008378"
"327","N0.HOG0011782"
"328","N0.HOG0005204"
"329","N0.HOG0001587"
"330","N0.HOG0007810"
"331","N0.HOG0002693"
"332","N0.HOG0004459"
"333","N0.HOG0007784"
"334","N0.HOG0015931"
"335","N0.HOG0015888"
"336","N0.HOG0011181"
"337","N0.HOG0007819"
"338","N0.HOG0007808"
"339","N0.HOG0011155"
"340","N0.HOG0017395"
"341","N0.HOG0017328"
"342","N0.HOG0013478"
"343","N0.HOG0009236"
"344","N0.HOG0009212"
"345","N0.HOG0009279"
"346","N0.HOG0013797"
"347","N0.HOG0009431"
"348","N0.HOG0013654"
"349","N0.HOG0013726"
"350","N0.HOG0009396"
"351","N0.HOG0020025"
"352","N0.HOG0013481"
"353","N0.HOG0009421"
"354","N0.HOG0004110"
"355","N0.HOG0009404"
"356","N0.HOG0001998"
"357","N0.HOG0005611"
"358","N0.HOG0009171"
