"","GO.ID","Term","Annotated","Significant","Expected","weight01","Ontology"
"1","GO:0010077","maintenance of inflorescence meristem id...",2,2,0.07,0.0013,"BP"
"2","GO:0071244","cellular response to carbon dioxide",7,3,0.25,0.0015,"BP"
"3","GO:0010343","singlet oxygen-mediated programmed cell ...",8,3,0.29,0.0023,"BP"
"4","GO:0006107","oxaloacetate metabolic process",3,2,0.11,0.0039,"BP"
"5","GO:0080119","ER body organization",3,2,0.11,0.0039,"BP"
"6","GO:0006621","protein retention in ER lumen",4,2,0.15,0.0075,"BP"
"7","GO:0048262","determination of dorsal/ventral asymmetr...",4,2,0.15,0.0075,"BP"
"8","GO:0010960","magnesium ion homeostasis",4,2,0.15,0.0075,"BP"
"9","GO:2000030","regulation of response to red or far red...",32,5,1.16,0.0081,"BP"
"10","GO:1900425","negative regulation of defense response ...",12,3,0.44,0.0082,"BP"
"11","GO:0009585","red, far-red light phototransduction",25,4,0.91,0.0118,"BP"
"12","GO:0009880","embryonic pattern specification",12,3,0.44,0.0122,"BP"
"13","GO:0080006","internode patterning",5,2,0.18,0.0122,"BP"
"14","GO:0090333","regulation of stomatal closure",26,4,0.94,0.0136,"BP"
"15","GO:0009908","flower development",301,16,10.93,0.0141,"BP"
"16","GO:0034976","response to endoplasmic reticulum stress",60,6,2.18,0.0154,"BP"
"17","GO:0006457","protein folding",184,15,6.68,0.0157,"BP"
"18","GO:0033320","UDP-D-xylose biosynthetic process",6,2,0.22,0.0179,"BP"
"19","GO:0006108","malate metabolic process",16,3,0.58,0.0187,"BP"
"20","GO:0006414","translational elongation",45,5,1.63,0.0229,"BP"
"21","GO:0006572","tyrosine catabolic process",7,2,0.25,0.0245,"BP"
"22","GO:0071472","cellular response to salt stress",18,3,0.65,0.0259,"BP"
"23","GO:0009058","biosynthetic process",4686,188,170.15,0.0279,"BP"
"24","GO:0061615","glycolytic process through fructose-6-ph...",8,2,0.29,0.0319,"BP"
"25","GO:0009583","detection of light stimulus",26,5,0.94,0.0361,"BP"
"26","GO:0042726","flavin-containing compound metabolic pro...",15,3,0.54,0.0362,"BP"
"27","GO:0072387","flavin adenine dinucleotide metabolic pr...",4,2,0.15,0.0362,"BP"
"28","GO:1900618","regulation of shoot system morphogenesis",7,2,0.25,0.0362,"BP"
"29","GO:0042732","D-xylose metabolic process",9,2,0.33,0.04,"BP"
"30","GO:1902476","chloride transmembrane transport",9,2,0.33,0.04,"BP"
"31","GO:0010102","lateral root morphogenesis",43,3,1.56,0.04,"BP"
"32","GO:0031146","SCF-dependent proteasomal ubiquitin-depe...",37,4,1.34,0.0441,"BP"
"33","GO:0007623","circadian rhythm",87,10,3.16,0.0441,"BP"
"34","GO:0007165","signal transduction",1148,51,41.68,0.0458,"BP"
"35","GO:0042761","very long-chain fatty acid biosynthetic ...",10,2,0.36,0.0488,"BP"
"36","GO:0048229","gametophyte development",228,8,8.28,0.0492,"BP"
"37","GO:0009744","response to sucrose",56,5,2.03,0.0519,"BP"
"38","GO:0046777","protein autophosphorylation",75,6,2.72,0.0546,"BP"
"39","GO:0042631","cellular response to water deprivation",24,3,0.87,0.0547,"BP"
"40","GO:0015995","chlorophyll biosynthetic process",40,4,1.45,0.0561,"BP"
"41","GO:0010468","regulation of gene expression",1769,66,64.23,0.0564,"BP"
"42","GO:0015979","photosynthesis",177,10,6.43,0.0574,"BP"
"43","GO:0032922","circadian regulation of gene expression",11,2,0.4,0.0583,"BP"
"44","GO:0009733","response to auxin",248,12,9.01,0.066,"BP"
"45","GO:0042752","regulation of circadian rhythm",26,3,0.94,0.0667,"BP"
"46","GO:0080001","mucilage extrusion from seed coat",12,2,0.44,0.0683,"BP"
"47","GO:0009934","regulation of meristem structural organi...",12,2,0.44,0.0683,"BP"
"48","GO:0010218","response to far red light",12,2,0.44,0.0683,"BP"
"49","GO:0006413","translational initiation",90,8,3.27,0.0689,"BP"
"50","GO:0046473","phosphatidic acid metabolic process",6,2,0.22,0.0712,"BP"
"51","GO:0010393","galacturonan metabolic process",90,4,3.27,0.0713,"BP"
"52","GO:2000024","regulation of leaf development",27,3,0.98,0.0731,"BP"
"53","GO:0006520","amino acid metabolic process",312,15,11.33,0.0781,"BP"
"54","GO:0030307","positive regulation of cell growth",20,4,0.73,0.0782,"BP"
"55","GO:0030148","sphingolipid biosynthetic process",22,3,0.8,0.0786,"BP"
"56","GO:0019432","triglyceride biosynthetic process",13,2,0.47,0.0788,"BP"
"57","GO:0042255","ribosome assembly",22,3,0.8,0.0895,"BP"
"58","GO:0045995","regulation of embryonic development",14,2,0.51,0.0898,"BP"
"59","GO:0012501","programmed cell death",132,8,4.79,0.1005,"BP"
"60","GO:0009944","polarity specification of adaxial/abaxia...",15,2,0.54,0.1012,"BP"
"61","GO:0051607","defense response to virus",32,3,1.16,0.1088,"BP"
"62","GO:0006744","ubiquinone biosynthetic process",16,2,0.58,0.113,"BP"
