"","x"
"1","N0.HOG0011633"
"2","N0.HOG0011596"
"3","N0.HOG0015468"
"4","N0.HOG0016924"
"5","N0.HOG0012484"
"6","N0.HOG0012648"
"7","N0.HOG0008741"
"8","N0.HOG0008722"
"9","N0.HOG0002858"
"10","N0.HOG0004030"
"11","N0.HOG0003467"
"12","N0.HOG0008749"
"13","N0.HOG0000904"
"14","N0.HOG0012845"
"15","N0.HOG0001564"
"16","N0.HOG0016700"
"17","N0.HOG0016731"
"18","N0.HOG0019713"
"19","N0.HOG0002024"
"20","N0.HOG0003414"
"21","N0.HOG0005386"
"22","N0.HOG0012821"
"23","N0.HOG0019573"
"24","N0.HOG0011050"
"25","N0.HOG0019510"
"26","N0.HOG0001797"
"27","N0.HOG0008783"
"28","N0.HOG0016539"
"29","N0.HOG0012965"
"30","N0.HOG0012493"
"31","N0.HOG0019578"
"32","N0.HOG0016774"
"33","N0.HOG0012729"
"34","N0.HOG0002926"
"35","N0.HOG0008509"
"36","N0.HOG0008561"
"37","N0.HOG0016550"
"38","N0.HOG0008797"
"39","N0.HOG0012460"
"40","N0.HOG0008751"
"41","N0.HOG0007316"
"42","N0.HOG0016640"
"43","N0.HOG0012288"
"44","N0.HOG0000900"
"45","N0.HOG0016566"
"46","N0.HOG0008589"
"47","N0.HOG0002892"
"48","N0.HOG0008450"
"49","N0.HOG0004371"
"50","N0.HOG0012844"
"51","N0.HOG0019687"
"52","N0.HOG0016573"
"53","N0.HOG0002028"
"54","N0.HOG0003441"
"55","N0.HOG0017123"
"56","N0.HOG0016742"
"57","N0.HOG0017118"
"58","N0.HOG0019830"
"59","N0.HOG0019647"
"60","N0.HOG0016880"
"61","N0.HOG0017093"
"62","N0.HOG0013883"
"63","N0.HOG0018066"
"64","N0.HOG0006305"
"65","N0.HOG0002135"
"66","N0.HOG0009662"
"67","N0.HOG0018017"
"68","N0.HOG0002410"
"69","N0.HOG0002428"
"70","N0.HOG0009718"
"71","N0.HOG0007577"
"72","N0.HOG0017926"
"73","N0.HOG0004904"
"74","N0.HOG0005734"
"75","N0.HOG0014293"
"76","N0.HOG0007022"
"77","N0.HOG0020285"
"78","N0.HOG0014749"
"79","N0.HOG0020363"
"80","N0.HOG0009782"
"81","N0.HOG0001852"
"82","N0.HOG0014455"
"83","N0.HOG0014326"
"84","N0.HOG0017594"
"85","N0.HOG0009909"
"86","N0.HOG0009880"
"87","N0.HOG0018032"
"88","N0.HOG0001843"
"89","N0.HOG0014488"
"90","N0.HOG0017965"
"91","N0.HOG0002535"
"92","N0.HOG0020281"
"93","N0.HOG0014530"
"94","N0.HOG0014330"
"95","N0.HOG0014626"
"96","N0.HOG0009666"
"97","N0.HOG0007051"
"98","N0.HOG0020333"
"99","N0.HOG0002908"
"100","N0.HOG0014734"
"101","N0.HOG0020343"
"102","N0.HOG0014251"
"103","N0.HOG0020342"
"104","N0.HOG0004915"
"105","N0.HOG0017859"
"106","N0.HOG0014594"
"107","N0.HOG0020287"
"108","N0.HOG0003419"
"109","N0.HOG0009747"
"110","N0.HOG0018264"
"111","N0.HOG0018021"
"112","N0.HOG0004224"
"113","N0.HOG0006998"
"114","N0.HOG0014858"
"115","N0.HOG0008980"
"116","N0.HOG0009968"
"117","N0.HOG0010338"
"118","N0.HOG0018279"
"119","N0.HOG0014870"
"120","N0.HOG0002207"
"121","N0.HOG0010787"
"122","N0.HOG0005093"
"123","N0.HOG0010550"
"124","N0.HOG0010532"
"125","N0.HOG0002635"
"126","N0.HOG0021317"
"127","N0.HOG0021326"
"128","N0.HOG0015556"
"129","N0.HOG0019046"
