"","GO.ID","Term","Annotated","Significant","Expected","weight01","Ontology"
"1","GO:0016567","protein ubiquitination",13,7,4.11,0.076,"BP"
"2","GO:0015995","chlorophyll biosynthetic process",4,3,1.26,0.095,"BP"
"3","GO:0010268","brassinosteroid homeostasis",2,2,0.63,0.099,"BP"
"4","GO:0006099","tricarboxylic acid cycle",2,2,0.63,0.099,"BP"
"5","GO:0006107","oxaloacetate metabolic process",2,2,0.63,0.099,"BP"
"6","GO:0046373","L-arabinose metabolic process",2,2,0.63,0.099,"BP"
"7","GO:0048229","gametophyte development",7,3,2.21,0.1,"BP"
"8","GO:0006952","defense response",46,16,14.53,0.163,"BP"
"9","GO:0034976","response to endoplasmic reticulum stress",5,4,1.58,0.23,"BP"
"10","GO:0048527","lateral root development",6,3,1.9,0.235,"BP"
"11","GO:0046856","phosphatidylinositol dephosphorylation",3,2,0.95,0.236,"BP"
"12","GO:0006108","malate metabolic process",3,2,0.95,0.236,"BP"
"13","GO:0006782","protoporphyrinogen IX biosynthetic proce...",3,2,0.95,0.236,"BP"
"14","GO:0045893","positive regulation of DNA-templated tra...",6,3,1.9,0.285,"BP"
"15","GO:0006807","nitrogen compound metabolic process",137,47,43.29,0.3,"BP"
"16","GO:0051726","regulation of cell cycle",5,4,1.58,0.311,"BP"
"17","GO:0046488","phosphatidylinositol metabolic process",4,3,1.26,0.313,"BP"
"18","GO:0006955","immune response",11,5,3.48,0.313,"BP"
"19","GO:2000028","regulation of photoperiodism, flowering",2,2,0.63,0.314,"BP"
"20","GO:0006633","fatty acid biosynthetic process",2,2,0.63,0.314,"BP"
"21","GO:0006260","DNA replication",2,2,0.63,0.314,"BP"
"22","GO:0016131","brassinosteroid metabolic process",2,2,0.63,0.314,"BP"
"23","GO:0040020","regulation of meiotic nuclear division",2,2,0.63,0.314,"BP"
"24","GO:0016042","lipid catabolic process",2,2,0.63,0.314,"BP"
"25","GO:0051603","proteolysis involved in protein cataboli...",6,3,1.9,0.315,"BP"
"26","GO:0090697","post-embryonic plant organ morphogenesis",4,2,1.26,0.316,"BP"
"27","GO:0009699","phenylpropanoid biosynthetic process",5,2,1.58,0.317,"BP"
"28","GO:0009834","plant-type secondary cell wall biogenesi...",4,2,1.26,0.376,"BP"
"29","GO:0070588","calcium ion transmembrane transport",4,2,1.26,0.376,"BP"
"30","GO:0030244","cellulose biosynthetic process",4,2,1.26,0.376,"BP"
"31","GO:0009744","response to sucrose",4,2,1.26,0.376,"BP"
"32","GO:0007166","cell surface receptor signaling pathway",8,3,2.53,0.378,"BP"
"33","GO:0009733","response to auxin",12,4,3.79,0.379,"BP"
"34","GO:0006457","protein folding",8,4,2.53,0.384,"BP"
"35","GO:0009058","biosynthetic process",119,46,37.6,0.479,"BP"
"36","GO:0071555","cell wall organization",10,4,3.16,0.486,"BP"
"37","GO:0048364","root development",12,5,3.79,0.5,"BP"
"38","GO:0009826","unidimensional cell growth",6,3,1.9,0.501,"BP"
"39","GO:0000165","MAPK cascade",5,2,1.58,0.505,"BP"
"40","GO:1900425","negative regulation of defense response ...",5,2,1.58,0.505,"BP"
"41","GO:0006357","regulation of transcription by RNA polym...",3,2,0.95,0.53,"BP"
"42","GO:0045892","negative regulation of DNA-templated tra...",3,2,0.95,0.53,"BP"
"43","GO:0090150","establishment of protein localization to...",3,2,0.95,0.53,"BP"
"44","GO:0007623","circadian rhythm",3,2,0.95,0.53,"BP"
"45","GO:0009626","plant-type hypersensitive response",5,2,1.58,0.533,"BP"
"46","GO:1905039","carboxylic acid transmembrane transport",7,2,2.21,0.535,"BP"
"47","GO:0048856","anatomical structure development",45,13,14.22,0.54,"BP"
"48","GO:0042742","defense response to bacterium",17,6,5.37,0.577,"BP"
"49","GO:0030154","cell differentiation",6,2,1.9,0.615,"BP"
"50","GO:0006355","regulation of DNA-templated transcriptio...",39,14,12.32,0.678,"BP"
"51","GO:0006511","ubiquitin-dependent protein catabolic pr...",4,2,1.26,0.678,"BP"
"52","GO:0002221","pattern recognition receptor signaling p...",4,2,1.26,0.678,"BP"
"53","GO:0002229","defense response to oomycetes",4,2,1.26,0.678,"BP"
"54","GO:0007165","signal transduction",50,15,15.8,0.686,"BP"
"55","GO:0009651","response to salt stress",9,4,2.84,0.698,"BP"
"56","GO:0008643","carbohydrate transport",7,2,2.21,0.706,"BP"
"57","GO:1900150","regulation of defense response to fungus",7,2,2.21,0.706,"BP"
"58","GO:0009737","response to abscisic acid",12,3,3.79,0.71,"BP"
"59","GO:0006508","proteolysis",17,6,5.37,0.723,"BP"
"60","GO:0009416","response to light stimulus",10,5,3.16,0.774,"BP"
"61","GO:0006468","protein phosphorylation",8,2,2.53,0.778,"BP"
"62","GO:0009734","auxin-activated signaling pathway",8,2,2.53,0.778,"BP"
"63","GO:0009908","flower development",7,2,2.21,0.783,"BP"
"64","GO:0015979","photosynthesis",7,2,2.21,0.783,"BP"
"65","GO:0006520","amino acid metabolic process",13,2,4.11,0.79,"BP"
"66","GO:0005975","carbohydrate metabolic process",27,12,8.53,0.837,"BP"
"67","GO:0035556","intracellular signal transduction",13,5,4.11,0.895,"BP"
"68","GO:0055085","transmembrane transport",33,9,10.43,0.911,"BP"
"69","GO:0016310","phosphorylation",55,11,17.38,0.988,"BP"
"70","GO:0046483","heterocycle metabolic process",70,24,22.12,1,"BP"
"71","GO:0046501","protoporphyrinogen IX metabolic process",3,2,0.95,1,"BP"
"72","GO:0002218","activation of innate immune response",4,2,1.26,1,"BP"
"73","GO:0070647","protein modification by small protein co...",14,7,4.42,1,"BP"
"74","GO:0019219","regulation of nucleobase-containing comp...",39,14,12.32,1,"BP"
"75","GO:0046872","metal ion binding",80,32,26.21,0.047,"MF"
"76","GO:0061630","ubiquitin protein ligase activity",6,4,1.97,0.093,"MF"
"77","GO:0042802","identical protein binding",9,5,2.95,0.104,"MF"
"78","GO:0004707","MAP kinase activity",2,2,0.66,0.107,"MF"
"79","GO:0043621","protein self-association",2,2,0.66,0.107,"MF"
"80","GO:0032977","membrane insertase activity",2,2,0.66,0.107,"MF"
"81","GO:0003756","protein disulfide isomerase activity",2,2,0.66,0.107,"MF"
"82","GO:0020037","heme binding",7,4,2.29,0.162,"MF"
"83","GO:0004672","protein kinase activity",49,11,16.05,0.197,"MF"
"84","GO:0051082","unfolded protein binding",5,3,1.64,0.2,"MF"
"85","GO:0000976","transcription cis-regulatory region bind...",10,5,3.28,0.243,"MF"
"86","GO:0016787","hydrolase activity",62,23,20.31,0.243,"MF"
"87","GO:0004445","inositol-polyphosphate 5-phosphatase act...",3,2,0.98,0.251,"MF"
"88","GO:0033612","receptor serine/threonine kinase binding",3,2,0.98,0.251,"MF"
"89","GO:0042393","histone binding",2,2,0.66,0.326,"MF"
"90","GO:0008374","O-acyltransferase activity",2,2,0.66,0.326,"MF"
"91","GO:0005506","iron ion binding",9,4,2.95,0.334,"MF"
"92","GO:0016829","lyase activity",10,6,3.28,0.387,"MF"
"93","GO:0046983","protein dimerization activity",9,4,2.95,0.395,"MF"
"94","GO:0051539","4 iron, 4 sulfur cluster binding",4,2,1.31,0.397,"MF"
"95","GO:0016760","cellulose synthase (UDP-forming) activit...",4,2,1.31,0.397,"MF"
"96","GO:0046556","alpha-L-arabinofuranosidase activity",4,2,1.31,0.397,"MF"
"97","GO:0008270","zinc ion binding",10,4,3.28,0.425,"MF"
"98","GO:0003700","DNA-binding transcription factor activit...",23,8,7.53,0.497,"MF"
"99","GO:0003723","RNA binding",15,5,4.91,0.521,"MF"
"100","GO:0004497","monooxygenase activity",7,3,2.29,0.527,"MF"
"101","GO:0042803","protein homodimerization activity",5,2,1.64,0.529,"MF"
"102","GO:0015297","antiporter activity",5,2,1.64,0.529,"MF"
