"","x"
"1","N0.HOG0011596"
"2","N0.HOG0012484"
"3","N0.HOG0008722"
"4","N0.HOG0002858"
"5","N0.HOG0004030"
"6","N0.HOG0003467"
"7","N0.HOG0008749"
"8","N0.HOG0003414"
"9","N0.HOG0005386"
"10","N0.HOG0008783"
"11","N0.HOG0016539"
"12","N0.HOG0012729"
"13","N0.HOG0008509"
"14","N0.HOG0008561"
"15","N0.HOG0008797"
"16","N0.HOG0008751"
"17","N0.HOG0000900"
"18","N0.HOG0008589"
"19","N0.HOG0008450"
"20","N0.HOG0016573"
"21","N0.HOG0003441"
"22","N0.HOG0009662"
"23","N0.HOG0002410"
"24","N0.HOG0002428"
"25","N0.HOG0009718"
"26","N0.HOG0009782"
"27","N0.HOG0014455"
"28","N0.HOG0009909"
"29","N0.HOG0009880"
"30","N0.HOG0017965"
"31","N0.HOG0009666"
"32","N0.HOG0004915"
"33","N0.HOG0014594"
"34","N0.HOG0004224"
"35","N0.HOG0009968"
"36","N0.HOG0018279"
"37","N0.HOG0014870"
"38","N0.HOG0002207"
"39","N0.HOG0005093"
"40","N0.HOG0015556"
"41","N0.HOG0010731"
"42","N0.HOG0006045"
"43","N0.HOG0003751"
"44","N0.HOG0007619"
"45","N0.HOG0007765"
"46","N0.HOG0006111"
"47","N0.HOG0005157"
"48","N0.HOG0007551"
"49","N0.HOG0007742"
"50","N0.HOG0007728"
"51","N0.HOG0005118"
"52","N0.HOG0015795"
"53","N0.HOG0008933"
"54","N0.HOG0008210"
"55","N0.HOG0008273"
"56","N0.HOG0006443"
"57","N0.HOG0020691"
"58","N0.HOG0000208"
"59","N0.HOG0010014"
"60","N0.HOG0005796"
"61","N0.HOG0018518"
"62","N0.HOG0001853"
"63","N0.HOG0010007"
"64","N0.HOG0008235"
"65","N0.HOG0008402"
"66","N0.HOG0012090"
"67","N0.HOG0004860"
"68","N0.HOG0020661"
"69","N0.HOG0006842"
"70","N0.HOG0003895"
"71","N0.HOG0016402"
"72","N0.HOG0015888"
"73","N0.HOG0007819"
"74","N0.HOG0011155"
"75","N0.HOG0013478"
"76","N0.HOG0005611"
"77","N0.HOG0009284"
"78","N0.HOG0009322"
"79","N0.HOG0000049"
"80","N0.HOG0013469"
"81","N0.HOG0004099"
"82","N0.HOG0006835"
"83","N0.HOG0009961"
"84","N0.HOG0015098"
"85","N0.HOG0005521"
"86","N0.HOG0009109"
"87","N0.HOG0009167"
"88","N0.HOG0007902"
"89","N0.HOG0006209"
"90","N0.HOG0011477"
"91","N0.HOG0011630"
"92","N0.HOG0000549"
"93","N0.HOG0009561"
"94","N0.HOG0017620"
"95","N0.HOG0002821"
"96","N0.HOG0009587"
"97","N0.HOG0005664"
"98","N0.HOG0009499"
"99","N0.HOG0003313"
"100","N0.HOG0014004"
"101","N0.HOG0009010"
"102","N0.HOG0002007"
"103","N0.HOG0008989"
"104","N0.HOG0015153"
"105","N0.HOG0010022"
