"","GO.ID","Term","Annotated","Significant","Expected","weight01","Ontology"
"1","GO:0006107","oxaloacetate metabolic process",3,2,0.02,0.00016,"BP"
"2","GO:0048229","gametophyte development",228,3,1.69,0.00237,"BP"
"3","GO:1900425","negative regulation of defense response ...",12,2,0.09,0.0034,"BP"
"4","GO:0006108","malate metabolic process",16,2,0.12,0.00607,"BP"
"5","GO:0046856","phosphatidylinositol dephosphorylation",19,2,0.14,0.00852,"BP"
"6","GO:0034976","response to endoplasmic reticulum stress",60,3,0.44,0.01656,"BP"
"7","GO:0006952","defense response",963,13,7.12,0.02242,"BP"
"8","GO:0048527","lateral root development",78,3,0.58,0.02708,"BP"
"9","GO:0070588","calcium ion transmembrane transport",35,2,0.26,0.02747,"BP"
"10","GO:0015995","chlorophyll biosynthetic process",40,2,0.3,0.03517,"BP"
"11","GO:0006955","immune response",190,3,1.41,0.04326,"BP"
"12","GO:1900150","regulation of defense response to fungus",49,2,0.36,0.05082,"BP"
"13","GO:0030244","cellulose biosynthetic process",55,2,0.41,0.06239,"BP"
"14","GO:0009744","response to sucrose",56,2,0.41,0.0644,"BP"
"15","GO:0007166","cell surface receptor signaling pathway",87,3,0.64,0.07151,"BP"
"16","GO:0009733","response to auxin",248,4,1.83,0.07177,"BP"
"17","GO:0009834","plant-type secondary cell wall biogenesi...",60,2,0.44,0.07265,"BP"
"18","GO:0006457","protein folding",184,4,1.36,0.11735,"BP"
"19","GO:0051726","regulation of cell cycle",127,3,0.94,0.16122,"BP"
"20","GO:1905039","carboxylic acid transmembrane transport",57,2,0.42,0.17428,"BP"
"21","GO:0016567","protein ubiquitination",509,6,3.76,0.17452,"BP"
"22","GO:0009826","unidimensional cell growth",144,3,1.06,0.19035,"BP"
"23","GO:0002229","defense response to oomycetes",42,2,0.31,0.19209,"BP"
"24","GO:0051603","proteolysis involved in protein cataboli...",283,2,2.09,0.19563,"BP"
"25","GO:0009058","biosynthetic process",4686,41,34.65,0.20301,"BP"
