"","GOID","GOTERM","ONTOLOGY","HOGs_with_GO_COUNT","HOGs_with_GO","TOTAL_COUNT.all_GO_ID","TOTAL_COUNT.Freq","Ta_COUNT.Var1","Ta_COUNT.Freq","Os_COUNT.Var1","Os_COUNT.Freq","Ms_COUNT.Var1","Ms_COUNT.Freq","Sb_COUNT.Var1","Sb_COUNT.Freq","Zm_COUNT.Var1","Zm_COUNT.Freq","DEFINITION"
"1","GO:0045050","protein insertion into ER membrane by stop-transfer membrane-anchor sequence","BP",1,"N0.HOG0011596","GO:0045050",7,"GO:0045050",1,"GO:0045050",1,"GO:0045050",2,"GO:0045050",1,"GO:0045050",2,"A process of protein insertion into the endoplasmic reticulum (ER) membrane in which stop-transfer membrane-anchor sequences become an ER membrane spanning helix."
"2","GO:0071816","tail-anchored membrane protein insertion into ER membrane","BP",1,"N0.HOG0011596","GO:0071816",7,"GO:0071816",1,"GO:0071816",1,"GO:0071816",2,"GO:0071816",1,"GO:0071816",2,"A process of protein insertion into the endoplasmic reticulum (ER) membrane in which a tail-anchored (TA) transmembrane protein is incorporated into an endoplasmic reticulum (ER) membrane. TA transmembrane protein, also named type II transmembrane proteins, contain a single C- terminal transmembrane region."
"3","GO:0046856","phosphatidylinositol dephosphorylation","BP",2,"N0.HOG0002858 N0.HOG0008751","GO:0046856",24,"GO:0046856",6,"GO:0046856",3,"GO:0046856",6,"GO:0046856",3,"GO:0046856",6,"The process of removing one or more phosphate groups from a phosphatidylinositol."
"4","GO:0009561","megagametogenesis","BP",1,"N0.HOG0004030","GO:0009561",13,"GO:0009561",3,"GO:0009561",1,"GO:0009561",4,"GO:0009561",2,"GO:0009561",3,"The process whose specific outcome is the progression of the embryo sac over time, from its formation as the megaspore to the mature structure. The process begins when three of the four haploid megaspores disintegrate, and the fourth undergoes mitosis giving rise to a binucleate syncytial embryo sac. The two haploid nuclei migrate to the opposite poles of the embryo sac and then undergo two rounds of mitosis generating four haploid nuclei at each pole. One nucleus from each set of four migrates to the center of the cell. Cellularization occurs, resulting in an eight-nucleate seven-celled structure. This structure contains two synergid cells and an egg cell at the micropylar end, and three antipodal cells at the other end. A binucleate endosperm mother cell is formed at the center."
"5","GO:0016567","protein ubiquitination","BP",6,"N0.HOG0002007 N0.HOG0009587 N0.HOG0004030 N0.HOG0008797 N0.HOG0020661 N0.HOG0005157","GO:0016567",53,"GO:0016567",14,"GO:0016567",6,"GO:0016567",13,"GO:0016567",7,"GO:0016567",13,"The process in which one or more ubiquitin groups are added to a protein."
"6","GO:0051603","proteolysis involved in protein catabolic process","BP",1,"N0.HOG0004030","GO:0051603",13,"GO:0051603",3,"GO:0051603",1,"GO:0051603",4,"GO:0051603",2,"GO:0051603",3,"The hydrolysis of a peptide bond or bonds within a protein as part of the chemical reactions and pathways resulting in the breakdown of a protein by individual cells."
"7","GO:0051726","regulation of cell cycle","BP",1,"N0.HOG0004030","GO:0051726",13,"GO:0051726",3,"GO:0051726",1,"GO:0051726",4,"GO:0051726",2,"GO:0051726",3,"Any process that modulates the rate or extent of progression through the cell cycle."
"8","GO:0055046","microgametogenesis","BP",1,"N0.HOG0004030","GO:0055046",13,"GO:0055046",3,"GO:0055046",1,"GO:0055046",4,"GO:0055046",2,"GO:0055046",3,"The process whose specific outcome is the progression of the pollen grain over time, from its formation as the microspore to the mature structure."
"9","GO:0009934","regulation of meristem structural organization","BP",1,"N0.HOG0003467","GO:0009934",7,"GO:0009934",1,"GO:0009934",1,"GO:0009934",2,"GO:0009934",1,"GO:0009934",2,"Any process that modulates the frequency, rate or extent of meristem organization."
"10","GO:0010075","regulation of meristem growth","BP",1,"N0.HOG0003467","GO:0010075",7,"GO:0010075",1,"GO:0010075",1,"GO:0010075",2,"GO:0010075",1,"GO:0010075",2,"Any process involved in maintaining the size and shape of a meristem."
"11","GO:0016310","phosphorylation","BP",8,"N0.HOG0009666 N0.HOG0009010 N0.HOG0009109 N0.HOG0008509 N0.HOG0009499 N0.HOG0004860 N0.HOG0003467 N0.HOG0003414","GO:0016310",60,"GO:0016310",16,"GO:0016310",8,"GO:0016310",13,"GO:0016310",8,"GO:0016310",15,"The process of introducing a phosphate group into a molecule, usually with the formation of a phosphoric ester, a phosphoric anhydride or a phosphoric amide."
"12","GO:0030154","cell differentiation","BP",2,"N0.HOG0016539 N0.HOG0003467","GO:0030154",14,"GO:0030154",2,"GO:0030154",2,"GO:0030154",4,"GO:0030154",2,"GO:0030154",4,"The cellular developmental process in which a relatively unspecialized cell, e.g. embryonic or regenerative cell, acquires specialized structural and/or functional features that characterize a specific cell. Differentiation includes the processes involved in commitment of a cell to a specific fate and its subsequent development to the mature state."
"13","GO:0048229","gametophyte development","BP",2,"N0.HOG0003895 N0.HOG0003467","GO:0048229",20,"GO:0048229",4,"GO:0048229",2,"GO:0048229",7,"GO:0048229",3,"GO:0048229",4,"The process whose specific outcome is the progression of the gametophyte over time, from its formation to the mature structure. The gametophyte is the gamete-producing individual or phase in the life cycle having alternation of generations. An example of this process is found in Arabidopsis thaliana."
"14","GO:0048437","floral organ development","BP",1,"N0.HOG0003467","GO:0048437",7,"GO:0048437",1,"GO:0048437",1,"GO:0048437",2,"GO:0048437",1,"GO:0048437",2,"The process whose specific outcome is the progression of the floral organ over time, from its formation to the mature structure."
"15","GO:0000103","sulfate assimilation","BP",1,"N0.HOG0008749","GO:0000103",9,"GO:0000103",3,"GO:0000103",1,"GO:0000103",2,"GO:0000103",1,"GO:0000103",2,"The pathways by which inorganic sulfate is processed and incorporated into sulfated compounds."
"16","GO:0070814","hydrogen sulfide biosynthetic process","BP",1,"N0.HOG0008749","GO:0070814",9,"GO:0070814",3,"GO:0070814",1,"GO:0070814",2,"GO:0070814",1,"GO:0070814",2,"The chemical reactions and pathways resulting in the formation of hydrogen sulfide, H2S."
"17","GO:0005975","carbohydrate metabolic process","BP",2,"N0.HOG0003441 N0.HOG0003414","GO:0005975",15,"GO:0005975",4,"GO:0005975",2,"GO:0005975",3,"GO:0005975",2,"GO:0005975",4,"The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y."
"18","GO:0006520","amino acid metabolic process","BP",1,"N0.HOG0003414","GO:0006520",8,"GO:0006520",2,"GO:0006520",1,"GO:0006520",2,"GO:0006520",1,"GO:0006520",2,"The chemical reactions and pathways involving amino acids, carboxylic acids containing one or more amino groups."
