"","GO.ID","Term","Annotated","Significant","Expected","weight01","Ontology"
"1","GO:0006325","chromatin organization",15,9,5.28,0.015,"BP"
"2","GO:0006355","regulation of DNA-templated transcriptio...",40,21,14.07,0.024,"BP"
"3","GO:0051607","defense response to virus",3,3,1.06,0.043,"BP"
"4","GO:0015031","protein transport",33,13,11.61,0.049,"BP"
"5","GO:0009908","flower development",15,7,5.28,0.055,"BP"
"6","GO:0016042","lipid catabolic process",10,5,3.52,0.055,"BP"
"7","GO:0009555","pollen development",6,4,2.11,0.118,"BP"
"8","GO:0009733","response to auxin",4,3,1.41,0.123,"BP"
"9","GO:0045995","regulation of embryonic development",2,2,0.7,0.123,"BP"
"10","GO:0000184","nuclear-transcribed mRNA catabolic proce...",2,2,0.7,0.123,"BP"
"11","GO:2000024","regulation of leaf development",2,2,0.7,0.123,"BP"
"12","GO:0009944","polarity specification of adaxial/abaxia...",2,2,0.7,0.123,"BP"
"13","GO:0006621","protein retention in ER lumen",2,2,0.7,0.123,"BP"
"14","GO:0045892","negative regulation of DNA-templated tra...",4,3,1.41,0.127,"BP"
"15","GO:0009058","biosynthetic process",181,81,63.69,0.214,"BP"
"16","GO:0008380","RNA splicing",18,10,6.33,0.229,"BP"
"17","GO:0006413","translational initiation",10,6,3.52,0.233,"BP"
"18","GO:0051028","mRNA transport",7,4,2.46,0.236,"BP"
"19","GO:0009873","ethylene-activated signaling pathway",5,3,1.76,0.237,"BP"
"20","GO:0032259","methylation",7,6,2.46,0.277,"BP"
"21","GO:0009749","response to glucose",4,3,1.41,0.282,"BP"
"22","GO:0009753","response to jasmonic acid",3,2,1.06,0.284,"BP"
"23","GO:0001732","formation of cytoplasmic translation ini...",3,2,1.06,0.284,"BP"
"24","GO:0006888","endoplasmic reticulum to Golgi vesicle-m...",3,2,1.06,0.284,"BP"
"25","GO:0042255","ribosome assembly",3,2,1.06,0.284,"BP"
"26","GO:0090333","regulation of stomatal closure",3,2,1.06,0.284,"BP"
"27","GO:0007030","Golgi organization",3,2,1.06,0.284,"BP"
"28","GO:0006457","protein folding",9,5,3.17,0.293,"BP"
"29","GO:0016070","RNA metabolic process",90,46,31.67,0.317,"BP"
"30","GO:0006397","mRNA processing",22,11,7.74,0.323,"BP"
"31","GO:0051171","regulation of nitrogen compound metaboli...",56,29,19.7,0.332,"BP"
"32","GO:0051726","regulation of cell cycle",5,4,1.76,0.349,"BP"
"33","GO:0090351","seedling development",8,5,2.81,0.349,"BP"
"34","GO:0040029","epigenetic regulation of gene expression",3,3,1.06,0.349,"BP"
"35","GO:0002181","cytoplasmic translation",6,4,2.11,0.349,"BP"
"36","GO:0010228","vegetative to reproductive phase transit...",6,4,2.11,0.349,"BP"
"37","GO:0009648","photoperiodism",6,4,2.11,0.349,"BP"
"38","GO:2000028","regulation of photoperiodism, flowering",4,3,1.41,0.35,"BP"
"39","GO:0000460","maturation of 5.8S rRNA",2,2,0.7,0.351,"BP"
"40","GO:0016571","histone methylation",2,2,0.7,0.351,"BP"
"41","GO:0031047","regulatory ncRNA-mediated gene silencing",2,2,0.7,0.351,"BP"
"42","GO:0010214","seed coat development",2,2,0.7,0.351,"BP"
"43","GO:0006096","glycolytic process",2,2,0.7,0.351,"BP"
"44","GO:0046470","phosphatidylcholine metabolic process",2,2,0.7,0.351,"BP"
"45","GO:0046473","phosphatidic acid metabolic process",2,2,0.7,0.351,"BP"
"46","GO:0033500","carbohydrate homeostasis",2,2,0.7,0.351,"BP"
"47","GO:0034976","response to endoplasmic reticulum stress",2,2,0.7,0.351,"BP"
"48","GO:0000278","mitotic cell cycle",3,2,1.06,0.351,"BP"
"49","GO:0001666","response to hypoxia",4,2,1.41,0.352,"BP"
"50","GO:0010498","proteasomal protein catabolic process",7,3,2.46,0.352,"BP"
"51","GO:0010073","meristem maintenance",5,2,1.76,0.353,"BP"
"52","GO:0046907","intracellular transport",28,10,9.85,0.353,"BP"
"53","GO:2000070","regulation of response to water deprivat...",6,2,2.11,0.353,"BP"
"54","GO:0009620","response to fungus",9,3,3.17,0.354,"BP"
"55","GO:0009744","response to sucrose",6,3,2.11,0.356,"BP"
"56","GO:0010468","regulation of gene expression",62,33,21.81,0.396,"BP"
"57","GO:0007059","chromosome segregation",5,3,1.76,0.438,"BP"
"58","GO:0042631","cellular response to water deprivation",4,2,1.41,0.44,"BP"
"59","GO:0006364","rRNA processing",13,7,4.57,0.463,"BP"
"60","GO:0000398","mRNA splicing, via spliceosome",11,6,3.87,0.465,"BP"
"61","GO:0006417","regulation of translation",11,5,3.87,0.469,"BP"
