"","x"
"1","Misin01G005100"
"2","Misin16G032200"
"3","Os03g0851100"
"4","SORBI_3001G011000"
"5","TraesCS4A02G330400"
"6","Zm00001eb064580"
"7","Zm00001eb210740"
"8","Zm00001eb313420"
"9","Misin01G023900"
"10","Misin02G016600"
"11","Os03g0824200"
"12","SORBI_3001G031200"
"13","TraesCS5A02G486400"
"14","TraesCS5B02G500200"
"15","TraesCS5D02G500400"
"16","Zm00001eb211470"
"17","Zm00001eb356470"
"18","Misin01G032300"
"19","Misin02G018700"
"20","Os04g0423700"
"21","SORBI_3001G040300"
"22","TraesCS2B02G317300"
"23","TraesCS2D02G299800"
"24","Zm00001eb062160"
"25","Zm00001eb440740"
"26","Misin01G053800"
"27","Os03g0792500"
"28","SORBI_3001G061700"
"29","TraesCS5A02G429400"
"30","Zm00001eb060340"
"31","Zm00001eb213160"
"32","Misin01G099700"
"33","Misin02G086900"
"34","Os03g0722500"
"35","SORBI_3001G109400"
"36","TraesCS4A02G260900"
"37","TraesCS4B02G053700"
"38","TraesCS4D02G053700"
"39","Zm00001eb215900"
"40","Zm00001eb319040"
"41","Misin01G118500"
"42","Misin02G106400"
"43","Os03g0695600"
"44","SORBI_3001G128400"
"45","TraesCS4D02G033400"
"46","Zm00001eb053790"
"47","Zm00001eb216990"
"48","Misin01G119800"
"49","Os03g0693000"
"50","SORBI_3001G130200"
"51","TraesCS4A02G279800"
"52","TraesCS4B02G032500"
"53","Zm00001eb053650"
"54","Zm00001eb217060"
"55","Misin01G122300"
"56","Misin02G110900"
"57","Os03g0688200"
"58","SORBI_3001G132900"
"59","TraesCS4A02G283500"
"60","TraesCS4B02G029200"
"61","TraesCS4D02G027100"
"62","Zm00001eb053410"
"63","Zm00001eb217180"
"64","Misin01G140700"
"65","Misin02G133900"
"66","Os03g0640800"
"67","SORBI_3001G157400"
"68","TraesCS5A02G375800"
"69","TraesCS5B02G378000"
"70","TraesCS5D02G385300"
"71","Zm00001eb050660"
"72","Zm00001eb218730"
"73","Misin01G159200"
"74","Misin02G154200"
"75","Os01g0375000"
"76","SORBI_3001G177100"
"77","TraesCS2B02G113500"
"78","TraesCS2D02G097200"
"79","Zm00001eb049610"
"80","Zm00001eb219390"
"81","Misin01G175800"
"82","MisinT330800"
"83","Os10g0518200"
"84","SORBI_3001G193200"
"85","TraesCS1D02G184800"
"86","Zm00001eb043440"
"87","Zm00001eb220110"
"88","Misin01G205300"
"89","Misin02G191600"
"90","Os10g0470900"
"91","SORBI_3001G222900"
"92","TraesCS1A02G150600"
"93","TraesCS1B02G168200"
"94","TraesCS1D02G147600"
"95","Zm00001eb046160"
"96","Zm00001eb222000"
"97","Misin01G213200"
"98","MisinT251400"
"99","Os10g0442400"
"100","SORBI_3001G236400"
"101","TraesCS1B02G080400"
"102","TraesCS1D02G062800"
"103","Zm00001eb047200"
"104","Zm00001eb222590"
"105","Misin01G234400"
"106","Misin02G227300"
"107","Os10g0392700"
"108","SORBI_3001G259000"
"109","TraesCS1A02G138500"
"110","TraesCS1B02G152300"
"111","TraesCS1D02G135300"
"112","Zm00001eb048720"
"113","Zm00001eb223560"
"114","Misin01G270200"
"115","Misin02G262900"
"116","Os10g0574800"
"117","SORBI_3001G287800"
"118","TraesCS1A02G193000"
"119","Zm00001eb024360"
"120","Zm00001eb390370"
"121","Misin01G276900"
"122","Misin02G269200"
"123","Os10g0565000"
"124","SORBI_3001G294100"
"125","TraesCSU02G007200"
"126","Zm00001eb023920"
"127","Zm00001eb390850"
"128","Misin01G278000"
"129","Misin02G269400"
"130","Os10g0564800"
"131","SORBI_3001G294300"
"132","TraesCS1A02G215800"
"133","TraesCS1B02G229300"
"134","TraesCSU02G178500"
"135","Zm00001eb023890"
"136","Zm00001eb390900"
"137","Misin01G284400"
"138","Misin02G274400"
"139","Misin12G049800"
"140","Os04g0377932"
"141","SORBI_3001G301700"
"142","SORBI_3006G049900"
"143","TraesCS1A02G420500"
"144","TraesCS1B02G451500"
"145","TraesCS1D02G428400"
"146","Zm00001eb085870"
"147","Zm00001eb085940"
"148","Zm00001eb391460"
"149","Zm00001eb391470"
"150","Zm00001eb391480"
"151","Misin01G286000"
"152","Misin02G275000"
"153","Os10g0554100"
