"","x"
"1","N0.HOG0011614"
"2","N0.HOG0008842"
"3","N0.HOG0002805"
"4","N0.HOG0003398"
"5","N0.HOG0008554"
"6","N0.HOG0016701"
"7","N0.HOG0016813"
"8","N0.HOG0008573"
"9","N0.HOG0002890"
"10","N0.HOG0012197"
"11","N0.HOG0016612"
"12","N0.HOG0008828"
"13","N0.HOG0012641"
"14","N0.HOG0008814"
"15","N0.HOG0016719"
"16","N0.HOG0016654"
"17","N0.HOG0008798"
"18","N0.HOG0003448"
"19","N0.HOG0006632"
"20","N0.HOG0008874"
"21","N0.HOG0006580"
"22","N0.HOG0012429"
"23","N0.HOG0006598"
"24","N0.HOG0008765"
"25","N0.HOG0012569"
"26","N0.HOG0016197"
"27","N0.HOG0002038"
"28","N0.HOG0008688"
"29","N0.HOG0001502"
"30","N0.HOG0012588"
"31","N0.HOG0005513"
"32","N0.HOG0013171"
"33","N0.HOG0006716"
"34","N0.HOG0012209"
"35","N0.HOG0009821"
"36","N0.HOG0001801"
"37","N0.HOG0004931"
"38","N0.HOG0000908"
"39","N0.HOG0014466"
"40","N0.HOG0009808"
"41","N0.HOG0020330"
"42","N0.HOG0005709"
"43","N0.HOG0009891"
"44","N0.HOG0002131"
"45","N0.HOG0009790"
"46","N0.HOG0003029"
"47","N0.HOG0009873"
"48","N0.HOG0005736"
"49","N0.HOG0004908"
"50","N0.HOG0017894"
"51","N0.HOG0009842"
"52","N0.HOG0009876"
"53","N0.HOG0003607"
"54","N0.HOG0014285"
"55","N0.HOG0017900"
"56","N0.HOG0009716"
"57","N0.HOG0014903"
"58","N0.HOG0009982"
"59","N0.HOG0005460"
"60","N0.HOG0020512"
"61","N0.HOG0010548"
"62","N0.HOG0015683"
"63","N0.HOG0010421"
"64","N0.HOG0007644"
"65","N0.HOG0007491"
"66","N0.HOG0007510"
"67","N0.HOG0010774"
"68","N0.HOG0007579"
"69","N0.HOG0007518"
"70","N0.HOG0005167"
"71","N0.HOG0010869"
"72","N0.HOG0007680"
"73","N0.HOG0002654"
"74","N0.HOG0015661"
"75","N0.HOG0015564"
"76","N0.HOG0006020"
"77","N0.HOG0015580"
"78","N0.HOG0007314"
"79","N0.HOG0010724"
"80","N0.HOG0007532"
"81","N0.HOG0003137"
"82","N0.HOG0007698"
"83","N0.HOG0007419"
"84","N0.HOG0007433"
"85","N0.HOG0010797"
"86","N0.HOG0007431"
"87","N0.HOG0005952"
"88","N0.HOG0010554"
"89","N0.HOG0006011"
"90","N0.HOG0005130"
"91","N0.HOG0007573"
"92","N0.HOG0007570"
"93","N0.HOG0007460"
"94","N0.HOG0002641"
"95","N0.HOG0007396"
"96","N0.HOG0007398"
"97","N0.HOG0003710"
"98","N0.HOG0008949"
"99","N0.HOG0004347"
"100","N0.HOG0008923"
"101","N0.HOG0006460"
"102","N0.HOG0003362"
"103","N0.HOG0008347"
"104","N0.HOG0011955"
"105","N0.HOG0010127"
"106","N0.HOG0002014"
"107","N0.HOG0008278"
"108","N0.HOG0015158"
"109","N0.HOG0009996"
"110","N0.HOG0015172"
"111","N0.HOG0010076"
"112","N0.HOG0020679"
"113","N0.HOG0009995"
"114","N0.HOG0010026"
"115","N0.HOG0010031"
"116","N0.HOG0008132"
"117","N0.HOG0006341"
"118","N0.HOG0016297"
"119","N0.HOG0008212"
"120","N0.HOG0016391"
"121","N0.HOG0008344"
"122","N0.HOG0008169"
"123","N0.HOG0008268"
"124","N0.HOG0016306"
"125","N0.HOG0001759"
"126","N0.HOG0008336"
"127","N0.HOG0011921"
"128","N0.HOG0008300"
"129","N0.HOG0008215"
"130","N0.HOG0011860"
"131","N0.HOG0007810"
"132","N0.HOG0004459"
"133","N0.HOG0007784"
"134","N0.HOG0007808"
"135","N0.HOG0017395"
"136","N0.HOG0017328"
"137","N0.HOG0009236"
"138","N0.HOG0009212"
"139","N0.HOG0009279"
"140","N0.HOG0013797"
"141","N0.HOG0009431"
"142","N0.HOG0020025"
"143","N0.HOG0009421"
"144","N0.HOG0009404"
"145","N0.HOG0001998"
"146","N0.HOG0009171"
"147","N0.HOG0006273"
"148","N0.HOG0002787"
"149","N0.HOG0002365"
"150","N0.HOG0006274"
"151","N0.HOG0013699"
"152","N0.HOG0020066"
"153","N0.HOG0007338"
"154","N0.HOG0009336"
"155","N0.HOG0009405"
"156","N0.HOG0014814"
"157","N0.HOG0014812"
"158","N0.HOG0009392"
"159","N0.HOG0002091"
"160","N0.HOG0001126"
"161","N0.HOG0009117"
"162","N0.HOG0013894"
"163","N0.HOG0013884"
"164","N0.HOG0005632"
"165","N0.HOG0005249"
"166","N0.HOG0006231"
"167","N0.HOG0008038"
"168","N0.HOG0008068"
"169","N0.HOG0011355"
"170","N0.HOG0008056"
