"","GO.ID","Term","Annotated","Significant","Expected","weight01","Ontology"
"1","GO:0006621","protein retention in ER lumen",4,2,0.06,0.0012,"BP"
"2","GO:0051607","defense response to virus",32,3,0.45,0.0103,"BP"
"3","GO:0006325","chromatin organization",311,9,4.42,0.0161,"BP"
"4","GO:0045995","regulation of embryonic development",14,2,0.2,0.0163,"BP"
"5","GO:0009944","polarity specification of adaxial/abaxia...",15,2,0.21,0.0187,"BP"
"6","GO:0046473","phosphatidic acid metabolic process",6,2,0.09,0.0281,"BP"
"7","GO:0001732","formation of cytoplasmic translation ini...",20,2,0.28,0.0322,"BP"
"8","GO:0006417","regulation of translation",116,5,1.65,0.0351,"BP"
"9","GO:0042255","ribosome assembly",22,2,0.31,0.0385,"BP"
"10","GO:0051028","mRNA transport",73,4,1.04,0.0408,"BP"
"11","GO:0000184","nuclear-transcribed mRNA catabolic proce...",23,2,0.33,0.0418,"BP"
"12","GO:0042631","cellular response to water deprivation",24,2,0.34,0.0452,"BP"
"13","GO:0009744","response to sucrose",56,3,0.8,0.0452,"BP"
"14","GO:0016070","RNA metabolic process",2571,46,36.53,0.0522,"BP"
"15","GO:0090333","regulation of stomatal closure",26,2,0.37,0.0522,"BP"
"16","GO:0006413","translational initiation",90,6,1.28,0.0537,"BP"
"17","GO:2000024","regulation of leaf development",27,2,0.38,0.0559,"BP"
"18","GO:0015031","protein transport",592,13,8.41,0.0583,"BP"
"19","GO:0007030","Golgi organization",28,2,0.4,0.0596,"BP"
"20","GO:0009749","response to glucose",33,3,0.47,0.0628,"BP"
"21","GO:0009648","photoperiodism",111,4,1.58,0.0685,"BP"
"22","GO:0033500","carbohydrate homeostasis",17,2,0.24,0.0687,"BP"
"23","GO:0009908","flower development",301,7,4.28,0.073,"BP"
"24","GO:0009058","biosynthetic process",4686,81,66.58,0.0772,"BP"
"25","GO:0000460","maturation of 5.8S rRNA",27,2,0.38,0.082,"BP"
"26","GO:0007059","chromosome segregation",92,3,1.31,0.0836,"BP"
"27","GO:0010468","regulation of gene expression",1769,33,25.13,0.1023,"BP"
"28","GO:0002183","cytoplasmic translational initiation",28,3,0.4,0.1072,"BP"
"29","GO:0009083","branched-chain amino acid catabolic proc...",13,2,0.18,0.1076,"BP"
"30","GO:0016236","macroautophagy",23,2,0.33,0.1077,"BP"
"31","GO:0010214","seed coat development",28,2,0.4,0.1078,"BP"
"32","GO:0016042","lipid catabolic process",194,5,2.76,0.1115,"BP"
"33","GO:0000398","mRNA splicing, via spliceosome",131,6,1.86,0.1197,"BP"
"34","GO:1902600","proton transmembrane transport",86,3,1.22,0.1234,"BP"
"35","GO:0046470","phosphatidylcholine metabolic process",23,2,0.33,0.1328,"BP"
"36","GO:0006414","translational elongation",45,2,0.64,0.1339,"BP"
"37","GO:0010498","proteasomal protein catabolic process",141,3,2,0.1456,"BP"
"38","GO:0006915","apoptotic process",32,2,0.45,0.1572,"BP"
"39","GO:0007399","nervous system development",33,2,0.47,0.1573,"BP"
"40","GO:0008380","RNA splicing",265,10,3.77,0.1604,"BP"
"41","GO:0030307","positive regulation of cell growth",20,3,0.28,0.1681,"BP"
"42","GO:0007623","circadian rhythm",87,4,1.24,0.1762,"BP"
"43","GO:0030244","cellulose biosynthetic process",55,2,0.78,0.1838,"BP"
"44","GO:0006888","endoplasmic reticulum to Golgi vesicle-m...",55,2,0.78,0.1838,"BP"
"45","GO:0002181","cytoplasmic translation",43,4,0.61,0.1906,"BP"
"46","GO:0006457","protein folding",184,5,2.61,0.1914,"BP"
"47","GO:0009555","pollen development",163,4,2.32,0.2019,"BP"
"48","GO:0090351","seedling development",120,5,1.71,0.202,"BP"
"49","GO:0016571","histone methylation",40,2,0.57,0.2041,"BP"
"50","GO:0009733","response to auxin",248,3,3.52,0.2128,"BP"
"51","GO:0006886","intracellular protein transport",297,5,4.22,0.2192,"BP"
"52","GO:0016192","vesicle-mediated transport",402,9,5.71,0.2204,"BP"
"53","GO:2000070","regulation of response to water deprivat...",41,2,0.58,0.2264,"BP"
"54","GO:0001666","response to hypoxia",91,2,1.29,0.2273,"BP"
"55","GO:0051171","regulation of nitrogen compound metaboli...",1707,29,24.25,0.2325,"BP"
"56","GO:0009873","ethylene-activated signaling pathway",118,3,1.68,0.2356,"BP"
"57","GO:0009651","response to salt stress",259,6,3.68,0.2384,"BP"
"58","GO:0003729","mRNA binding",452,22,6.39,1.1e-06,"MF"
"59","GO:0003743","translation initiation factor activity",82,6,1.16,0.0011,"MF"
"60","GO:0046923","ER retention sequence binding",4,2,0.06,0.0012,"MF"
"61","GO:0016887","ATP hydrolysis activity",448,13,6.33,0.0111,"MF"
"62","GO:0004630","phospholipase D activity",12,2,0.17,0.0119,"MF"
"63","GO:0070290","N-acylphosphatidylethanolamine-specific ...",12,2,0.17,0.0119,"MF"
"64","GO:0030544","Hsp70 protein binding",12,2,0.17,0.0119,"MF"
"65","GO:0005525","GTP binding",202,7,2.85,0.0247,"MF"
"66","GO:0004722","protein serine/threonine phosphatase act...",111,2,1.57,0.0282,"MF"
"67","GO:0046961","proton-transporting ATPase activity, rot...",20,2,0.28,0.0319,"MF"
"68","GO:0003724","RNA helicase activity",87,4,1.23,0.0347,"MF"
"69","GO:0003713","transcription coactivator activity",24,2,0.34,0.0447,"MF"
"70","GO:0004190","aspartic-type endopeptidase activity",66,3,0.93,0.0666,"MF"
"71","GO:0031369","translation initiation factor binding",9,2,0.13,0.0944,"MF"
"72","GO:0019900","kinase binding",84,3,1.19,0.1,"MF"
"73","GO:0051082","unfolded protein binding",83,3,1.17,0.1129,"MF"
"74","GO:0003924","GTPase activity",144,4,2.04,0.147,"MF"
"75","GO:0004222","metalloendopeptidase activity",49,2,0.69,0.1522,"MF"
"76","GO:0043022","ribosome binding",51,2,0.72,0.1621,"MF"
"77","GO:0051015","actin filament binding",52,2,0.73,0.1671,"MF"
"78","GO:0043021","ribonucleoprotein complex binding",64,3,0.9,0.1679,"MF"
"79","GO:0005515","protein binding",3321,52,46.94,0.187,"MF"
"80","GO:0051537","2 iron, 2 sulfur cluster binding",56,2,0.79,0.1874,"MF"
"81","GO:0051539","4 iron, 4 sulfur cluster binding",59,2,0.83,0.2028,"MF"
"82","GO:0003723","RNA binding",1256,38,17.75,0.225,"MF"
"83","GO:0051119","sugar transmembrane transporter activity",49,2,0.69,0.2364,"MF"
"84","GO:0009055","electron transfer activity",84,3,1.19,0.2638,"MF"
"85","GO:0003727","single-stranded RNA binding",32,2,0.45,0.2679,"MF"
"86","GO:0050660","flavin adenine dinucleotide binding",121,3,1.71,0.2961,"MF"
"87","GO:0003682","chromatin binding",93,3,1.31,0.3055,"MF"
"88","GO:0043621","protein self-association",81,2,1.14,0.3179,"MF"
"89","GO:0016405","CoA-ligase activity",39,2,0.55,0.4081,"MF"
"90","GO:0005543","phospholipid binding",119,2,1.68,0.4348,"MF"
"91","GO:0008289","lipid binding",237,5,3.35,0.4401,"MF"
"92","GO:0008237","metallopeptidase activity",100,3,1.41,0.5142,"MF"
"93","GO:0008168","methyltransferase activity",304,4,4.3,0.5359,"MF"
"94","GO:0003735","structural constituent of ribosome",204,3,2.88,0.5533,"MF"
"95","GO:0016740","transferase activity",2963,29,41.88,0.5717,"MF"
"96","GO:0016787","hydrolase activity",2402,43,33.95,0.5776,"MF"
"97","GO:0000166","nucleotide binding",2452,38,34.65,0.5848,"MF"
"98","GO:0061630","ubiquitin protein ligase activity",145,2,2.05,0.6108,"MF"
"99","GO:0005524","ATP binding",1923,26,27.18,0.6299,"MF"
