"","GOID","GOTERM","ONTOLOGY","HOGs_with_GO_COUNT","HOGs_with_GO","TOTAL_COUNT.all_GO_ID","TOTAL_COUNT.Freq","Ta_COUNT.Var1","Ta_COUNT.Freq","Os_COUNT.Var1","Os_COUNT.Freq","Ms_COUNT.Var1","Ms_COUNT.Freq","Sb_COUNT.Var1","Sb_COUNT.Freq","Zm_COUNT.Var1","Zm_COUNT.Freq","DEFINITION"
"1","GO:0006412","translation","BP",8,"N0.HOG0008814 N0.HOG0010031 N0.HOG0001759 N0.HOG0008923 N0.HOG0013171 N0.HOG0011614 N0.HOG0015172 N0.HOG0009279","GO:0006412",78,"GO:0006412",19,"GO:0006412",9,"GO:0006412",19,"GO:0006412",9,"GO:0006412",22,"The cellular metabolic process in which a protein is formed, using the sequence of a mature mRNA or circRNA molecule to specify the sequence of amino acids in a polypeptide chain. Translation is mediated by the ribosome, and begins with the formation of a ternary complex between aminoacylated initiator methionine tRNA, GTP, and initiation factor 2, which subsequently associates with the small subunit of the ribosome and an mRNA or circRNA. Translation ends with the release of a polypeptide chain from the ribosome."
"2","GO:0006414","translational elongation","BP",2,"N0.HOG0011614 N0.HOG0015172","GO:0006414",16,"GO:0006414",4,"GO:0006414",2,"GO:0006414",3,"GO:0006414",2,"GO:0006414",5,"The successive addition of amino acid residues to a nascent polypeptide chain during protein biosynthesis."
"3","GO:0006325","chromatin organization","BP",6,"N0.HOG0004347 N0.HOG0017900 N0.HOG0008842 N0.HOG0008344 N0.HOG0013797 N0.HOG0003448","GO:0006325",46,"GO:0006325",12,"GO:0006325",5,"GO:0006325",12,"GO:0006325",5,"GO:0006325",12,"The assembly or remodeling of chromatin composed of DNA complexed with histones, other associated proteins, and sometimes RNA."
"4","GO:0009404","toxin metabolic process","BP",1,"N0.HOG0008842","GO:0009404",8,"GO:0009404",3,"GO:0009404",1,"GO:0009404",2,"GO:0009404",1,"GO:0009404",1,"The chemical reactions and pathways involving a toxin, a poisonous compound (typically a protein) that is produced by cells or organisms and that can cause disease when introduced into the body or tissues of an organism."
"5","GO:0018364","peptidyl-glutamine methylation","BP",1,"N0.HOG0008842","GO:0018364",8,"GO:0018364",3,"GO:0018364",1,"GO:0018364",2,"GO:0018364",1,"GO:0018364",1,"The addition of a methyl group to a glutamine residue in a protein."
"6","GO:0018872","arsonoacetate metabolic process","BP",1,"N0.HOG0008842","GO:0018872",8,"GO:0018872",3,"GO:0018872",1,"GO:0018872",2,"GO:0018872",1,"GO:0018872",1,"The chemical reactions and pathways involving arsonoacetate, a synthetic, organic compound containing a single arsenic atom. Arsonoacetate and other arsenic containing compounds are used in agricultural applications as animal feed additives, cotton defoliants and post-emergence grass herbicides."
"7","GO:0030307","positive regulation of cell growth","BP",1,"N0.HOG0008842","GO:0030307",8,"GO:0030307",3,"GO:0030307",1,"GO:0030307",2,"GO:0030307",1,"GO:0030307",1,"Any process that activates or increases the frequency, rate, extent or direction of cell growth."
"8","GO:0032259","methylation","BP",4,"N0.HOG0017900 N0.HOG0008842 N0.HOG0014812 N0.HOG0016654","GO:0032259",23,"GO:0032259",7,"GO:0032259",3,"GO:0032259",4,"GO:0032259",3,"GO:0032259",6,"The process in which a methyl group is covalently attached to a molecule."
"9","GO:0045815","transcription initiation-coupled chromatin remodeling","BP",1,"N0.HOG0008842","GO:0045815",8,"GO:0045815",3,"GO:0045815",1,"GO:0045815",2,"GO:0045815",1,"GO:0045815",1,"An epigenetic mechanism of regulation of gene expression that involves chromatin remodeling to capacitate gene expression by either modifying the chromatin fiber, the nucleosomal histones, or the DNA."
"10","GO:0006629","lipid metabolic process","BP",10,"N0.HOG0010421 N0.HOG0008278 N0.HOG0002654 N0.HOG0003865 N0.HOG0000908 N0.HOG0002805 N0.HOG0007579 N0.HOG0020330 N0.HOG0014118 N0.HOG0007933","GO:0006629",86,"GO:0006629",24,"GO:0006629",9,"GO:0006629",22,"GO:0006629",12,"GO:0006629",19,"The chemical reactions and pathways involving lipids, compounds soluble in an organic solvent but not, or sparingly, in an aqueous solvent. Includes fatty acids; neutral fats, other fatty-acid esters, and soaps; long-chain (fatty) alcohols and waxes; sphingoids and other long-chain bases; glycolipids, phospholipids and sphingolipids; and carotenes, polyprenols, sterols, terpenes and other isoprenoids."
