"","x"
"1","N0.HOG0008105"
"2","N0.HOG0011614"
"3","N0.HOG0011596"
"4","N0.HOG0006318"
"5","N0.HOG0004540"
"6","N0.HOG0008762"
"7","N0.HOG0012484"
"8","N0.HOG0016517"
"9","N0.HOG0012631"
"10","N0.HOG0008842"
"11","N0.HOG0012286"
"12","N0.HOG0008599"
"13","N0.HOG0000730"
"14","N0.HOG0012405"
"15","N0.HOG0002805"
"16","N0.HOG0008869"
"17","N0.HOG0008722"
"18","N0.HOG0006627"
"19","N0.HOG0002858"
"20","N0.HOG0003398"
"21","N0.HOG0004030"
"22","N0.HOG0008744"
"23","N0.HOG0005217"
"24","N0.HOG0007319"
"25","N0.HOG0008850"
"26","N0.HOG0012437"
"27","N0.HOG0008821"
"28","N0.HOG0003467"
"29","N0.HOG0008885"
"30","N0.HOG0006504"
"31","N0.HOG0008706"
"32","N0.HOG0008749"
"33","N0.HOG0008822"
"34","N0.HOG0012658"
"35","N0.HOG0008689"
"36","N0.HOG0006576"
"37","N0.HOG0008795"
"38","N0.HOG0002869"
"39","N0.HOG0008554"
"40","N0.HOG0004696"
"41","N0.HOG0008810"
"42","N0.HOG0008610"
"43","N0.HOG0003427"
"44","N0.HOG0005453"
"45","N0.HOG0008612"
"46","N0.HOG0012832"
"47","N0.HOG0016701"
"48","N0.HOG0002056"
"49","N0.HOG0016813"
"50","N0.HOG0004013"
"51","N0.HOG0006619"
"52","N0.HOG0008573"
"53","N0.HOG0006629"
"54","N0.HOG0012916"
"55","N0.HOG0008684"
"56","N0.HOG0004683"
"57","N0.HOG0002920"
"58","N0.HOG0008707"
"59","N0.HOG0008634"
"60","N0.HOG0002890"
"61","N0.HOG0008568"
"62","N0.HOG0008487"
"63","N0.HOG0008489"
"64","N0.HOG0008546"
"65","N0.HOG0012197"
"66","N0.HOG0008830"
"67","N0.HOG0008622"
"68","N0.HOG0006633"
"69","N0.HOG0012409"
"70","N0.HOG0016612"
"71","N0.HOG0008557"
"72","N0.HOG0008565"
"73","N0.HOG0003414"
"74","N0.HOG0008877"
"75","N0.HOG0012419"
"76","N0.HOG0016642"
"77","N0.HOG0011195"
"78","N0.HOG0008595"
"79","N0.HOG0005386"
"80","N0.HOG0008828"
"81","N0.HOG0008758"
"82","N0.HOG0005434"
"83","N0.HOG0004646"
"84","N0.HOG0008520"
"85","N0.HOG0006646"
"86","N0.HOG0012641"
"87","N0.HOG0006561"
"88","N0.HOG0002879"
"89","N0.HOG0005396"
"90","N0.HOG0008814"
"91","N0.HOG0005470"
"92","N0.HOG0016719"
"93","N0.HOG0016633"
"94","N0.HOG0012378"
"95","N0.HOG0008709"
"96","N0.HOG0006487"
"97","N0.HOG0016654"
"98","N0.HOG0012562"
"99","N0.HOG0008798"
"100","N0.HOG0008467"
"101","N0.HOG0003448"
"102","N0.HOG0006632"
"103","N0.HOG0008556"
"104","N0.HOG0008592"
"105","N0.HOG0008874"
"106","N0.HOG0006580"
"107","N0.HOG0008757"
"108","N0.HOG0008809"
"109","N0.HOG0012239"
"110","N0.HOG0008498"
"111","N0.HOG0008783"
"112","N0.HOG0016539"
"113","N0.HOG0012183"
"114","N0.HOG0008645"
"115","N0.HOG0012718"
"116","N0.HOG0012429"
"117","N0.HOG0002868"
"118","N0.HOG0006598"
"119","N0.HOG0012309"
"120","N0.HOG0012729"
"121","N0.HOG0012823"
"122","N0.HOG0002443"
"123","N0.HOG0008495"
"124","N0.HOG0008765"
"125","N0.HOG0008760"
"126","N0.HOG0008549"
"127","N0.HOG0008711"
"128","N0.HOG0012569"
"129","N0.HOG0002077"
"130","N0.HOG0008808"
"131","N0.HOG0008509"
"132","N0.HOG0008561"
"133","N0.HOG0008476"
"134","N0.HOG0016797"
"135","N0.HOG0008883"
"136","N0.HOG0008797"
"137","N0.HOG0008819"
"138","N0.HOG0012348"
"139","N0.HOG0006549"
"140","N0.HOG0016197"
"141","N0.HOG0008559"
"142","N0.HOG0003378"
"143","N0.HOG0008751"
"144","N0.HOG0008676"
"145","N0.HOG0008560"
"146","N0.HOG0008507"
"147","N0.HOG0006467"
"148","N0.HOG0004632"
"149","N0.HOG0004650"
"150","N0.HOG0008818"
"151","N0.HOG0008479"
"152","N0.HOG0005409"
"153","N0.HOG0008598"
"154","N0.HOG0008607"
"155","N0.HOG0006588"
"156","N0.HOG0008562"
"157","N0.HOG0000900"
"158","N0.HOG0008529"
"159","N0.HOG0008530"
"160","N0.HOG0008740"
"161","N0.HOG0005472"
"162","N0.HOG0008720"
"163","N0.HOG0008589"
"164","N0.HOG0012728"
"165","N0.HOG0008450"
"166","N0.HOG0008571"
"167","N0.HOG0016476"
"168","N0.HOG0008436"
"169","N0.HOG0002038"
"170","N0.HOG0008817"
"171","N0.HOG0008719"
"172","N0.HOG0008664"
"173","N0.HOG0001793"
"174","N0.HOG0002896"
"175","N0.HOG0016573"
"176","N0.HOG0002423"
"177","N0.HOG0003988"
"178","N0.HOG0008688"
"179","N0.HOG0006719"
"180","N0.HOG0012772"
"181","N0.HOG0013177"
"182","N0.HOG0003441"
"183","N0.HOG0004686"
"184","N0.HOG0006733"
"185","N0.HOG0008991"
"186","N0.HOG0001502"
"187","N0.HOG0008110"
"188","N0.HOG0013179"
"189","N0.HOG0013137"
"190","N0.HOG0017092"
"191","N0.HOG0000342"
"192","N0.HOG0012588"
"193","N0.HOG0005513"
"194","N0.HOG0000985"
"195","N0.HOG0013171"
"196","N0.HOG0013173"
"197","N0.HOG0016616"
"198","N0.HOG0006716"
"199","N0.HOG0003293"
"200","N0.HOG0012209"
"201","N0.HOG0013200"
"202","N0.HOG0013124"
"203","N0.HOG0008805"
"204","N0.HOG0000612"
"205","N0.HOG0005730"
"206","N0.HOG0009821"
"207","N0.HOG0001801"
"208","N0.HOG0009653"
"209","N0.HOG0009662"
"210","N0.HOG0009730"
"211","N0.HOG0004808"
"212","N0.HOG0017994"
"213","N0.HOG0009687"
"214","N0.HOG0002410"
"215","N0.HOG0004931"
"216","N0.HOG0009752"
"217","N0.HOG0004512"
"218","N0.HOG0009740"
"219","N0.HOG0002428"
"220","N0.HOG0009832"
"221","N0.HOG0014405"
"222","N0.HOG0009718"
"223","N0.HOG0009812"
"224","N0.HOG0005726"
"225","N0.HOG0000154"
"226","N0.HOG0009715"
"227","N0.HOG0000719"
"228","N0.HOG0009758"
"229","N0.HOG0004914"
"230","N0.HOG0000908"
"231","N0.HOG0009890"
"232","N0.HOG0014466"
"233","N0.HOG0009898"
"234","N0.HOG0009661"
"235","N0.HOG0009782"
"236","N0.HOG0009845"
"237","N0.HOG0009780"
"238","N0.HOG0014260"
"239","N0.HOG0014455"
