"","GO.ID","Term","Annotated","Significant","Expected","weight01","Ontology"
"1","GO:0009908","flower development",301,30,20.46,0.00034,"BP"
"2","GO:0033611","oxalate catabolic process",2,2,0.14,0.00461,"BP"
"3","GO:0010077","maintenance of inflorescence meristem id...",2,2,0.14,0.00461,"BP"
"4","GO:0009695","jasmonic acid biosynthetic process",11,4,0.75,0.00475,"BP"
"5","GO:0016567","protein ubiquitination",509,49,34.6,0.00673,"BP"
"6","GO:0090333","regulation of stomatal closure",26,6,1.77,0.00688,"BP"
"7","GO:0071244","cellular response to carbon dioxide",7,3,0.48,0.0089,"BP"
"8","GO:0006457","protein folding",184,21,12.51,0.01115,"BP"
"9","GO:0080119","ER body organization",3,2,0.2,0.01322,"BP"
"10","GO:0048026","positive regulation of mRNA splicing, vi...",3,2,0.2,0.01322,"BP"
"11","GO:0019676","ammonia assimilation cycle",3,2,0.2,0.01322,"BP"
"12","GO:0120161","regulation of cold-induced thermogenesis",3,2,0.2,0.01322,"BP"
"13","GO:0006107","oxaloacetate metabolic process",3,2,0.2,0.01322,"BP"
"14","GO:0015803","branched-chain amino acid transport",3,2,0.2,0.01322,"BP"
"15","GO:0010343","singlet oxygen-mediated programmed cell ...",8,3,0.54,0.01353,"BP"
"16","GO:1902476","chloride transmembrane transport",9,3,0.61,0.01928,"BP"
"17","GO:0006108","malate metabolic process",16,4,1.09,0.01997,"BP"
"18","GO:0016571","histone methylation",40,5,2.72,0.02002,"BP"
"19","GO:0042631","cellular response to water deprivation",24,5,1.63,0.02063,"BP"
"20","GO:0010228","vegetative to reproductive phase transit...",146,18,9.92,0.02133,"BP"
"21","GO:0009585","red, far-red light phototransduction",25,5,1.7,0.02438,"BP"
"22","GO:0007623","circadian rhythm",87,14,5.91,0.02504,"BP"
"23","GO:0019827","stem cell population maintenance",45,6,3.06,0.02518,"BP"
"24","GO:0007399","nervous system development",33,4,2.24,0.02525,"BP"
"25","GO:0097054","L-glutamate biosynthetic process",4,2,0.27,0.02525,"BP"
"26","GO:0006621","protein retention in ER lumen",4,2,0.27,0.02525,"BP"
"27","GO:0046740","transport of virus in host, cell to cell",4,2,0.27,0.02525,"BP"
"28","GO:0046506","sulfolipid biosynthetic process",4,2,0.27,0.02525,"BP"
"29","GO:0010960","magnesium ion homeostasis",4,2,0.27,0.02525,"BP"
"30","GO:0048262","determination of dorsal/ventral asymmetr...",4,2,0.27,0.02525,"BP"
"31","GO:0099175","regulation of postsynapse organization",4,2,0.27,0.02525,"BP"
"32","GO:0006879","intracellular iron ion homeostasis",25,6,1.7,0.02601,"BP"
"33","GO:2000067","regulation of root morphogenesis",10,3,0.68,0.02617,"BP"
"34","GO:0098734","macromolecule depalmitoylation",10,3,0.68,0.02617,"BP"
"35","GO:0030244","cellulose biosynthetic process",55,9,3.74,0.03063,"BP"
"36","GO:2000024","regulation of leaf development",27,5,1.84,0.03315,"BP"
"37","GO:0032922","circadian regulation of gene expression",11,3,0.75,0.03421,"BP"
"38","GO:0031146","SCF-dependent proteasomal ubiquitin-depe...",37,6,2.51,0.03692,"BP"
"39","GO:0009880","embryonic pattern specification",12,3,0.82,0.04015,"BP"
"40","GO:0033500","carbohydrate homeostasis",17,3,1.16,0.04018,"BP"
"41","GO:0080006","internode patterning",5,2,0.34,0.0402,"BP"
