"","GOID","GOTERM","ONTOLOGY","HOGs_with_GO_COUNT","HOGs_with_GO","TOTAL_COUNT.all_GO_ID","TOTAL_COUNT.Freq","Ta_COUNT.Var1","Ta_COUNT.Freq","Os_COUNT.Var1","Os_COUNT.Freq","Ms_COUNT.Var1","Ms_COUNT.Freq","Sb_COUNT.Var1","Sb_COUNT.Freq","Zm_COUNT.Var1","Zm_COUNT.Freq","DEFINITION"
"1","GO:0006811","monoatomic ion transport","BP",28,"N0.HOG0004908 N0.HOG0007749 N0.HOG0000900 N0.HOG0005497 N0.HOG0003887 N0.HOG0016402 N0.HOG0009558 N0.HOG0006633 N0.HOG0013676 N0.HOG0007992 N0.HOG0008105 N0.HOG0005640 N0.HOG0000049 N0.HOG0008664 N0.HOG0003260 N0.HOG0000520 N0.HOG0007764 N0.HOG0016197 N0.HOG0010861 N0.HOG0007659 N0.HOG0002009 N0.HOG0005694 N0.HOG0013624 N0.HOG0002423 N0.HOG0003293 N0.HOG0002509 N0.HOG0002987 N0.HOG0006719","GO:0006811",256,"GO:0006811",69,"GO:0006811",26,"GO:0006811",65,"GO:0006811",36,"GO:0006811",60,"The directed movement of a monoatomic ion into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. Monatomic ions (also called simple ions) are ions consisting of exactly one atom."
"2","GO:0034765","regulation of monoatomic ion transmembrane transport","BP",1,"N0.HOG0008105","GO:0034765",9,"GO:0034765",3,"GO:0034765",1,"GO:0034765",2,"GO:0034765",1,"GO:0034765",2,"Any process that modulates the frequency, rate or extent of the directed movement of ions from one side of a membrane to the other."
"3","GO:0055085","transmembrane transport","BP",40,"N0.HOG0008719 N0.HOG0002207 N0.HOG0007749 N0.HOG0002734 N0.HOG0017639 N0.HOG0015635 N0.HOG0016402 N0.HOG0007992 N0.HOG0008105 N0.HOG0002787 N0.HOG0008565 N0.HOG0005640 N0.HOG0012419 N0.HOG0002402 N0.HOG0008664 N0.HOG0014164 N0.HOG0012569 N0.HOG0007902 N0.HOG0010638 N0.HOG0003768 N0.HOG0000342 N0.HOG0002879 N0.HOG0007896 N0.HOG0008689 N0.HOG0009737 N0.HOG0007764 N0.HOG0005076 N0.HOG0013894 N0.HOG0007784 N0.HOG0007732 N0.HOG0005396 N0.HOG0007659 N0.HOG0005694 N0.HOG0013624 N0.HOG0009284 N0.HOG0015661 N0.HOG0008088 N0.HOG0000208 N0.HOG0001823 N0.HOG0004728","GO:0055085",321,"GO:0055085",90,"GO:0055085",37,"GO:0055085",71,"GO:0055085",40,"GO:0055085",83,"The process in which a solute is transported across a lipid bilayer, from one side of a membrane to the other."
"4","GO:0098655","monoatomic cation transmembrane transport","BP",5,"N0.HOG0008105 N0.HOG0008565 N0.HOG0003260 N0.HOG0007896 N0.HOG0002009","GO:0098655",37,"GO:0098655",11,"GO:0098655",5,"GO:0098655",9,"GO:0098655",4,"GO:0098655",8,"The process in which a monoatomic cation is transported across a membrane. Monatomic cations (also called simple cations) are positively charged ions consisting of exactly one atom."
"5","GO:0006412","translation","BP",18,"N0.HOG0008814 N0.HOG0010031 N0.HOG0001759 N0.HOG0008758 N0.HOG0008923 N0.HOG0008312 N0.HOG0002773 N0.HOG0011790 N0.HOG0013171 N0.HOG0017994 N0.HOG0011358 N0.HOG0011614 N0.HOG0006840 N0.HOG0015172 N0.HOG0010086 N0.HOG0008110 N0.HOG0009279 N0.HOG0003527","GO:0006412",157,"GO:0006412",40,"GO:0006412",18,"GO:0006412",38,"GO:0006412",18,"GO:0006412",43,"The cellular metabolic process in which a protein is formed, using the sequence of a mature mRNA or circRNA molecule to specify the sequence of amino acids in a polypeptide chain. Translation is mediated by the ribosome, and begins with the formation of a ternary complex between aminoacylated initiator methionine tRNA, GTP, and initiation factor 2, which subsequently associates with the small subunit of the ribosome and an mRNA or circRNA. Translation ends with the release of a polypeptide chain from the ribosome."
"6","GO:0006414","translational elongation","BP",5,"N0.HOG0009649 N0.HOG0011790 N0.HOG0011614 N0.HOG0006840 N0.HOG0015172","GO:0006414",41,"GO:0006414",10,"GO:0006414",5,"GO:0006414",9,"GO:0006414",5,"GO:0006414",12,"The successive addition of amino acid residues to a nascent polypeptide chain during protein biosynthesis."
"7","GO:0045050","protein insertion into ER membrane by stop-transfer membrane-anchor sequence","BP",1,"N0.HOG0011596","GO:0045050",7,"GO:0045050",1,"GO:0045050",1,"GO:0045050",2,"GO:0045050",1,"GO:0045050",2,"A process of protein insertion into the endoplasmic reticulum (ER) membrane in which stop-transfer membrane-anchor sequences become an ER membrane spanning helix."
"8","GO:0071816","tail-anchored membrane protein insertion into ER membrane","BP",1,"N0.HOG0011596","GO:0071816",7,"GO:0071816",1,"GO:0071816",1,"GO:0071816",2,"GO:0071816",1,"GO:0071816",2,"A process of protein insertion into the endoplasmic reticulum (ER) membrane in which a tail-anchored (TA) transmembrane protein is incorporated into an endoplasmic reticulum (ER) membrane. TA transmembrane protein, also named type II transmembrane proteins, contain a single C- terminal transmembrane region."
"9","GO:0009658","chloroplast organization","BP",7,"N0.HOG0016517 N0.HOG0007761 N0.HOG0007495 N0.HOG0012405 N0.HOG0019394 N0.HOG0006318 N0.HOG0009323","GO:0009658",57,"GO:0009658",16,"GO:0009658",7,"GO:0009658",14,"GO:0009658",7,"GO:0009658",13,"A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of the chloroplast."
"10","GO:0072598","protein localization to chloroplast","BP",1,"N0.HOG0006318","GO:0072598",10,"GO:0072598",3,"GO:0072598",1,"GO:0072598",3,"GO:0072598",1,"GO:0072598",2,"A process in which a protein is transported to, or maintained at, a location in a chloroplast."
