TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	Representative
"GO:0000103"	"sulfate assimilation"	1	4.614992075826426	0.10156701278519879	0.9563161258332863	0.48363934	null
"GO:0000165"	"MAPK cascade"	2	4.761950379071654	0.14246691110973742	0.8588402128071748	0.45634702	null
"GO:0019722"	"calcium-mediated signaling"	1	4.8044120591377135	0.15710007347883384	0.857865598539313	0.73675104	165
"GO:0005975"	"carbohydrate metabolic process"	7	6.335775531602232	5.3400641443698875	0.9465354534227138	0.15163831	null
"GO:0005985"	"sucrose metabolic process"	1	4.526830166234526	0.0829064649838801	0.928854251766739	0.44424972	null
"GO:0005986"	"sucrose biosynthetic process"	1	4.017659274283765	0.02566780409495875	0.9127397009357501	0.80568273	5985
"GO:0006004"	"fucose metabolic process"	2	4.443982303007413	0.06850745293061056	0.9071417508253294	0.43756433	null
"GO:0006006"	"glucose metabolic process"	1	5.289840805972328	0.4804074353520837	0.8927109705816499	0.76516948	6004
"GO:0006094"	"gluconeogenesis"	1	5.018941706382471	0.2574593635823993	0.8735839424308951	0.8548147	6004
"GO:0019853"	"L-ascorbic acid biosynthetic process"	1	4.205366787866476	0.03954675597307597	0.8649096249932279	0.58805761	6004
"GO:0046373"	"L-arabinose metabolic process"	1	4.240249631518799	0.04285443727665141	0.9106074940299991	0.59119807	6004
"GO:0006071"	"glycerol metabolic process"	1	4.8971705673529655	0.19450743498730216	0.8923138496616365	0.4768145	null
"GO:0019563"	"glycerol catabolic process"	1	4.629154656634639	0.10493384785277259	0.8781075769985744	0.92441533	6071
"GO:0006096"	"glycolytic process"	3	5.267000324328207	0.4557945400484291	0.8025323564716771	0.41940643	null
"GO:0000272"	"polysaccharide catabolic process"	3	5.392061750871216	0.6078985852095675	0.8785530330639439	0.76018036	6096
"GO:0006099"	"tricarboxylic acid cycle"	2	5.310716672298482	0.5040640114710979	0.9411395447425496	0.67254395	6096
"GO:0006182"	"cGMP biosynthetic process"	1	4.322115878973959	0.05174475505757287	0.8717603368773611	0.559558	6096
"GO:0006734"	"NADH metabolic process"	1	4.744183417541812	0.13675610814372827	0.8827194027308443	0.74050091	6096
"GO:0009767"	"photosynthetic electron transport chain"	1	4.341909120179768	0.054157735680673	0.9555395006351953	0.5563479	6096
"GO:0019363"	"pyridine nucleotide biosynthetic process"	1	5.0323971254889805	0.26556096451000916	0.8561436119552535	0.78132796	6096
"GO:0019365"	"pyridine nucleotide salvage"	1	4.006123606211855	0.024994930029477305	0.878456068761507	0.7859874	6096
"GO:0022900"	"electron transport chain"	1	5.522415540430557	0.8207017864535318	0.9450759110856776	0.71173304	6096
"GO:0046835"	"carbohydrate phosphorylation"	1	5.1507349547961985	0.3487410156523817	0.8972309124862581	0.50200959	6096
"GO:0061615"	"glycolytic process through fructose-6-phosphate"	1	4.350325563996703	0.05521757395231043	0.8311762733671327	0.8323873	6096
"GO:0006108"	"malate metabolic process"	3	4.506396783530457	0.07909597668631853	0.9217149565546587	0.05769476	null
"GO:0006107"	"oxaloacetate metabolic process"	2	4.402622427748527	0.06228398400994887	0.9230315295374497	0.59061727	6108
"GO:0033611"	"oxalate catabolic process"	1	3.4404367661057735	0.006792823899145988	0.916751781142825	0.51243538	6108
"GO:0046417"	"chorismate metabolic process"	1	4.968011039108611	0.22896943199668504	0.9152706020831023	0.64877326	6108
"GO:0006260"	"DNA replication"	2	5.781032624416109	1.488685807444442	0.9033179992280823	0.21165279	null
"GO:0006270"	"DNA replication initiation"	1	4.8795431388061425	0.18677061560434888	0.919066128049074	0.51775537	6260
"GO:0006325"	"chromatin organization"	3	5.734825422616354	1.3384303174082528	0.9293852555636286	0.4063955	null
"GO:0006338"	"chromatin remodeling"	2	5.677124946923196	1.1719124717528453	0.9297840199960353	0.94045196	6325
"GO:0016043"	"cellular component organization"	1	6.699223992323687	12.33090773324058	0.9339648994877894	0.51580146	6325
"GO:0040029"	"epigenetic regulation of gene expression"	1	4.772086889479079	0.14583128143714463	0.8763595704499977	0.7597234	6325
"GO:0045814"	"negative regulation of gene expression, epigenetic"	1	4.713910354128956	0.12754783888131557	0.858158357768959	0.75045298	6325
"GO:0051382"	"kinetochore assembly"	1	4.077186154085897	0.029438856549854744	0.9326543870399884	0.66203517	6325
"GO:0080188"	"gene silencing by RNA-directed DNA methylation"	1	3.6339731557896737	0.010608241677040758	0.8778382254927777	0.82461605	6325
"GO:0006413"	"translational initiation"	1	5.284241182165405	0.4742529791560868	0.8896195004172376	0.37832162	null
