TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	Representative
"GO:0000145"	"exocyst"	2	4.520627618619296	0.08239479221181366	0.8257573386651481	0.19052614	null
"GO:0000325"	"plant-type vacuole"	2	4.213916009644023	0.04066068696484073	0.804497965675289	0.13280054	null
"GO:0000421"	"autophagosome membrane"	1	4.228246326255246	0.04202482269838372	0.6983349080920159	0.65865873	325
"GO:0005764"	"lysosome"	1	5.383059179201956	0.6002644485206731	0.759711016407424	0.65697688	325
"GO:0005765"	"lysosomal membrane"	1	5.035841822172261	0.26985039878731565	0.6561044104675562	0.85178531	325
"GO:0001673"	"male germ cell nucleus"	1	3.4299136977637543	0.006684016617906476	0.8360702504197768	0.1163509	null
"GO:0005575"	"cellular_component"	2	7.604714769821186	100	1	-0	null
"GO:0005576"	"extracellular region"	9	6.192286102188137	3.8687535442060237	0.9999164107002521	4.598E-05	null
"GO:0005634"	"nucleus"	59	6.822624306696733	16.5161752456724	0.7074440060782706	0.35145602	null
"GO:0043231"	"intracellular membrane-bounded organelle"	3	7.079705376423831	29.853178741885195	0.6905852830381793	0.54368596	5634
"GO:0005677"	"chromatin silencing complex"	1	3.593618308129536	0.009745246533616803	0.7852224787846288	0.38761376	null
"GO:0005737"	"cytoplasm"	37	7.238956814544198	43.076660800468886	0.888698863151965	0.08291202	null
"GO:0005739"	"mitochondrion"	3	6.2910814460391355	4.856981674016684	0.7432982904889285	0.2503098	null
"GO:0005777"	"peroxisome"	2	5.478403424196616	0.7476308639759881	0.7873356189967988	0.17354881	null
"GO:0005788"	"endoplasmic reticulum lumen"	4	4.677068312644881	0.11812570632538061	0.7056582812642246	0.47469365	null
"GO:0005654"	"nucleoplasm"	2	5.867272394556651	1.830446525605921	0.7333175721867565	0.78714109	5788
"GO:0005730"	"nucleolus"	2	5.688028068374036	1.2114693153196516	0.6588560063760378	0.53910669	5788
"GO:0005794"	"Golgi apparatus"	17	5.975775890758108	2.349961096041566	0.649438687571789	0.19658734	null
"GO:0000139"	"Golgi membrane"	9	5.498663360882215	0.7833344456795933	0.5871765034785024	0.57911412	5794
"GO:0005635"	"nuclear envelope"	2	5.304361254225308	0.5007769610246294	0.6108173306616217	0.55047704	5794
"GO:0005640"	"nuclear outer membrane"	1	3.9233994661587164	0.020827296390814896	0.6210434679341182	0.72227691	5794
"GO:0005643"	"nuclear pore"	2	4.9482515425629385	0.22056260933274582	0.5778068928893096	0.6413006	5794
"GO:0005741"	"mitochondrial outer membrane"	1	5.0711157957665725	0.29268290016350246	0.6174139295437298	0.79928189	5794
"GO:0005743"	"mitochondrial inner membrane"	1	5.680813971027983	1.1915116865185273	0.6053694940722094	0.7525143	5794
