"","x"
"1","N0.HOG0008105"
"2","N0.HOG0011596"
"3","N0.HOG0012484"
"4","N0.HOG0012405"
"5","N0.HOG0008722"
"6","N0.HOG0002858"
"7","N0.HOG0004030"
"8","N0.HOG0003467"
"9","N0.HOG0008749"
"10","N0.HOG0006619"
"11","N0.HOG0008684"
"12","N0.HOG0004683"
"13","N0.HOG0008707"
"14","N0.HOG0008634"
"15","N0.HOG0012409"
"16","N0.HOG0008557"
"17","N0.HOG0008565"
"18","N0.HOG0003414"
"19","N0.HOG0008877"
"20","N0.HOG0005386"
"21","N0.HOG0008467"
"22","N0.HOG0008783"
"23","N0.HOG0016539"
"24","N0.HOG0008645"
"25","N0.HOG0012729"
"26","N0.HOG0012823"
"27","N0.HOG0008711"
"28","N0.HOG0008509"
"29","N0.HOG0008561"
"30","N0.HOG0008476"
"31","N0.HOG0008797"
"32","N0.HOG0012348"
"33","N0.HOG0008559"
"34","N0.HOG0003378"
"35","N0.HOG0008751"
"36","N0.HOG0008818"
"37","N0.HOG0008607"
"38","N0.HOG0006588"
"39","N0.HOG0008562"
"40","N0.HOG0000900"
"41","N0.HOG0008589"
"42","N0.HOG0012728"
"43","N0.HOG0008450"
"44","N0.HOG0008571"
"45","N0.HOG0008436"
"46","N0.HOG0008719"
"47","N0.HOG0002896"
"48","N0.HOG0016573"
"49","N0.HOG0006719"
"50","N0.HOG0003441"
"51","N0.HOG0006733"
"52","N0.HOG0013200"
"53","N0.HOG0009662"
"54","N0.HOG0009687"
"55","N0.HOG0002410"
"56","N0.HOG0009740"
"57","N0.HOG0002428"
"58","N0.HOG0014405"
"59","N0.HOG0009718"
"60","N0.HOG0000154"
"61","N0.HOG0009898"
"62","N0.HOG0009661"
"63","N0.HOG0009782"
"64","N0.HOG0014260"
"65","N0.HOG0014455"
"66","N0.HOG0009909"
"67","N0.HOG0004884"
"68","N0.HOG0009880"
"69","N0.HOG0009810"
"70","N0.HOG0017965"
"71","N0.HOG0002127"
"72","N0.HOG0004488"
"73","N0.HOG0001609"
"74","N0.HOG0009666"
"75","N0.HOG0004879"
"76","N0.HOG0009669"
"77","N0.HOG0004915"
"78","N0.HOG0014594"
"79","N0.HOG0009820"
"80","N0.HOG0003409"
"81","N0.HOG0006316"
"82","N0.HOG0014859"
"83","N0.HOG0004224"
"84","N0.HOG0014893"
"85","N0.HOG0009968"
"86","N0.HOG0002049"
"87","N0.HOG0018279"
"88","N0.HOG0014870"
"89","N0.HOG0002207"
"90","N0.HOG0005093"
"91","N0.HOG0007565"
"92","N0.HOG0010642"
"93","N0.HOG0005109"
"94","N0.HOG0007733"
"95","N0.HOG0002639"
"96","N0.HOG0007605"
"97","N0.HOG0015556"
"98","N0.HOG0010731"
"99","N0.HOG0006045"
"100","N0.HOG0003751"
"101","N0.HOG0007529"
"102","N0.HOG0007619"
"103","N0.HOG0003142"
"104","N0.HOG0007765"
"105","N0.HOG0002249"
"106","N0.HOG0006111"
"107","N0.HOG0006094"
"108","N0.HOG0005157"
"109","N0.HOG0004332"
"110","N0.HOG0007749"
"111","N0.HOG0002270"
"112","N0.HOG0007551"
"113","N0.HOG0007657"
"114","N0.HOG0007742"
"115","N0.HOG0010679"
"116","N0.HOG0007506"
"117","N0.HOG0005999"
"118","N0.HOG0007615"
"119","N0.HOG0007707"
"120","N0.HOG0007728"
"121","N0.HOG0005076"
"122","N0.HOG0007632"
"123","N0.HOG0005118"
"124","N0.HOG0007739"
"125","N0.HOG0007421"
"126","N0.HOG0015795"
"127","N0.HOG0008937"
"128","N0.HOG0008933"
"129","N0.HOG0003887"
"130","N0.HOG0008210"
"131","N0.HOG0008273"
"132","N0.HOG0006443"
"133","N0.HOG0011759"
"134","N0.HOG0008394"
"135","N0.HOG0008195"
"136","N0.HOG0020691"
"137","N0.HOG0000208"
"138","N0.HOG0018515"
"139","N0.HOG0010015"
"140","N0.HOG0010014"
"141","N0.HOG0010089"
"142","N0.HOG0005796"
"143","N0.HOG0018518"
"144","N0.HOG0001853"
"145","N0.HOG0010007"
"146","N0.HOG0000890"
"147","N0.HOG0008316"
"148","N0.HOG0008235"
"149","N0.HOG0006461"
"150","N0.HOG0015205"
"151","N0.HOG0008402"
"152","N0.HOG0000520"
"153","N0.HOG0011823"
"154","N0.HOG0012090"
"155","N0.HOG0004860"
"156","N0.HOG0020661"
"157","N0.HOG0006842"
"158","N0.HOG0005364"
"159","N0.HOG0003895"
"160","N0.HOG0016402"
"161","N0.HOG0015888"
"162","N0.HOG0006143"
"163","N0.HOG0005191"
"164","N0.HOG0007819"
"165","N0.HOG0011155"
"166","N0.HOG0013478"
"167","N0.HOG0005615"
"168","N0.HOG0005611"
"169","N0.HOG0009301"
"170","N0.HOG0009284"
"171","N0.HOG0009309"
"172","N0.HOG0009214"
"173","N0.HOG0003533"
"174","N0.HOG0009322"
"175","N0.HOG0000049"
"176","N0.HOG0003545"
"177","N0.HOG0013469"
"178","N0.HOG0009409"
"179","N0.HOG0004099"
"180","N0.HOG0006835"
"181","N0.HOG0009961"
"182","N0.HOG0014824"
"183","N0.HOG0000837"
"184","N0.HOG0015098"
"185","N0.HOG0005526"
"186","N0.HOG0005521"
"187","N0.HOG0009084"
"188","N0.HOG0003502"
"189","N0.HOG0009054"
"190","N0.HOG0009109"
"191","N0.HOG0009167"
"192","N0.HOG0009101"
"193","N0.HOG0009053"
"194","N0.HOG0008111"
"195","N0.HOG0017598"
"196","N0.HOG0005644"
"197","N0.HOG0005640"
"198","N0.HOG0008972"
"199","N0.HOG0011636"
"200","N0.HOG0008058"
"201","N0.HOG0000361"
"202","N0.HOG0007952"
"203","N0.HOG0007902"
"204","N0.HOG0006283"
"205","N0.HOG0002316"
"206","N0.HOG0007997"
"207","N0.HOG0006209"
"208","N0.HOG0006287"
"209","N0.HOG0011477"
"210","N0.HOG0011630"
"211","N0.HOG0000549"
"212","N0.HOG0009561"
"213","N0.HOG0017620"
"214","N0.HOG0002821"
"215","N0.HOG0009530"
"216","N0.HOG0001975"
"217","N0.HOG0009587"
"218","N0.HOG0005664"
"219","N0.HOG0009496"
"220","N0.HOG0009538"
"221","N0.HOG0000525"
"222","N0.HOG0009499"
"223","N0.HOG0003318"
"224","N0.HOG0003313"
"225","N0.HOG0002509"
"226","N0.HOG0009539"
"227","N0.HOG0014004"
"228","N0.HOG0009010"
"229","N0.HOG0013196"
"230","N0.HOG0002007"
"231","N0.HOG0008989"
"232","N0.HOG0012863"
"233","N0.HOG0006838"
"234","N0.HOG0009737"
"235","N0.HOG0015153"
"236","N0.HOG0010022"
