"","GO.ID","Term","Annotated","Significant","Expected","weight01","Ontology"
"1","GO:0006107","oxaloacetate metabolic process",3,2,0.05,0.00078,"BP"
"2","GO:0006108","malate metabolic process",16,3,0.26,0.00201,"BP"
"3","GO:0006955","immune response",190,5,3.08,0.00375,"BP"
"4","GO:0015783","GDP-fucose transmembrane transport",6,2,0.1,0.00375,"BP"
"5","GO:0006807","nitrogen compound metabolic process",5762,80,93.36,0.00427,"BP"
"6","GO:0052542","defense response by callose deposition",7,2,0.11,0.0052,"BP"
"7","GO:0045487","gibberellin catabolic process",9,2,0.15,0.00872,"BP"
"8","GO:2001006","regulation of cellulose biosynthetic pro...",10,2,0.16,0.01079,"BP"
"9","GO:0048229","gametophyte development",228,5,3.69,0.01085,"BP"
"10","GO:1900425","negative regulation of defense response ...",12,2,0.19,0.01549,"BP"
"11","GO:0016024","CDP-diacylglycerol biosynthetic process",13,2,0.21,0.01812,"BP"
"12","GO:0070588","calcium ion transmembrane transport",35,3,0.57,0.01874,"BP"
"13","GO:0009833","plant-type primary cell wall biogenesis",17,2,0.28,0.03028,"BP"
"14","GO:0071456","cellular response to hypoxia",73,4,1.18,0.03059,"BP"
"15","GO:0009834","plant-type secondary cell wall biogenesi...",60,4,0.97,0.0338,"BP"
"16","GO:0030244","cellulose biosynthetic process",55,5,0.89,0.03529,"BP"
"17","GO:0046856","phosphatidylinositol dephosphorylation",19,2,0.31,0.03728,"BP"
"18","GO:1900150","regulation of defense response to fungus",49,3,0.79,0.0448,"BP"
"19","GO:2000031","regulation of salicylic acid mediated si...",23,2,0.37,0.05289,"BP"
"20","GO:0051726","regulation of cell cycle",127,4,2.06,0.05692,"BP"
"21","GO:0009744","response to sucrose",56,3,0.91,0.06216,"BP"
"22","GO:0006355","regulation of DNA-templated transcriptio...",1412,25,22.88,0.06389,"BP"
"23","GO:0048527","lateral root development",78,4,1.26,0.06516,"BP"
"24","GO:0006284","base-excision repair",26,2,0.42,0.06584,"BP"
"25","GO:0016310","phosphorylation",1035,24,16.77,0.06603,"BP"
"26","GO:0034976","response to endoplasmic reticulum stress",60,3,0.97,0.07008,"BP"
"27","GO:0007166","cell surface receptor signaling pathway",87,4,1.41,0.07278,"BP"
"28","GO:0030245","cellulose catabolic process",28,2,0.45,0.075,"BP"
"29","GO:0006004","fucose metabolic process",28,2,0.45,0.075,"BP"
"30","GO:0031347","regulation of defense response",200,8,3.24,0.07743,"BP"
"31","GO:0072583","clathrin-dependent endocytosis",34,3,0.55,0.07908,"BP"
"32","GO:0002229","defense response to oomycetes",42,3,0.68,0.07917,"BP"
"33","GO:0006952","defense response",963,24,15.6,0.08883,"BP"
"34","GO:0052325","cell wall pectin biosynthetic process",18,2,0.29,0.09301,"BP"
"35","GO:0090697","post-embryonic plant organ morphogenesis",89,3,1.44,0.09308,"BP"
"36","GO:0006099","tricarboxylic acid cycle",35,2,0.57,0.10983,"BP"
"37","GO:0031146","SCF-dependent proteasomal ubiquitin-depe...",37,2,0.6,0.12043,"BP"
"38","GO:0006090","pyruvate metabolic process",81,5,1.31,0.12086,"BP"
"39","GO:0016567","protein ubiquitination",509,12,8.25,0.13507,"BP"
"40","GO:0000165","MAPK cascade",40,2,0.65,0.13678,"BP"
"41","GO:0015995","chlorophyll biosynthetic process",40,2,0.65,0.13678,"BP"
"42","GO:0008219","cell death",141,3,2.28,0.13686,"BP"
"43","GO:0006887","exocytosis",44,2,0.71,0.15928,"BP"
"44","GO:1900457","regulation of brassinosteroid mediated s...",24,2,0.39,0.16392,"BP"
"45","GO:0035556","intracellular signal transduction",350,9,5.67,0.17968,"BP"
"46","GO:0030148","sphingolipid biosynthetic process",22,2,0.36,0.19065,"BP"
"47","GO:0006885","regulation of pH",25,2,0.41,0.1907,"BP"
"48","GO:0009826","unidimensional cell growth",144,7,2.33,0.1946,"BP"
"49","GO:1900424","regulation of defense response to bacter...",46,4,0.75,0.20218,"BP"
"50","GO:0072657","protein localization to membrane",81,4,1.31,0.20272,"BP"
"51","GO:0009932","cell tip growth",75,3,1.22,0.20357,"BP"
"52","GO:0090150","establishment of protein localization to...",67,3,1.09,0.21628,"BP"
"53","GO:0006096","glycolytic process",63,3,1.02,0.22237,"BP"
"54","GO:0006694","steroid biosynthetic process",56,3,0.91,0.22872,"BP"
"55","GO:0048856","anatomical structure development",1841,30,29.83,0.23085,"BP"
"56","GO:0098655","monoatomic cation transmembrane transpor...",253,9,4.1,0.24072,"BP"
"57","GO:0006665","sphingolipid metabolic process",42,3,0.68,0.24088,"BP"
