"","x"
"1","N0.HOG0003291"
"2","N0.HOG0019298"
"3","N0.HOG0006526"
"4","N0.HOG0011635"
"5","N0.HOG0011614"
"6","N0.HOG0015655"
"7","N0.HOG0019296"
"8","N0.HOG0006318"
"9","N0.HOG0016132"
"10","N0.HOG0004540"
"11","N0.HOG0016667"
"12","N0.HOG0006585"
"13","N0.HOG0008842"
"14","N0.HOG0021651"
"15","N0.HOG0008599"
"16","N0.HOG0016699"
"17","N0.HOG0008833"
"18","N0.HOG0003471"
"19","N0.HOG0002805"
"20","N0.HOG0008869"
"21","N0.HOG0012300"
"22","N0.HOG0012806"
"23","N0.HOG0006471"
"24","N0.HOG0019631"
"25","N0.HOG0003468"
"26","N0.HOG0006627"
"27","N0.HOG0003398"
"28","N0.HOG0012517"
"29","N0.HOG0012357"
"30","N0.HOG0012437"
"31","N0.HOG0008885"
"32","N0.HOG0016916"
"33","N0.HOG0002881"
"34","N0.HOG0005478"
"35","N0.HOG0016798"
"36","N0.HOG0008822"
"37","N0.HOG0016749"
"38","N0.HOG0012447"
"39","N0.HOG0016549"
"40","N0.HOG0012971"
"41","N0.HOG0008795"
"42","N0.HOG0008554"
"43","N0.HOG0012335"
"44","N0.HOG0004696"
"45","N0.HOG0008810"
"46","N0.HOG0004702"
"47","N0.HOG0005377"
"48","N0.HOG0016657"
"49","N0.HOG0008612"
"50","N0.HOG0016662"
"51","N0.HOG0016701"
"52","N0.HOG0005410"
"53","N0.HOG0016813"
"54","N0.HOG0016515"
"55","N0.HOG0000052"
"56","N0.HOG0008573"
"57","N0.HOG0016707"
"58","N0.HOG0012176"
"59","N0.HOG0003421"
"60","N0.HOG0016483"
"61","N0.HOG0002890"
"62","N0.HOG0005485"
"63","N0.HOG0000971"
"64","N0.HOG0012197"
"65","N0.HOG0016733"
"66","N0.HOG0004660"
"67","N0.HOG0004685"
"68","N0.HOG0006633"
"69","N0.HOG0019731"
"70","N0.HOG0016612"
"71","N0.HOG0012548"
"72","N0.HOG0019564"
"73","N0.HOG0001753"
"74","N0.HOG0002233"
"75","N0.HOG0012812"
"76","N0.HOG0012419"
"77","N0.HOG0002897"
"78","N0.HOG0011195"
"79","N0.HOG0012698"
"80","N0.HOG0008828"
"81","N0.HOG0008758"
"82","N0.HOG0006499"
"83","N0.HOG0008520"
"84","N0.HOG0012398"
"85","N0.HOG0012641"
"86","N0.HOG0000265"
"87","N0.HOG0008508"
"88","N0.HOG0008824"
"89","N0.HOG0008814"
"90","N0.HOG0012912"
"91","N0.HOG0005470"
"92","N0.HOG0003931"
"93","N0.HOG0006517"
"94","N0.HOG0012256"
"95","N0.HOG0006625"
"96","N0.HOG0012820"
"97","N0.HOG0012420"
"98","N0.HOG0016822"
"99","N0.HOG0016838"
"100","N0.HOG0016719"
"101","N0.HOG0016633"
"102","N0.HOG0012313"
"103","N0.HOG0016654"
"104","N0.HOG0012201"
"105","N0.HOG0008798"
"106","N0.HOG0003946"
"107","N0.HOG0012885"
"108","N0.HOG0003448"
"109","N0.HOG0006632"
"110","N0.HOG0008667"
"111","N0.HOG0008556"
"112","N0.HOG0008592"
"113","N0.HOG0008874"
"114","N0.HOG0012387"
"115","N0.HOG0012485"
"116","N0.HOG0003986"
"117","N0.HOG0012749"
"118","N0.HOG0006580"
"119","N0.HOG0004659"
"120","N0.HOG0003970"
"121","N0.HOG0016674"
"122","N0.HOG0012450"
"123","N0.HOG0003994"
"124","N0.HOG0016655"
"125","N0.HOG0006522"
"126","N0.HOG0012898"
"127","N0.HOG0012503"
"128","N0.HOG0016683"
"129","N0.HOG0012939"
"130","N0.HOG0012339"
"131","N0.HOG0019598"
"132","N0.HOG0006486"
"133","N0.HOG0016534"
"134","N0.HOG0016831"
"135","N0.HOG0003389"
"136","N0.HOG0016551"
"137","N0.HOG0001140"
"138","N0.HOG0012429"
"139","N0.HOG0019513"
"140","N0.HOG0016608"
"141","N0.HOG0006598"
"142","N0.HOG0012483"
"143","N0.HOG0012616"
"144","N0.HOG0002443"
"145","N0.HOG0008495"
"146","N0.HOG0008765"
"147","N0.HOG0008803"
"148","N0.HOG0003948"
"149","N0.HOG0016710"
"150","N0.HOG0008760"
"151","N0.HOG0019610"
"152","N0.HOG0005476"
"153","N0.HOG0012569"
"154","N0.HOG0008808"
"155","N0.HOG0012297"
"156","N0.HOG0012566"
"157","N0.HOG0012908"
"158","N0.HOG0012203"
"159","N0.HOG0019508"
"160","N0.HOG0012564"
"161","N0.HOG0019590"
"162","N0.HOG0001787"
"163","N0.HOG0016197"
"164","N0.HOG0012465"
"165","N0.HOG0012708"
"166","N0.HOG0003984"
"167","N0.HOG0008866"
"168","N0.HOG0016555"
"169","N0.HOG0003203"
"170","N0.HOG0008451"
"171","N0.HOG0019697"
"172","N0.HOG0012668"
"173","N0.HOG0008030"
"174","N0.HOG0012921"
"175","N0.HOG0016745"
"176","N0.HOG0012940"
"177","N0.HOG0008479"
"178","N0.HOG0012344"
"179","N0.HOG0008598"
"180","N0.HOG0006653"
"181","N0.HOG0012349"
"182","N0.HOG0016698"
"183","N0.HOG0008720"
"184","N0.HOG0012866"
"185","N0.HOG0012815"
"186","N0.HOG0008694"
"187","N0.HOG0012270"
"188","N0.HOG0016681"
"189","N0.HOG0012928"
"190","N0.HOG0008466"
"191","N0.HOG0012565"
"192","N0.HOG0012606"
"193","N0.HOG0002038"
"194","N0.HOG0008817"
"195","N0.HOG0003968"
"196","N0.HOG0006477"
"197","N0.HOG0012622"
"198","N0.HOG0008664"
"199","N0.HOG0016736"
"200","N0.HOG0016585"
"201","N0.HOG0012346"
"202","N0.HOG0012870"
"203","N0.HOG0012774"
"204","N0.HOG0012962"
"205","N0.HOG0017119"
"206","N0.HOG0016828"
"207","N0.HOG0008688"
"208","N0.HOG0019875"
"209","N0.HOG0017144"
"210","N0.HOG0001502"
"211","N0.HOG0017114"
"212","N0.HOG0011330"
"213","N0.HOG0013137"
"214","N0.HOG0009013"
"215","N0.HOG0017073"
"216","N0.HOG0002666"
"217","N0.HOG0012588"
"218","N0.HOG0019853"
"219","N0.HOG0005513"
"220","N0.HOG0006679"
"221","N0.HOG0013171"
"222","N0.HOG0013173"
"223","N0.HOG0017107"
"224","N0.HOG0002905"
"225","N0.HOG0012983"
"226","N0.HOG0006707"
"227","N0.HOG0019897"
"228","N0.HOG0003487"
"229","N0.HOG0006727"
"230","N0.HOG0021874"
"231","N0.HOG0005343"
"232","N0.HOG0013125"
"233","N0.HOG0013156"
"234","N0.HOG0006716"
"235","N0.HOG0013166"
"236","N0.HOG0003293"
"237","N0.HOG0012209"
"238","N0.HOG0011676"
"239","N0.HOG0000081"
"240","N0.HOG0006328"
"241","N0.HOG0002948"
"242","N0.HOG0017134"
"243","N0.HOG0019837"
"244","N0.HOG0019826"
"245","N0.HOG0012887"
"246","N0.HOG0017143"
"247","N0.HOG0009009"
"248","N0.HOG0012456"
"249","N0.HOG0008992"
"250","N0.HOG0009821"
"251","N0.HOG0003399"
"252","N0.HOG0014282"
"253","N0.HOG0001801"
"254","N0.HOG0014740"
"255","N0.HOG0009653"
"256","N0.HOG0018019"
"257","N0.HOG0014392"
"258","N0.HOG0014694"
"259","N0.HOG0007041"
"260","N0.HOG0009730"
"261","N0.HOG0009765"
"262","N0.HOG0004808"
"263","N0.HOG0009826"
"264","N0.HOG0017854"
"265","N0.HOG0017949"
"266","N0.HOG0018071"
"267","N0.HOG0004906"
"268","N0.HOG0004931"
"269","N0.HOG0009752"
"270","N0.HOG0004923"
"271","N0.HOG0018046"
"272","N0.HOG0014617"
"273","N0.HOG0014271"
"274","N0.HOG0014496"
"275","N0.HOG0014677"
"276","N0.HOG0009832"
"277","N0.HOG0004103"
"278","N0.HOG0004186"
"279","N0.HOG0001206"
"280","N0.HOG0014557"
"281","N0.HOG0009710"
"282","N0.HOG0014287"
"283","N0.HOG0014265"
"284","N0.HOG0009758"
"285","N0.HOG0014609"
"286","N0.HOG0000908"
"287","N0.HOG0000682"
"288","N0.HOG0004168"
"289","N0.HOG0014534"
"290","N0.HOG0014466"
"291","N0.HOG0014688"
"292","N0.HOG0017874"
"293","N0.HOG0022164"
"294","N0.HOG0020293"
"295","N0.HOG0002505"
"296","N0.HOG0001961"
"297","N0.HOG0017891"
"298","N0.HOG0009780"
"299","N0.HOG0005747"
"300","N0.HOG0014421"
"301","N0.HOG0004883"
"302","N0.HOG0003012"
"303","N0.HOG0014461"
"304","N0.HOG0014579"
"305","N0.HOG0014425"
"306","N0.HOG0020374"
"307","N0.HOG0007027"
"308","N0.HOG0003556"
"309","N0.HOG0002116"
"310","N0.HOG0014362"
"311","N0.HOG0009808"
"312","N0.HOG0014467"
"313","N0.HOG0020330"
"314","N0.HOG0005709"
"315","N0.HOG0014565"
"316","N0.HOG0007044"
"317","N0.HOG0009891"
"318","N0.HOG0002131"
"319","N0.HOG0001772"
"320","N0.HOG0004172"
"321","N0.HOG0001575"
"322","N0.HOG0009790"
"323","N0.HOG0014263"
"324","N0.HOG0001307"
"325","N0.HOG0003029"
"326","N0.HOG0014375"
"327","N0.HOG0003898"
"328","N0.HOG0009915"
"329","N0.HOG0009873"
"330","N0.HOG0014417"
"331","N0.HOG0014649"
"332","N0.HOG0009816"
"333","N0.HOG0018050"
"334","N0.HOG0014581"
"335","N0.HOG0005736"
"336","N0.HOG0018034"
"337","N0.HOG0009794"
"338","N0.HOG0014574"
"339","N0.HOG0004908"
"340","N0.HOG0009711"
"341","N0.HOG0004901"
"342","N0.HOG0014630"
"343","N0.HOG0017894"
"344","N0.HOG0005721"
"345","N0.HOG0009842"
"346","N0.HOG0020318"
"347","N0.HOG0014606"
"348","N0.HOG0009728"
"349","N0.HOG0009903"
"350","N0.HOG0003676"
"351","N0.HOG0009876"
"352","N0.HOG0009572"
"353","N0.HOG0003607"
"354","N0.HOG0002094"
"355","N0.HOG0018039"
"356","N0.HOG0014582"
"357","N0.HOG0003453"
"358","N0.HOG0014285"
"359","N0.HOG0014349"
"360","N0.HOG0017900"
"361","N0.HOG0018028"
"362","N0.HOG0017841"
"363","N0.HOG0020279"
"364","N0.HOG0014398"
"365","N0.HOG0009716"
"366","N0.HOG0022175"
"367","N0.HOG0020325"
"368","N0.HOG0009713"
"369","N0.HOG0014410"
"370","N0.HOG0002442"
"371","N0.HOG0009719"
"372","N0.HOG0009397"
"373","N0.HOG0017294"
"374","N0.HOG0010353"
"375","N0.HOG0005052"
"376","N0.HOG0009693"
"377","N0.HOG0017824"
"378","N0.HOG0002325"
"379","N0.HOG0004541"
"380","N0.HOG0004142"
"381","N0.HOG0012989"
"382","N0.HOG0005789"
"383","N0.HOG0014903"
"384","N0.HOG0013399"
"385","N0.HOG0018265"
"386","N0.HOG0010359"
"387","N0.HOG0001245"
"388","N0.HOG0002418"
"389","N0.HOG0000917"
"390","N0.HOG0014492"
"391","N0.HOG0018249"
"392","N0.HOG0014878"
"393","N0.HOG0009982"
"394","N0.HOG0005460"
"395","N0.HOG0014803"
"396","N0.HOG0014805"
"397","N0.HOG0001176"
"398","N0.HOG0020512"
"399","N0.HOG0005981"
"400","N0.HOG0005982"
"401","N0.HOG0010548"
"402","N0.HOG0010536"
"403","N0.HOG0015759"
"404","N0.HOG0007409"
"405","N0.HOG0015683"
"406","N0.HOG0007317"
"407","N0.HOG0010421"
"408","N0.HOG0010847"
"409","N0.HOG0005105"
"410","N0.HOG0010439"
"411","N0.HOG0001913"
"412","N0.HOG0010934"
"413","N0.HOG0007383"
"414","N0.HOG0007462"
"415","N0.HOG0015489"
"416","N0.HOG0010721"
"417","N0.HOG0007679"
"418","N0.HOG0004398"
"419","N0.HOG0004342"
"420","N0.HOG0007369"
"421","N0.HOG0010663"
"422","N0.HOG0007449"
"423","N0.HOG0007644"
"424","N0.HOG0019048"
"425","N0.HOG0007701"
"426","N0.HOG0015578"
"427","N0.HOG0015588"
"428","N0.HOG0007491"
