TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	Representative
"GO:0000055"	"ribosomal large subunit export from nucleus"	1	4.2326912353484625	0.042115015226671805	0.8427177124621217	0.47380685	null
"GO:0000079"	"regulation of cyclin-dependent protein serine/threonine kinase activity"	1	2.110589710299249	0.00031548674132463224	0.9431985304868815	0.44967237	null
"GO:0000373"	"Group II intron splicing"	2	3.581722159949099	0.009405448475740597	0.8673451110596677	0.4354711	null
"GO:0000919"	"cell plate assembly"	1	2.7708520116421442	0.001451731958126628	0.9222325983880028	0.47630759	null
"GO:0001824"	"blastocyst development"	1	3.5686709780098966	0.009126932836914946	0.9344416855485165	0.41203625	null
"GO:0002376"	"immune system process"	1	5.582608730687733	0.9427113541805001	1	-0	null
"GO:0002926"	"tRNA wobble base 5-methoxycarbonylmethyl-2-thiouridinylation"	1	3.7831886910752575	0.014958508071087444	0.8511791646442186	0.45078305	null
"GO:0001682"	"tRNA 5'-leader removal"	1	4.410321617730682	0.06339804656525148	0.8467915717976636	0.51855765	2926
"GO:0005975"	"carbohydrate metabolic process"	4	6.335775531602232	5.3400641443698875	0.9350954547555893	0.15163831	null
"GO:0006012"	"galactose metabolic process"	1	4.698822319104259	0.12319264300693568	0.9151486398359728	0.38165312	null
"GO:0006071"	"glycerol metabolic process"	1	4.8971705673529655	0.19450743498730216	0.9127011287290062	0.49989178	null
"GO:0006111"	"regulation of gluconeogenesis"	1	3.9934362304976116	0.02427522590083049	0.937240340085944	0.27139997	null
"GO:0006110"	"regulation of glycolytic process"	1	3.780173243642594	0.014854988984090298	0.9275952520340319	0.76429926	6111
"GO:0006283"	"transcription-coupled nucleotide-excision repair"	1	4.3906525472483215	0.06059070751549558	0.8230631407135823	0.33995763	null
"GO:0006325"	"chromatin organization"	8	5.734825422616354	1.3384303174082528	0.8866644093239825	0.01352937	null
"GO:0006334"	"nucleosome assembly"	2	4.625734190996901	0.10411062463712861	0.8893782169236992	0.73682556	6325
"GO:0006338"	"chromatin remodeling"	3	5.677124946923196	1.1719124717528453	0.8873966328107966	0.94045196	6325
"GO:0006368"	"transcription elongation by RNA polymerase II"	1	4.784531708933336	0.1500706345236944	0.8335459887704733	0.7368045	6325
"GO:0006369"	"termination of RNA polymerase II transcription"	1	4.3543581827353215	0.05573270464712956	0.84555139355501	0.59174613	6325
"GO:0031507"	"heterochromatin formation"	1	4.648272167258522	0.10965629001197569	0.8262457147881882	0.77871999	6325
"GO:0032981"	"mitochondrial respiratory chain complex I assembly"	2	4.88160146454071	0.18765792206432438	0.8809391153251035	0.59123793	6325
"GO:0034553"	"mitochondrial respiratory chain complex II assembly"	1	3.878234468675044	0.0186186472184865	0.8977404534032873	0.76233377	6325
"GO:0040029"	"epigenetic regulation of gene expression"	1	4.772086889479079	0.14583128143714463	0.8407139308114119	0.7597234	6325
"GO:0045815"	"transcription initiation-coupled chromatin remodeling"	1	3.2949069106051923	0.004858002868366016	0.7517993831853615	0.57830758	6325
"GO:0048268"	"clathrin coat assembly"	1	4.156549151331781	0.035341909248858605	0.9024274335448081	0.51073394	6325
"GO:0051259"	"protein complex oligomerization"	1	4.97676252326746	0.23363025565172313	0.888895511762423	0.6037274	6325
"GO:0070897"	"transcription preinitiation complex assembly"	1	4.650686272578324	0.11026754557329214	0.7662305597002979	0.83997044	6325
"GO:0080188"	"gene silencing by RNA-directed DNA methylation"	1	3.6339731557896737	0.010608241677040758	0.8499641188766165	0.84025663	6325
"GO:0140673"	"transcription elongation-coupled chromatin remodeling"	1	4.295083059251656	0.04862192926649234	0.7880252800539805	0.88091297	6325
"GO:0006397"	"mRNA processing"	17	5.702442600013585	1.242261085587905	0.8085872367994686	0.01340109	null
"GO:0000184"	"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay"	2	4.592132326020115	0.09635901681317575	0.7517200169266579	0.69825732	6397
"GO:0000349"	"generation of catalytic spliceosome for first transesterification step"	1	3.6562899011913594	0.01116773769485866	0.7984205187281945	0.58669401	6397
"GO:0000387"	"spliceosomal snRNP assembly"	1	4.657915936829955	0.11211856543840777	0.7657044296265774	0.70771653	6397
"GO:0000395"	"mRNA 5'-splice site recognition"	1	3.8332746392905634	0.01678734527470367	0.7925823857159885	0.8360277	6397
"GO:0000398"	"mRNA splicing, via spliceosome"	8	5.504449113243383	0.7874425826454491	0.8130008927664913	0.85713694	6397
"GO:0000460"	"maturation of 5.8S rRNA"	2	4.86423214121635	0.1803006726670273	0.7734129464803092	0.76928013	6397
"GO:0000462"	"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"	1	4.863584547800634	0.18003201598886803	0.7734379464746792	0.76917078	6397
"GO:0000463"	"maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"	3	4.582892505401443	0.09433053565606503	0.7829166996713628	0.72453095	6397
"GO:0000466"	"maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"	2	4.700937239032438	0.12379403960758575	0.7784645531796063	0.74265713	6397
"GO:0000467"	"exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"	1	4.312050351180238	0.050559215037438904	0.7896853039461743	0.8830677	6397
"GO:0000470"	"maturation of LSU-rRNA"	1	4.920384242178358	0.20518715412917427	0.7703776147597949	0.86709529	6397
"GO:0006259"	"DNA metabolic process"	1	6.358490883081258	5.6268046211314795	0.8356345235247203	0.64197718	6397
"GO:0006351"	"DNA-templated transcription"	2	5.918704333688039	2.043972049057794	0.7958358502196198	0.65790945	6397
"GO:0006352"	"DNA-templated transcription initiation"	1	5.506044788232985	0.790341117081369	0.8124890843383108	0.85769554	6397
"GO:0006354"	"DNA-templated transcription elongation"	1	4.899908008871459	0.19573734033043488	0.8327177033472982	0.73948228	6397
"GO:0006364"	"rRNA processing"	10	5.79699316292421	1.5444135826112384	0.7307257426729485	0.69501634	6397
"GO:0006376"	"mRNA splice site recognition"	1	4.358639051893465	0.056284806444447666	0.7758171156449392	0.66663144	6397
"GO:0006396"	"RNA processing"	4	6.256402611863921	4.448089466518821	0.8002771677529643	0.61423304	6397
"GO:0008033"	"tRNA processing"	1	5.7610433218409245	1.4217188171179558	0.8036511538120725	0.80300239	6397
"GO:0008380"	"RNA splicing"	13	5.596916926422827	0.9742871404547958	0.8185451266196161	0.65951647	6397
"GO:0016070"	"RNA metabolic process"	1	6.5190613322262205	8.143898333608892	0.8285413698611674	0.61512813	6397
"GO:0042254"	"ribosome biogenesis"	8	5.937876312844991	2.136224808753416	0.8769433323445603	0.89332116	6397
"GO:0042255"	"ribosome assembly"	2	5.027349607774757	0.2624923630025938	0.8803460575309909	0.74436521	6397
